ticker,price,marketCap,latest_quarter,catalyst,total,why_watch,px,need,company
CP,94.71,83.2B,Q2 2026 revenue $4.2B +13%; core adj diluted EPS $1.27 +13%; RTM volumes +4%,Management guides accelerated growth in H2 2026; STB decision on UP-NS mega-merger will reshape the competitive map either way,83.0,Only single-line Canada-US-Mexico railway; unique network synergies still ramping and a scarce hard-asset compounder,94.71,three-nation freight rail,Canadian Pacific Kansas City Limited Common Shares
GKOS,180.57,10.65B,Q2 2026 record sales $185.6M +50%; iDose TR ~$74M; non-GAAP GM ~85%; FY26 guide raised to $680-700M from $620-635M,Epioxa keratoconus launch ramp ($11M initial quarter; O2N systems cover ~85% of US) plus iDose TR expansion into commercial and Medicare Advantage,83.0,Dropless glaucoma platform fixing eyedrop non-compliance; 50% growth with a second franchise (Epioxa) now launching,180.57,dropless glaucoma therapy preventing blindness,Glaukos Corporation Common Stock
IOT,39.84,23.2B,Q1 FY2027 revenue $478.8M +31%; ARR ~$2B +30%; third straight GAAP-profitable quarter; FCF margin 15%,Q2 FY2027 earnings early Sep 2026 with likely FY27 guidance raise; enterprise multiproduct pipeline (7 of top 10 deals took emerging products),83.0,Physical-operations data platform cutting crashes 47-63% and fuel burn 10-15%; rare 30% grower that just turned GAAP-profitable,39.84,connected fleet operations,Samsara Inc. Class A Common Stock
HTFL,48.94,4.3B,Q2 2026 revenue $64.1M +48% (fastest growth in 8 quarters); GAAP GM 83%; FY26 guide raised to $246-250M from $228-232M,Plaque analysis emerging as second growth engine ($7.8M in Q2; ~$4M above plan) with payer coverage expansion decisions ahead,82.0,AI coronary CT analysis replacing diagnostic caths; 48% growth at 83% margins though losses still widening pre-breakeven,48.94,AI coronary CT analysis replacing invasive caths,Heartflow Inc. Common Stock
VCYT,44.29,3.56B,Q2-26 rev $150.3M +15%; testing rev +19%; EPS $0.54 beat; net income $25.5M; FY26 outlook raised,Decipher momentum plus MRD bladder-cancer test launch and new breast offerings into 2027,82.0,Confirmed 82 - Q2 beat-and-raise with swing to solid profitability validates prior score; profitable genomic-test leader compounding 15%+ with an MRD franchise ahead,44.29,cancer treatment-decision genomic tests,Veracyte Inc. Common Stock
PLPC,409.77,2.00B,Q2-26 record sales $212.7M +25%; EPS $4.49 +75%; gross margin 34.3% up 160bps,Grid/AI-datacenter energy capex supercycle driving record US energy demand into H2-26,81.0,Confirmed 81 - record Q2 was already reflected in R4 and demand stays robust; 75-year network-hardening compounder riding the grid and fiber buildout,409.77,grid & fiber network hardware,Preformed Line Products Company Common Stock
SSMXY,12.14,7.37B,Q1-FY27 (Jun-26) rev Y130.6B +23.6%; op profit +39.5%; FY guidance raised; China rev -34% local FX,Americas hemostasis ramp (+134%) and China stabilization; menu expansion incl Alzheimer blood testing,81.0,Confirmed 81 - the Aug-7 beat-and-raise underpinning R4 stands though China weakness tempers it; dominant hematology razor-blade moat and the closest of this group to $10 (52wk low $8.01),12.14,blood diagnostics analyzers and reagents,Sysmex Corporation
CAI,26.82,7.58B,Q2-26 rev $263.7M +45%; gross margin 68%; adj EBITDA $55.7M; FCF positive; FY26 guide raised to ~$1.03-1.04B,Caris Assure blood-based MRD/early-detection expansion plus further guidance raises,81.0,Confirmed 81 - Aug-5 print showed profitability arriving on schedule at 45% growth; AI whole-exome profiling platform crossing $1B revenue while turning cash-flow positive,26.82,AI whole-exome/transcriptome cancer profiling,Caris Life Sciences Inc. Common Stock
DXCM,88.96,33.57B,Q2-26 rev $1.31B +13%; adj EPS $0.70 beat; adj op margin 25.1% +590bps; FY26 raised to $5.18-5.25B,15-day G7 sensor rollout plus type-2/non-insulin and OTC Stelo expansion,81.0,Confirmed 81 - Q2 beat with sharp margin expansion reinforces the CGM duopoly thesis; standard-of-care sensor franchise with prevention economics still early globally,88.96,continuous glucose monitoring standard of care,DexCom Inc. Common Stock
CNI,127.54,76.71B,Q2-26 rev C$4.76B; adj EPS C$2.08 beat; EPS +12% on 5% volume growth; FY26 outlook raised,Raised FY26 guidance execution plus potential US rail-merger wave reshaping industry structure,81.0,Confirmed 81 - beat-and-raise quarter matches the R4 thesis exactly; three-coast rail network moat at the cheapest valuation among major rails,127.54,three-coast freight rail,Canadian National Railway Company Common Stock
TMDX,92.22,$3.20B,Q2'26 rev $189.9M +21%; EPS $0.41 miss as reinvestment halved adj net income; FY26 guide raised to $737M-$757M,Next-gen OCS Heart/Lung clinical programs and logistics fleet expansion into 2027,80.0,Only multi-organ warm-perfusion platform; profitable and still growing 20%+,92.22,organ transplant preservation and logistics,TransMedics Group Inc. Common Stock
BLLN,96.22,4.54B,Q2-26 rev $109.4M +64%; prenatal +56%; oncology +176%; GM 70.5%; EPS $0.15; $549M cash,Northstar oncology ramp toward reiterated FY26 guide of $450-465M,80.0,Confirmed 80 - profitable hypergrowth continued exactly as scored in R4; unique molecular-counting NIPT plus fast-scaling liquid biopsy with a fortress cash position,96.22,single-gene NIPT + oncology liquid biopsy,BillionToOne Inc. Class A Common Stock
CBLL,23.45,900M,Q2-26 rev $28.1M +33%; GM 92%; net loss $19.3M ($0.51/sh vs $0.36 est); FY26 guide raised to $114-117M,Delirium NTAP reimbursement effective Oct-2026 opening a second large indication,79.0,Adjusted 80 to 79 - loss widened well past estimates trimming survivability despite the raised revenue guide; category-creating point-of-care EEG razor-blade model with delirium optionality,23.45,point-of-care AI EEG for seizure and delirium,CeriBell Inc. Common Stock
IRTC,119.15,$3.93B,Q2'26 rev $224.2M +20.1%; non-GAAP EPS $0.58 big beat; op cash flow +85%; FY26 guide ~$885M,International expansion (Japan/EU) plus AI-enhanced Zio adoption through FY26,79.0,Highest diagnostic yield at lowest 1-yr cost; AI keeps compressing review labor,119.15,long-term ambulatory arrhythmia diagnosis,iRhythm Holdings Inc. Common Stock
RMD,235.69,$34.0B,FQ4'26 (Jun) record rev $1.5B +9%; EPS $2.95 beat; FY26 rev $5.65B +9.9%; $1B returned to holders,GLP-1-widened diagnosis funnel plus new FY27 guidance reset after conservative initial outlook,79.0,Dominant sleep-apnea share; consumables plus cloud-adherence ecosystem is a quiet toll road,235.69,sleep apnea and respiratory therapy,ResMed Inc. Common Stock
MBRFF,69.25 stale OTC print (Warsaw 370.50 PLN ~$101 parity),~$355M (1.30B PLN),Q1'26 net profit 15.6M PLN vs 16.2M expected (slight miss); Q2'26 results due Aug 27 2026,Q2 2026 results Aug 27 2026 plus new ecological-bomb remediation contract awards,78.0,Permit-moat hazardous-waste detox compounder; watch via Warsaw line - US OTC liquidity is effectively zero,69.25,hazardous-waste detox,Mo-BRUK S.A.
DAR,66.94,$10.1B,Q2'26 rev $1.31B (miss) but EPS $2.41 crushed $1.27 est; net income $387M; combined adj EBITDA $742M vs $250M yr-ago on fat/protein price recovery and 45Z credits,EPA RVO finalization and 45Z clean-fuel credit monetization lifting Diamond Green Diesel / SAF margins into 2027,76.0,Rendering near-monopoly feeding renewable diesel/SAF; the earnings inflection scored in R4 is now visibly underway,66.94,animal by-product circularity,Darling Ingredients Inc. Common Stock
MHGVY,21.83,~$11.0B (ADR 1:1),Q2'26 (rep Aug 18) record rev EUR1.60B; op EBIT EUR231M +23%; record harvest 150k GWT with farming cost down 3.5% to EUR5.20/kg,FY26 volume guide 600k GWT (+7.4%) plus falling feed/farming costs into seasonally stronger H2 salmon pricing,74.0,World's largest salmon farmer hitting record output with quarterly dividends; cleanest large-cap proxy for the aquaculture protein megatrend,21.83,efficient animal protein,Mowi ASA
ATRC,47.16,$2.4B,Q2'26 rev $153.6M (~+16% beat); adj EPS $0.18 vs $0.03 est; FY26 adj EPS guided $0.09-$0.15 as profitability arrives,LeAAPS prophylactic AtriClip stroke-prevention trial milestones plus EnCompass clamp rollout expanding the open-ablation franchise,74.0,Category leader in surgical AF ablation and LAA exclusion just turning profitable; LeAAPS success would multiply the AtriClip TAM,47.16,surgical AFib ablation & stroke-preventing LAA exclusion,AtriCure Inc. Common Stock
LEGH,28.74,$621M,Q2'26 rev $66.3M +32.3%; record net income $23.5M +59.8% (EPS $0.99); 113 of 380 workforce-housing units delivered,Remaining ~267 units of the 380-unit workforce-housing order ship through H2'26; rate cuts would further aid affordable-housing demand,74.0,Vertically integrated affordable-housing manufacturer with in-house financing riding the structural US housing shortage,28.74,affordable housing,Legacy Housing Corporation Common Stock (TX)
