ticker,company,price,marketCap,need,r1_score,reason
TRAX,First Tracks Biotherapeutics Inc. Ordinary Shares ,45.11,1611818368.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
FBRX,Forte Biosciences Inc. Common Stock,76.97,1634002944.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
GHRS,GH Research PLC Ordinary Shares,28.92,1985134976.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
HRGN,"Harvard Apparatus Regenerative Technology, Inc.",1.75,30766302.0,food,35,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
COAG,Hemab Therapeutics Holdings Inc. Common Stock,49.65,2319256576.0,health,40,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
IMMX,Immix Biopharma Inc. Common Stock,14.47,1030118656.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
IMVT,Immunovant Inc. Common Stock,43.5,8985041920.0,health,40,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
INBX,Inhibrx Biosciences Inc. Common Stock,122.72,1806151296.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
IVEVF,Inventiva S.A.,3.59,848032128.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
IVA,Inventiva S.A. American Depository Shares,4.69,1107874944.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
JBIO,Jade Biosciences Inc. Common Stock,21.84,1388966912.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
LBRX,LB Pharmaceuticals Inc Common Stock,48.8,1574247808.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
MPLT,MapLight Therapeutics Inc. Common Stock,12.54,581577984.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
MBX,MBX Biosciences Inc. Common Stock,68.62,3304745984.0,health,40,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
MLLCF,Molecular Partners AG,3.8,145559888.0,health,35,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
MLTX,MoonLake Immunotherapeutics Class A Ordinary Shares,15.56,1324260096.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
NGNE,Neurogene Inc. Common Stock ,40.84,817264832.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
NVCT,Nuvectis Pharma Inc. Common Stock,25.89,845154880.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
OCS,Oculis Holding AG Ordinary shares,12.96,719642368.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
ODTX,Odyssey Therapeutics Inc. Common Stock,26.23,1260575104.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
ORIC,Oric Pharmaceuticals Inc. Common Stock,13.83,1433516288.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
ORKA,Oruka Therapeutics Inc. Common Stock,101.82,6741471744.0,health,46,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
PBLS,Parabilis Medicines Inc. Common Stock,39.23,4846209024.0,health,40,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
PYPD,PolyPid Ltd. Ordinary Shares,5.1,103590008.0,health,41,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
PRAX,Praxis Precision Medicines Inc. Common Stock,368.02,10275113984.0,health,40,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
PRME,Prime Medicine Inc. Common Stock,3.71,672908160.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
PROK,ProKidney Corp. Class A Ordinary Shares,1.73,690585856.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
RVMD,Revolution Medicines Inc. Common Stock,211.38,45306433536.0,health,40,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
SGMT,Sagimet Biosciences Inc. Series A Common Stock,10.29,639612544.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
SVRA,Savara Inc. Common Stock,5.6,1150576128.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
SCNLF,Scancell Holdings plc,0.1352,144364688.0,health,35,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
SRRK,Scholar Rock Holding Corporation Common Stock,58.25,7093992448.0,health,40,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
ABSCF,AB Science S.A.,1.12,108114480.0,health,37,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
STTK,Shattuck Labs Inc. Common Stock,8.06,808927872.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
SLDB,Solid Biosciences Inc. Common Stock,9.89,1060457664.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
SYRE,Spyre Therapeutics Inc. Common Stock,107.36,9466335232.0,health,40,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
GPCR,Structure Therapeutics Inc. American Depositary Shares,49.92,3559787776.0,health,40,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
TYRA,Tyra Biosciences Inc. Common Stock,26.69,1592777600.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
PCVX,Vaxcyte Inc. Common Stock,61.09,9090514944.0,health,40,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
MANE,Veradermics Incorporated Common Stock,102.35,4276196864.0,health,40,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
VCRE,Vicore Pharma Holding AB American Depositary Shares,11.52,324317504.0,health,35,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
VKTX,Viking Therapeutics Inc. Common Stock,34.17,3986030592.0,health,40,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
ZURA,Zura Bio Limited Class A Ordinary Shares,6.32,605640128.0,health,38,"R1.5: clinical/preclinical-stage, no approved product, revenue<$10M - depends on single unproven scientific breakthrough (hard rejection rule)"
