ticker,verdict,reason
CBIO,C,clinical-stage bispecific bet
CRON,C,recreational cannabis not durable need
CYRX,A,cold-chain logistics backbone for cell-gene therapies
CSPHF,B,commercial China PD-L1 but thin margins
CGEM,C,clinical-stage T-cell engagers
CVRX,B,commercial heart-failure device early adoption
CTMX,C,preclinical platform revenue collapsed
DMRA,C,clinical-stage hematology antibodies
DRIO,C,shrinking generic digital-health coaching
DXR,C,stagnant single-instrument business
DSGN,C,clinical-stage gene-targeted moonshot
DHTRF,C,pharmaceutical royalty trust pure financial intermediation
EDIT,C,clinical CRISPR binary bets
EIKN,C,clinical-stage oncology
OSSFF,A,prosthetics and orthotics restore mobility efficiently
ETON,B,growing rare-disease portfolio at orphan prices
EOLS,C,cash-pay cosmetic toxin not durable need
EVMN,C,clinical-stage inflammation pipeline
EVO,C,contracting CRO with thin margins
FEHTF,C,hotel REIT mislabeled as health
FBIOP,C,holding-company dermatology roll-up no efficiency mechanism
GNFTF,B,approved PBC drug via partner royalty-heavy
GERN,B,commercial drug reduces transfusion dependence single product
GLAS,C,cannabis cultivation not durable need
GNIIF,C,contracting revenue pipeline-dependent
GYRE,C,flat single-drug revenue pipeline-dependent
HROW,A,compounded low-cost ophthalmics compress eye-care cost
HBMHF,B,antibody discovery platform licensing real but unproven durability
BTSDF,B,infant formula essential; supplements mix dilutes fit
HLF,C,MLM supplement marketing not system fix
OPORF,C,contracting niche CRO thin margins
HYHHF,B,China oncology hospital operator flat growth
IDRSF,C,contracting single product financial distress
IMTX,C,clinical-stage TCR therapies
ICCC,A,calf disease prevention boosts dairy-beef productivity
IMCR,B,commercial TCR platform single niche product
INNV,A,PACE model keeps seniors home cutting institutional cost
INVA,C,royalty-driven portfolio financial intermediation
ITGDF,B,essential imaging services operator modest growth
IRWD,B,commercial constipation franchise patent-cliff risk
JBPHF,C,clinical-stage China oncology
JANX,C,clinical-stage T-cell engagers
KKPCF,B,diversified Japanese pharma devices real growth
KARD,C,clinical-stage cardiovascular pipeline
KSPHF,B,diversified Japanese commercial pharma modest growth
VMDGF,C,visa-screening clinics unclear differentiation
KHTRF,B,licenses medicines into underserved Latin markets
KURA,C,just-launched drug deeply negative economics pipeline-dependent
CSBTF,A,differentiated bone graft improves fusion fast growth
KYRNF,B,generic maker cuts cost but flat
KYTX,C,clinical-stage CAR-T
LKFT,C,clinical pipeline revenue collapsed
LTGO,C,clinical-stage non-opioid candidates
LXRX,C,revenue collapse commercialization failed
LTGHF,B,African hospital operator slow growth
LFMDP,C,lifestyle telehealth prescriptions not efficiency
LYPHF,B,diversified China pharma modest growth
MNKD,B,inhaled insulin and DPI manufacturing real growth
MAZE,C,clinical-stage precision candidates
MDNC,C,tiny device distributor unclear differentiation
MGTX,C,clinical gene therapy milestone-driven
MNPR,C,clinical-stage radiopharma
GLUE,C,clinical molecular glue pipeline
NURPF,C,royalty-dependent with collapsing revenue
NVAX,C,contracting COVID vaccine franchise
ACAT,C,pivoted to gaming shell not health
OBX,C,clinical-stage cell therapy
OCUTF,B,China ophthalmic access growing fast in-licensed
OLMA,C,clinical-stage breast cancer bet
OMDA,B,virtual chronic-disease prevention growing evidence uncertain
OMER,C,clinical-stage minimal revenue
OPK,C,sprawling thin-margin mix unclear differentiation
OVID,C,Phase 1 neurology pipeline
OXBDF,B,viral-vector CDMO infrastructure growing subscale
PCRX,A,non-opioid surgical pain cuts opioid exposure
PXMBF,C,niche side-effect device no financial evidence
PEJMF,A,domestic transcatheter valves widen heart-care access
PNTG,A,home health and hospice shift care lower-cost
PPTDF,B,peptide discovery platform profitable slow growth
PHMMF,C,contracting oncology revenue
PHGUF,B,commercial rare-disease proteins flat revenue
PHAR,B,duplicate listing same rare-disease business
PHAT,B,novel acid blocker growing but premium me-too
PAHC,B,food-animal health but feed-antibiotic reliance
PRPO,C,nano-cap diagnostics marginal scale
PRLD,C,clinical-stage oncology
PYCXF,C,clinical RNA pipeline
RAFLF,C,contracting hospital revenue no expansion signal
RPID,C,tiny automation vendor near-zero margins
RXRX,C,AI discovery story contracting revenue
SAEYY,A,online pharmacy scales low-cost medicine distribution
RGNX,C,clinical gene therapy pipeline
REPL,C,clinical oncolytic immunotherapy
RTGN,C,development-stage devices no revenue
RIGL,C,contracting commercial hematology portfolio
RXST,B,adjustable cataract lens improves outcomes flat growth
RYHTY,C,asset-heavy village developer thin margins
SANA,C,clinical cell engineering
SNBIF,C,clinical regenerative pipeline
SRPT,C,contracting high-cost marginal-benefit gene franchise
SDGR,B,simulation software compresses discovery cost slow growth
SCTX,C,clinical CRISPR programs
SPTX,C,clinical neuropsychiatric prodrugs
SRTS,C,collapsing device revenue
SEPN,C,clinical GPCR pipeline
SHWGF,A,low-cost essential medical consumables at national scale
SHNXY,B,bulk generic APIs cut cost commodity exposure
SHEZF,C,commodity heparin API flat thin margins
SHHPF,B,hospital equipment and pharmacy operator thin margins
SLNCF,C,clinical siRNA pipeline
SLN,C,duplicate clinical siRNA listing
SKIN,C,cosmetic aesthetics not durable need
SKYA,C,crypto fintech pivot not health
SLBT,C,cosmetic exosome skincare
MDAI,C,contracting pre-scale AI diagnostics
STLN,B,community oncology services cheaper than hospital settings
SRTA,A,organ transport and perfusion strengthen transplant system
SNDX,B,newly commercial oncology two products growing
TECX,C,clinical GPCR biologics
TDOC,C,contracting telehealth consumer therapy monetization
TBPH,C,contracting single-product respiratory
TLRY,C,cannabis lifestyle conglomerate
TGRNF,C,contracting TCM products
TWAPF,A,Japanese generics at scale cut drug cost
TRJNF,B,lab consumables niche real slow growth
USPH,A,physical therapy substitutes cheaper care prevents surgery
INRLF,C,contracting vaccines pipeline-dependent
VALN,C,duplicate contracting vaccine listing
VSTM,C,development-stage oncology tiny revenue
VIR,C,clinical infectious pipeline
VTHPF,C,healthcare landlord REIT no operating layer
VOR,C,clinical licensed asset bet
WVE,C,clinical RNA pipeline
XERS,B,ready-to-use rescue formulations growing commercial
ZVRA,B,commercial rare-disease growth pipeline emphasis
ZYME,C,platform revenue collapsed pipeline-dependent
ACH,C,no verifiable description
AMWL,C,contracting telehealth platform
AMJT,C,shell-like app developer zero revenue
ACMLF,B,nurse-call workflow infrastructure real but flat
BIOYF,B,profitable niche iron-deficiency products growing
CCLD,C,billing-cycle software monetizes administrative complexity
CAIHF,C,contracting feed antibiotics factory-farm enabler
CRLBF,C,cannabis retail
DIUXF,C,pharma marketing analytics not care delivery
ECOR,B,drug-free headache neuromodulation growing subscale
EAPIF,C,contracting commodity API maker
GRUSF,C,cannabis cultivation
HCAT,C,contracting analytics vendor
HYDTF,C,mobile IV wellness medspa services
HYPR,A,portable low-field MRI decentralizes affordable imaging
JUSH,C,cannabis retail
MDXH,B,tests avoid unnecessary biopsies but growth stalled
MDLYF,B,medical staffing and clinic cloud mixed fit
NNOX,C,unproven imaging commercialization negative margins
NRXS,C,pre-scale niche device revenue tiny
OPRX,C,pharma prescribing adtech
OM,B,decentralized dialysis mechanism but stalled revenue
PHCUF,B,better bladder-tumor detection single slow franchise
SERA,C,effectively pre-revenue test
SLP,A,in-silico trials replace costly studies profitably
SY,C,cosmetic aesthetics marketplace
SFSVF,C,contracting hospital EMR vendor
VKSKF,B,essential medicine wholesale thin margins
AARD,C,no verifiable description
ABEO,C,no verifiable description
ACIU,C,no verifiable description
ARAY,C,no verifiable description
ABOS,C,no verifiable description
ADAG,C,no verifiable description
ADCT,C,no verifiable description
AGEN,C,no verifiable description
AIRS,C,no verifiable description
AKBA,C,no verifiable description
ALEC,C,no verifiable description
ACOG,B,better-tolerated Alzheimer reformulation early commercial
ALXO,C,no verifiable description
AMRN,C,no verifiable description
ANTX,C,no verifiable description
AVXL,C,no verifiable description
AMGXF,C,R&D-stage gene medicines unproven
ANIX,C,no verifiable description
ARCT,C,no verifiable description
ARMP,C,no verifiable description
AROAF,C,no verifiable description
AVIR,C,no verifiable description
RNA,C,no verifiable description
AUNA,C,no verifiable description
AVCTF,C,clinical conjugates zero revenue
AVHHL,C,no verifiable description
BDMD,C,contracting ablation device sales
BNTC,C,no verifiable description
BGM,C,no verifiable description
BCYC,C,no verifiable description
BIOA,C,no verifiable description
BMEA,C,no verifiable description
BDTX,C,no verifiable description
BORAY,A,generics plus CDMO manufacturing cut drug cost
CAMP,C,no verifiable description
CGC,C,cannabis no verifiable operations described
CNTN,C,no verifiable description
CAPR,C,no verifiable description
CRDL,C,no verifiable description
CRBU,C,no verifiable description
RNAC,C,no verifiable description
CLLS,C,no verifiable description
IPSC,C,no verifiable description
MCTA,C,beauty wellness medspa services
CLVLF,B,profitable rare photoprotection drug single product
CUVL,B,profitable rare photoprotection drug single product
CHRS,C,no verifiable description
CMPX,C,no verifiable description
CGEN,C,no verifiable description
CNTB,C,no verifiable description
CRBP,C,no verifiable description
CLIFF,C,contracting cord-blood banking service
COYA,C,no verifiable description
CMEOF,C,no verifiable description
CUE,C,no verifiable description
CPIX,C,no verifiable description
CYPH,C,no verifiable description
DFPH,C,no verifiable description
DMAC,C,no verifiable description
DYMDF,C,no verifiable description
SBMJF,C,clinical-stage single kidney candidate
PDPHF,C,no verifiable description
EKDHF,C,no verifiable description
ELDN,C,no verifiable description
ELTP,C,contracting stimulant-heavy generics
EBS,C,no verifiable description
ENTA,C,no verifiable description
ENGN,C,no verifiable description
TRDA,C,no verifiable description
EQ,C,no verifiable description
TORIF,C,no verifiable description
EPRX,C,no verifiable description
FATE,C,no verifiable description
FENC,C,no verifiable description
FHTX,C,no verifiable description
FGHQF,B,real CRO services slow growth thin margins
FULC,C,no verifiable description
GALT,C,no verifiable description
GNLX,C,no verifiable description
DNA,C,no verifiable description
GLSI,C,no verifiable description
HNSBF,C,no verifiable description
HBIO,C,no verifiable description
HLOSF,C,clinical cell therapy collapsing revenue
BEAT,C,no verifiable description
HBPCF,C,no verifiable description
HTTIF,C,no verifiable description
HUMDF,C,no verifiable description
HUMA,C,no verifiable description
IMRX,C,no verifiable description
IMUX,C,no verifiable description
IMPZY,C,sub-dime nano-cap implant maker dilution risk
INDP,C,no verifiable description
IFRX,C,no verifiable description
IKT,C,no verifiable description
IPHA,C,no verifiable description
INO,C,no verifiable description
NSPR,C,no verifiable description
IDGXF,C,no verifiable description
IVVD,C,no verifiable description
JMDMF,C,no verifiable description
JCRRF,C,no verifiable description
DERM,C,no verifiable description
MENS,C,no verifiable description
KMDA,C,no verifiable description
KZIA,C,no verifiable description
KROS,C,no verifiable description
KNTPF,C,no verifiable description
KRRO,C,no verifiable description
LRMR,C,no verifiable description
LPCUF,C,no verifiable description
LENZ,C,no verifiable description
LXEO,C,no verifiable description
LFCR,C,no verifiable description
LFMD,C,no verifiable description
LCTX,C,no verifiable description
LYEL,C,no verifiable description
MGNX,C,no verifiable description
MAYNF,C,no verifiable description
MFCSF,C,no verifiable description
MDWD,C,no verifiable description
MIST,C,no verifiable description
NERV,C,no verifiable description
MODD,C,no verifiable description
MOLN,C,no verifiable description
NAKA,C,no verifiable description
NATR,C,no verifiable description
NTHI,C,no verifiable description
NEPH,C,no verifiable description
NGEN,C,no verifiable description
NMRA,C,no verifiable description
NWPHF,C,no verifiable description
NAGE,C,no verifiable description
NIKA,C,supplement shell nothing verifiable
NKTX,C,no verifiable description
NWBO,C,perpetual trial sub-dime dilution machine
NBP,C,no verifiable description
NVYTF,C,subscale undifferentiated diagnostics
NRXP,C,no verifiable description
NUS,C,no verifiable description
SOLTF,C,no verifiable description
VACBF,C,no verifiable description
OCGN,C,no verifiable description
ONCY,C,no verifiable description
OBIMF,C,no verifiable description
ONVVF,C,no verifiable description
OKUR,C,no verifiable description
IRD,C,no verifiable description
ORMP,C,no verifiable description
OBIO,C,no verifiable description
OGI,C,no verifiable description
ORGO,C,no verifiable description
ORYZF,C,clinical-stage epigenetics pipeline
ORPOF,C,no verifiable description
OTLK,C,no verifiable description
