ticker,company,price,marketCap,country,sector,industry,listing,need,need_score,viability,r1_score,flag,status,reason,y_industry,summary,y_ind,revGrowth,grossM,revenue,verdict,reason_r2,totalCash,totalDebt,freeCashflow,operatingCashflow,totalRevenue,revenueGrowth,grossMargins,operatingMargins,debtToEquity,sharesOutstanding,floatShares,fullTimeEmployees,earningsGrowth,r3_fin_score,r3_notes,r3_cut,cap,composite
HTFL,Heartflow Inc. Common Stock,49.89,4338116096.0,United States,Health Care,Medical/Dental Instruments,exchange,health,26,20,46,,,,Health Information Services,"HeartFlow, Inc., a medical technology company, provides non-invasive solutions for diagnosing and managing coronary artery diseases the United States and worldwide. Its HeartFlow Platform uses AI and computational fluid dynamics to creates a personalized 3D model of a patient's heart from a single coronary computed tomography angiography, a specialized type of scan that provides detailed images of the heart's arteries. The company provides Heartflow RoadMap Analysis that offers an intuitive anatomic visualization of the coronary arteries; Heartflow FFRCT Analysis, which calculates blood flow and pinpoints clinically; and Heartflow Plaque Analysis that provides a comprehensive assessment of coronary plaque, enabling optimized medical treatment strategies. Its platform provides insights on blood flow, stenosis, and plaque volume and composition by overcoming the limitations of traditional non-invasive imaging tests. HeartFlow, Inc. was formerly known as Cardiovascular Simulation, Inc. and changed its name to HeartFlow, Inc. in May 2009. The company was incorporated in 2007 and is headquartered in San Francisco, California.",Health Information Services,0.476,0.80081004,212074000.0,A,noninvasive coronary diagnosis replacing invasive procedures,162551008.0,27127000.0,-33605624.0,-52234000.0,212074000.0,0.476,0.80081004,-0.27933002,9.698,86953627.0,67031682.0,843.0,,22,,,4338116096.0,48
PODD,Insulet Corporation Common Stock,143.05,9921118208.0,United States,Health Care,Medical/Dental Instruments,exchange,health,26,20,46,,,,Medical Devices,"Insulet Corporation develops, manufactures, and sells insulin delivery systems for people with insulin-dependent diabetes in the United States and internationally. The company offers Omnipod platform products comprising Omnipod 5 automated insulin delivery system, which includes a proprietary AID algorithm embedded in the pod that integrates with a third-party continuous glucose monitor to obtain glucose values through wireless Bluetooth communication; Omnipod DASH insulin management system that features a Bluetooth enabled pod that is controlled by a smartphone-like personal diabetes manager with a color touch screen user interface; and the Omnipod Insulin Management System. It also provides pods for Amgen for use in the Neulasta Onpro kit, which is a delivery system to help reduce the risk of infection after intense chemotherapy. The company sells its products to end-users through the pharmacy channel; and independent distributors. Insulet Corporation was incorporated in 2000 and is headquartered in Acton, Massachusetts.",Medical Devices,0.235,0.71075,3053400064.0,A,automated insulin delivery improving diabetes outcomes,534900000.0,948400000.0,236900000.0,511200000.0,3053400064.0,0.235,0.71075,0.16178,66.685,69354199.0,69064992.0,5400.0,3.286,22,,,9921118208.0,48
IRTC,iRhythm Holdings Inc. Common Stock,123.09,4057415936.0,United States,Health Care,Medical/Dental Instruments,exchange,health,26,20,46,,,,Medical Devices,"iRhythm Holdings, Inc., a digital healthcare company, engages in the design, development, and commercialization of device-based technology that provides ambulatory cardiac monitoring services to diagnose arrhythmias in the United States. The company offers Zio ambulatory cardiac monitoring services, including long-term and short-term continuous monitoring and mobile cardiac telemetry monitoring services. It also provides Zio Monitor System, a prescription-only remote electrocardiogram (ECG) monitoring system consisting a patch ECG monitor that records the electric signal from the heart continuously for up to 14 days; Zio XT System, a prescription-only remote ECG monitoring system that consists of the Zio XT patch that records the electric signal from the heart continuously for up to 14 days; and Zio ECG Utilization Software System, which supports the capture and analysis of ECG data. In addition, the company offers Zio AT System, a prescription-only remote ECG monitoring system, which consists of the Zio AT patch that records the electric signal from the heart continuously for up to 14 days, as well as incorporates the Zio AT wireless gateway to provide connectivity between the patch and the ZEUS System during the patient wear period. It has a development collaboration agreement with BioIS to develop and commercialize pulse oximetry, accelerometry, and trending non-invasive blood pressure technologies for use within ambulatory cardiac monitoring products and services. The com",Medical Devices,0.201,0.71454,825336000.0,A,wearable cardiac monitoring catches arrhythmias earlier and cheaper,591273984.0,727348992.0,81834128.0,86002000.0,825336000.0,0.201,0.71454,0.07937,391.084,32963003.0,30308492.0,2400.0,,22,,,4057415936.0,48
PEN,Penumbra Inc. Common Stock,324.37,12776747008.0,United States,Health Care,Medical/Dental Instruments,exchange,health,26,20,46,,,,Medical Devices,"Penumbra, Inc., together with its subsidiaries, designs, develops, manufactures, and markets medical devices in the United States and internationally. It offers computer-assisted vacuum thrombectomy; peripheral thrombectomy products, including the Indigo System for power aspiration of thrombus in the body; Lightning Flash, a mechanical thrombectomy system; Lightning Bolt 7, an arterial thrombectomy system; and CAT RX. It also provides access products, including guide catheters and the Penumbra distal delivery catheters under the Neuron, Neuron MAX, BENCHMARK, BMX, DDC, Access25; MIDWAY, and PX SLIM brands; Penumbra System, an integrated mechanical thrombectomy system comprising reperfusion catheters and separators, the 3D Revascularization device, aspiration tubing, aspiration pump, and other components and accessories under the Penumbra RED, SENDit, JET, ACE, BMX, Max, 3D Revascularization Device, and Penumbra ENGINE brands; and neuro embolization coiling systems that include the Penumbra Coil 400, for the treatment of aneurysms and other complex lesions, detachable coils of neurovascular lesions under the Penumbra SMART COIL, SwiftSET, and Penumbra SwiftPAC Coil brands; and POD400 and PAC400 brands. In addition, it provides peripheral embolization products, such as Ruby Embolization Platform, which consists of detachable coils for peripheral applications; Ruby LP and XL Embolization Platform; Penumbra LANTERN Delivery Microcatheter, a low-profile microcatheter with a high-f",Medical Devices,0.149,0.6784,1504873984.0,A,mechanical thrombectomy improving stroke and embolism outcomes,658795008.0,212710000.0,161100128.0,277801984.0,1504873984.0,0.149,0.6784,0.105220005,13.896,39389422.0,38273126.0,4700.0,-0.235,22,,,12776747008.0,48
SSMXY,Sysmex Corporation,12.35,7435216384.0,,Healthcare,,otc,health,26,20,46,,,,Medical Devices,"Sysmex Corporation engages in the development, manufacture, and sale of diagnostic instruments, reagents, and related software. It offers hematology, a major test routinely included in blood tests; Flow Cytometry (FCM) analyzes cell properties by irradiating individual cells with a laser and measuring the intensity of light scattering and fluorescence; urinalysis test checks for the presence of glucose, proteins, and blood in urine; clinical chemistry; hemostasis; immunochemistry; cancer gene testing; and antimicrobial susceptibility testing. The company also provides Caresphere, an ICT solution, which integrates and analyzes real time various data managed through testing instruments and clinical testing information systems, and supports the efficient operation of clinical laboratories; and involved in the medical robotics business. It serves products and services to medical institutions, clinical laboratories, animal hospitals, and research institutes. The company was formerly known as TOA Medical Electronics Co., Ltd. and changed its name to Sysmex Corporation in October 1998. Sysmex Corporation was founded in 1968 and is headquartered in Kobe, Japan.",Medical Devices,0.236,0.50963,524948996096.0,A,automated blood diagnostics at scale with strong growth,113634000896.0,123524997120.0,21318875136.0,99951001600.0,524948996096.0,0.236,0.50963,0.11343,25.407,602041811.0,513988264.0,10861.0,0.941,22,,,7435216384.0,48
KIDS,OrthoPediatrics Corp. Common Stock,24.5,639689792.0,United States,Health Care,Medical/Dental Instruments,exchange,health,26,18,44,,,,Medical Devices,"OrthoPediatrics Corp., a medical device company, engages in designing, developing, and marketing anatomically appropriate implants, instruments, and specialized braces for children with orthopedic conditions in the United States and internationally. The company offers pediatric trauma and deformity correction products; scoliosis procedures for the treatment of spinal deformity in children; and sports medicine and other products. Its products comprise PediLoc, PediPlates, cannulated screws, PediFlex nail, PediNail, PediLoc Tibia, ACL Reconstruction System, Locking Cannulated Blade, Locking Proximal Femur, Spica Tables, RESPONSE Spine, BandLoc, Pediatric Nailing Platform | Femur, Devise Rail, Orthex, The Fassier-Duval Telescopic Intramedullary System, SLIM Nail, The GAP Nail, The Free Gliding SCFE Screw System, GIRO Growth Modulation System, PNP Tibia System, ApiFix Mid-C System, Mitchell Ponseti, VerteGlideTM, and Boston Brace 3D. The company serves pediatric orthopedic market, as well as pediatric orthopedic surgeons and caregivers. OrthoPediatrics Corp. was founded in 2006 and is headquartered in Warsaw, Indiana.",Medical Devices,0.154,0.73652,252724000.0,A,pediatric-specific orthopedic implants fill neglected need,45879000.0,111183000.0,3191250.0,7408000.0,252724000.0,0.154,0.73652,-0.05768,32.357,26109788.0,17506352.0,602.0,,22,,,639689792.0,48
KRMD,KORU Medical Systems Inc. Common Stock (DE),3.21,147444928.0,United States,Health Care,Medical/Dental Instruments,exchange,health,26,15,41,,,,Medical Instruments & Supplies,"KORU Medical Systems, Inc. develops, manufactures, and commercializes subcutaneous infusion solutions primarily for the subcutaneous drug delivery market in the United States and internationally. The company offers the FREEDOM infusion systems to deliver therapies to patients with chronic illnesses, such as primary immunodeficiency diseases (PIDD), chronic inflammatory demyelinating polyneuropathy (CIDP), secondary immunodeficiency disorder (SIDD), and paroxysmal nocturnal hemoglobinuria (PNH). Its products include the FREEDOM60 Syringe Driver, the FreedomEdge syringe driver, HIgH-Flo subcutaneous safety needle sets, and precision flow rate tubing. The company was formerly known as Repro Med Systems, Inc. and changed its name to KORU Medical Systems, Inc. in March 2022. KORU Medical Systems, Inc. was incorporated in 1980 and is headquartered in Mahwah, New Jersey.",Medical Instruments & Supplies,0.182,0.62428004,45107536.0,A,home subcutaneous infusion cuts care-setting cost,8287704.0,3309439.0,725833.0,1390988.0,45107536.0,0.182,0.62428004,0.05205,18.333,45933000.0,34479330.0,73.0,,22,,,147444928.0,48
TSNLF,Tristel plc,5.74,275941824.0,,Healthcare,,otc,health,26,15,41,,,,Medical Instruments & Supplies,"Tristel plc develops, manufactures, and sells infection prevention products in the United Kingdom, Australia, Germany, Western Europe, and internationally. The company operates through three segments: Hospital Medical Device Decontamination, Hospital Environmental Surface Disinfection, and Other. It offers device decontamination products, including wipes system, ULT, OPH, Stella system, fuse for Stella, rinse assure, clean, EVE, medistel, EVA system, daisygrip, fuse for surfaces, dosing system, airstel, enzystel, DOK, pre-clean wipes, rinse wipes, sporicidal wipes, clean for Stella, protect, and wipes; surface disinfection products, such as FUSE, JET, JET LUX, JET PRO, TANK 10 CLO2, TANK 5 CLO2, and TILT 5 CLO2; as well as operates 3T, a cloud-based platform alternative to paper-based traceability systems. The company provides its medical disinfection products, including airway management, cardiology, ear, nose and throat, endoscopy, gastrointestinal physiology, laboratory, ophthalmology, phlebotomy, reproductive health/IVF, surface, ultrasound, urology, women's health, and other products under the Tristel brand. Tristel plc was founded in 1993 and is headquartered in Snailwell, the United Kingdom.",Medical Instruments & Supplies,0.136,0.81658,49537000.0,A,low-cost device decontamination prevents infections,13289000.0,5824000.0,7083375.0,10454000.0,49537000.0,0.136,0.81658,0.19705,17.359,48073493.0,46074870.0,270.0,0.424,22,,,275941824.0,48
LEGH,Legacy Housing Corporation Common Stock (TX),28.93,688001664.0,United States,Consumer Discretionary,Homebuilding,exchange,shelter,24,18,42,,,,Residential Construction,"Legacy Housing Corporation engages in the building, sale, and financing of manufactured homes and tiny houses primarily in the southern United States. The company manufactures and provides for the transport of mobile homes, including 1 to 5 bedrooms with 1 to 3 1/2 bathrooms; and provides wholesale financing to dealers and mobile home parks, as well as retail financing to consumers. It also provides inventory financing for its independent retailers; consumer financing for its products; and financing to manufactured housing community owners that buy or lease its products for use in their rental housing communities. The company is involved in financing and developing new manufactured home communities. It markets its homes under the Legacy brand through a network of independent retailers and company-owned stores; and directly to manufactured home communities. The company was founded in 2005 and is headquartered in Bedford, Texas.",Residential Construction,0.323,0.49159,179450000.0,A,factory-built homes lower cost per dwelling,28965000.0,1109000.0,16362750.0,50581000.0,179450000.0,0.323,0.49159,0.39878,0.197,23781601.0,10826812.0,592.0,0.646,24,,,688001664.0,48
WAB,Westinghouse Air Brake Technologies Corporation Common Stock,296.94,50156388352.0,United States,Industrials,Railroads,exchange,transport,27,20,47,,,,Railroads,"Westinghouse Air Brake Technologies Corporation provides locomotives, equipment, systems, and services for the freight rail and passenger transit industries worldwide. It operates in two segments, Freight and Transit. It offers diesel-electric and liquid natural gas-powered locomotives; engines, electric motors, and propulsion systems; and marine and mining products. The company also offers positive train control equipment; electronically controlled pneumatic braking products; railway electronics; signal design and engineering services; distributed locomotive power, and train cruise and remote controls; industrial/mobile Internet of Things hardware and software, edge-to-cloud, on and off-board analytics and rules, and asset performance management solutions; rail and shipper transportation management, and port visibility and optimization solutions; and network optimization solutions. In addition, it provides freight car trucks, braking equipment, and related components; air compressors and dryers, as well as heating, ventilation, and air conditioning (HVAC) systems; heat transfer components and systems; custom engineered burners and combustion systems; rail gear, signaling, and switch products; and turbochargers. Further, it offers freight locomotive overhauls, modernizations, and refurbishment; locomotive and car maintenance; transit locomotive and car overhaul; unit exchange of locomotive components; long-term parts arrangements; and way equipment maintenance services. Addit",Railroads,0.175,0.35735,11980000256.0,A,locomotives braking and train control improve rail efficiency,660000000.0,6936000000.0,1101374976.0,1999000064.0,11980000256.0,0.175,0.35735,0.19188,61.686,168910851.0,166840004.0,31000.0,0.189,21,,,50156388352.0,48
LDGYY,Landis+Gyr Group AG,14.8,1635310080.0,,Industrials,,otc,energy,24,18,42,,,,Electrical Equipment & Parts,"Landis+Gyr Group AG, together with its subsidiaries, provides integrated energy management solutions to utility sector in the Americas and the Asia Pacific. The company offers smart and non-smart electricity, prepayment electricity, commercial/industrial and grid, and gas meters; advanced metering infrastructure solutions; heat and water meters and solutions; load control devices; street light controllers; and distribution automation, system deployment, and managed network solutions. It also provides various advanced metering infrastructure offerings, including software, meter data management, installation, implementation, consulting, maintenance support, and related services; and communication modules for water and gas meters. The company was formerly known as Landis+Gyr Holding AG. Landis+Gyr Group AG was incorporated in 1896 and is headquartered in Cham, Switzerland.",Electrical Equipment & Parts,0.312,0.33172,1166233984.0,A,smart metering and grid management cut energy waste,232904992.0,477416992.0,8256250.0,98281000.0,1166233984.0,0.312,0.33172,0.107939996,43.011,110493920.0,101247024.0,6042.0,,23,,,1635310080.0,47
WST,West Pharmaceutical Services Inc. Common Stock,348.48,24524546048.0,United States,Health Care,Medical/Dental Instruments,exchange,health,26,20,46,,,,Medical Instruments & Supplies,"West Pharmaceutical Services, Inc. designs, manufactures, and sells containment and delivery systems for injectable drugs and healthcare products in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It operates in two segments, Proprietary Products and Contract-Manufactured Products. The Proprietary Products segment offers stoppers and seals for injectable packaging systems; syringe and cartridge components, including custom solutions for the needs of injectable drug applications, as well as administration systems that enhance the safe delivery of drugs through advanced reconstitution, mixing, and transfer technologies; and films, coatings, washing, and vision inspection and sterilization processes and services to enhance the quality of packaging products. This segment also provides drug containment solutions in the form of vials, syringes, and cartridges; and self-injection devices; and a range of integrated solutions, including analytical lab services, pre-approval primary packaging support and engineering development, regulatory expertise, and after-sales technical support. This segment serves biologic, generic, and pharmaceutical drug companies. The Contract-Manufactured Products segment is involved in the design, manufacture, and automated assembly of devices used in surgical, diagnostic, ophthalmic, injectable, and other drug delivery systems, as well as consumer products. This segment primarily serves pharmaceutical, diagnostic, and medical device co",Medical Instruments & Supplies,0.138,0.36786,3326799872.0,A,injectable drug containment backbone with strong growth,435800000.0,316500000.0,277937504.0,662200000.0,3326799872.0,0.138,0.36786,0.22469,10.585,70375762.0,69862019.0,10800.0,0.181,21,,,24524546048.0,47
TMDX,TransMedics Group Inc. Common Stock,93.6,3245593344.0,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,exchange,health,25,20,45,,,,Medical Devices,"TransMedics Group, Inc., a commercial-stage medical technology company, engages in transforming organ transplant therapy for end-stage organ failure patients in the United States and internationally. The company provides Organ Care System (OCS), a portable organ perfusion, optimization, and monitoring system that utilizes its proprietary and customized technology to replicate near-physiologic conditions for donor organs outside of the human body. Its OCS includes OCS LUNG for the preservation of standard criteria donor lungs for double-lung transplantation; OCS Heart, a technology for preservation of DBD donor hearts deemed unsuitable due to limitations of cold storage and for ex vivo reanimation, functional monitoring, and beating-heart preservation of donation-after-circulatory-death hearts; and OCS Liver for the preservation of DBD and DCD of donor livers. The company also developed national OCS program, a turnkey solution for outsourced organ retrieval; and provides OCS organ management and logistics services, including aviation and ground transportation, and other coordination activity. The company was founded in 1998 and is headquartered in Andover, Massachusetts.",Medical Devices,0.207,0.58694,668467968.0,A,organ perfusion expands usable donor organ supply,472675008.0,867720000.0,44496752.0,145928000.0,668467968.0,0.207,0.58694,0.124960005,167.496,34675145.0,33560686.0,898.0,-0.558,22,,,3245593344.0,47
