ticker,sector,industry,summary,cap,price,revGrowth,grossM,cash,debt,fcf,revenue
ACHV,Healthcare,Biotechnology,"Achieve Life Sciences, Inc., a late-stage pharmaceutical company, develops and commercializes cytisinicline for nicotine independence in Canada, the United States, and the United Kingdom. The company offers cytisinicline, a naturally occurring alkaloid that interacts with nicotine receptors in the brain that reduces the severity of nicotine withdrawal symptoms. It has license and supply agreements with Sopharma AD and University of Bristol. Achieve Life Sciences, Inc., is headquartered in Bothel",834539136.0,8.11,,0.0,187303008.0,14948000.0,156324992.0,
SI,,,,458953888.0,22.045,,,,,,
ABT,Healthcare,Medical Devices,"Abbott Laboratories, together with its subsidiaries, discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The company offers generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement ther",199063306240.0,115.04,0.13,0.56847,5602999808.0,32719998976.0,7209124864.0,46584999936.0
ABBV,Healthcare,Drug Manufacturers - General,"AbbVie Inc., a research-based biopharmaceutical company, engages in the research and development, manufacturing, commercializing, and sale of medicines and therapies worldwide. The company offers Skyrizi to treat autoimmune diseases; Rinvoq to treat inflammatory diseases; Imbruvica for the treatment of adult patients with blood cancers; Venclexta to treat blood cancers; Elahere to treat various cancer; and Epkinly to treat lymphoma; and Emrelis for the treatment of lung cancer. It also provides ",461703577600.0,261.275,0.102,0.72792,6568999936.0,70884999168.0,16870250496.0,64385998848.0
ABCL,Healthcare,Biotechnology,"AbCellera Biologics Inc. engages in discovering and developing antibody-based medicines for indications with unmet medical need in the United States. Its lead product is ABCL635, an non-hormonal medicine, which is in Phase 2 clinical trial to treat moderate-to-severe vasomotor symptoms; and ABCL575, a fully human, half-life extended monoclonal antibody, which is in in a Phase 1 clinical trial for treating T-cell-mediated autoimmune conditions, such as atopic dermatitis. The company has a researc",3948517120.0,12.185,-0.763,-1.98877,540104000.0,135616992.0,-46431124.0,66170000.0
ABVX,Healthcare,Biotechnology,"ABIVAX Société Anonyme, a clinical-stage biotechnology company, develops therapeutics that harness the body's natural regulatory mechanisms to stabilize the immune response in patients with chronic inflammatory diseases. Its lead drug candidate includes obefazimod, which is in Phase 3 clinical development for the treatment of moderately to severely active UC, as well as Phase 2b clinical trials for Crohn's disease. The company was incorporated in 2013 and is headquartered in Paris, France.",10281115648.0,117.83,0.352,1.0,491552000.0,34211000.0,-114471872.0,4920000.0
ACAD,Healthcare,Biotechnology,"ACADIA Pharmaceuticals Inc., a biopharmaceutical company, focuses on the development and commercialization of medicines for neurological and rare disease in North America. The company offers NUPLAZID (pimavanserin), a selective serotonin inverse agonist/antagonist for the treatment of hallucinations and delusions associated with Parkinson's disease psychosis; and DAYBUE, a novel synthetic analog of the amino-terminal tripeptide of insulin-like growth factor 1 to treat the symptoms of Rett syndro",5108858368.0,29.65,0.164,0.62061,956473984.0,73854000.0,68647000.0,1138643968.0
ADPT,Healthcare,Diagnostics & Research,"Adaptive Biotechnologies Corporation, a commercial-stage company, develops an immune medicine platform for the diagnosis and treatment of various diseases. The company offers immunosequencing platform which combines a suite of proprietary chemistry, computational biology, and machine learning to generate clinical immunomics data to decode the adaptive immune system. It provides clonoSEQ diagnostic test which detects and monitors the remaining number of cancer cells that are present in a patient'",4189390848.0,26.25,0.215,0.46942002,344255008.0,410499008.0,18976624.0,308080992.0
ADUS,Healthcare,Medical Care Facilities,"Addus HomeCare Corporation, together with its subsidiaries, provides personal care services to elderly, chronically ill, disabled persons, and individuals who are at risk of hospitalization or institutionalization in the United States. The company operates through three segments: Personal Care, Hospice, and Home Health. Its Personal Care segment provides non-medical assistance with activities of daily living. This segment offers services that include assistance with bathing, grooming, oral care,",2277144064.0,121.94,0.08,0.32359,99566000.0,108820000.0,119751504.0,1476407040.0
ADMA,Healthcare,Biotechnology,"ADMA Biologics, Inc., a biopharmaceutical company, develops, manufactures, and markets specialty plasma-derived biologics for the treatment of immune deficiencies and infectious diseases in the United States and internationally. The company operates through ADMA BioManufacturing and Plasma Collection Centers segments. The company offers BIVIGAM, an intravenous immune globulin (IVIG) product indicated for the treatment of primary humoral immunodeficiency (PI); ASCENIV, an IVIG product for the tre",2155852544.0,9.625,0.159,0.64705,55921152000.0,97668702208.0,54755376.0,512275008.0
FDMT,Healthcare,Biotechnology,"4D Molecular Therapeutics, Inc., a late-stage biotechnology company, engages in the development of adeno-associated virus vectors from its proprietary synthetic vector discovery platform, Therapeutic Vector Evolution in the Netherlands and the United States. The company's lead product candidate is 4D-150 for the treatment of retinal vascular diseases by providing multi-year sustained production of anti-VEGF from the retina with intravitreal injection, as well as for treating wet age-related macu",846341312.0,15.32,251.067,-1.57704,361334016.0,39217000.0,-90773504.0,92008000.0
FDMDF,Healthcare,Medical Devices,"4DMedical Limited operates as a medical technology company in the United States and Australia. The company engages in the medical research technology and development of a non-invasive respiratory imaging solution using four-dimensional imaging. It offers CT:VQ, non contrast post processing technology; CAC, a non-contrast cardiothoracic risk assessment sotware; CT LVAS, a regional lung function imaging software; IQ-UIP, a state-of-the-art software; LDAf, Patented Parametric Response Mapping (PRM)",1769803264.0,2.95,-0.015,0.91869,56761852.0,10243510.0,-117523424.0,5810378.0
ACRS,Healthcare,Biotechnology,"Aclaris Therapeutics, Inc., a clinical-stage biopharmaceutical company, engages in the discovering and developing novel molecule product candidates for immuno-inflammatory diseases in the United States. The company product pipeline includes Bosakitug (ATI-045), an anti-thymic stromal lymphopoietin monoclonal antibody in Phase 2 trial to treat moderate to severe atopic dermatitis, asthma, chronic rhinosinusitis with nasal polyps, and moderate to severe chronic obstructive pulmonary disease; ATI-2",900857216.0,6.12,-0.083,0.0,91556000.0,1850000.0,-41970624.0,8219000.0
AHCO,Healthcare,Medical Devices,"AdaptHealth Corp., together with its subsidiaries, distributes home medical equipment (HME), medical supplies, and home and related services in the United States. It operates through Sleep Health, Respiratory Health, Diabetes Health, and Wellness at Home segments. The company offers sleep therapy equipment, supplies, and related services, such as continuous positive airway pressure and BiLevel services to individuals suffering from obstructive sleep apnea; oxygen and home mechanical ventilation ",737085632.0,5.525,0.127,0.19174999,43289000.0,2065088000.0,-80691504.0,3363389952.0
ANL,Healthcare,Biotechnology,"Adlai Nortye Group Ltd., a clinical-stage biopharmaceutical company, engages in the discovery and development of cancer therapies. The company's pipeline centers on RAS-targeting therapies and next-generation cancer immunotherapies. Its RAS-targeting programs include AN9025, an oral pan-RAS(ON) inhibitor for RAS-driven cancers, and AN4035, a CEACAM5-targeting antibody-drug conjugate that delivers a pan-RAS(ON) inhibitor to tumors. Its immunotherapy programs include AN8025, a tri-functional fusio",911552768.0,14.155,,1.0,232816992.0,26701000.0,-11449125.0,18056000.0
AARD,Healthcare,Biotechnology,"Aardvark Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses on developing small-molecule therapeutics to activate innate homeostatic pathways for the treatment of metabolic diseases. Aardvark Therapeutics, Inc. was incorporated in 2017 and is headquartered in San Diego, California.",144658832.0,6.61,,0.0,73870000.0,677000.0,-46898876.0,
ABEO,Healthcare,Biotechnology,"Abeona Therapeutics Inc., a commercial-stage biopharmaceutical company, develops gene and cell therapies for life-threatening diseases in the United States. It develops ZEVASKYN, an autologous, cell-based gene therapy for the treatment of patients with recessive dystrophic epidermolysis bullosa. The company also develops ABO-503 to treat X-linked retinoschisis; ABO-504 for the treatment of stargardt disease; and ABO-505 to treat autosomal dominant optic atrophy. In addition, it is developing AAV",345105536.0,6.035,27.45,-0.39898,146826000.0,19872000.0,-73398752.0,25520000.0
ACIU,Healthcare,Biotechnology,"AC Immune SA, a clinical stage biopharmaceutical company, discovers, designs, and develops medicines, and therapeutic and diagnostic products for the prevention and treatment of neurodegenerative diseases associated with protein misfolding. The company's SupraAntigen and Morphomer platforms are designed to generate biologics and small molecules, which selectively interact with misfolded proteins that are common in a range of neurodegenerative diseases. It develops Crenezumab, a humanized, confor",289332384.0,2.91,10.572,-1.62231,75357000.0,4102000.0,-33138624.0,17509000.0
ABOS,Healthcare,Biotechnology,"Acumen Pharmaceuticals, Inc., a clinical-stage biopharmaceutical company, develops targeted therapies for the treatment of Alzheimer's disease. It focuses on advancing a targeted immunotherapy drug candidate, sabirnetug (ACU193), which is in its Phase 2 ALTITUDE-AD clinical trial to target toxic soluble amyloid beta oligomers. Acumen Pharmaceuticals, Inc. has a collaboration and license agreement with Halozyme, Inc. for the development of a subcutaneous formulation of Sabirnetug, as well as with",214782352.0,2.97,,0.0,110197000.0,31646000.0,-56503376.0,
ADAG,Healthcare,Biotechnology,"Adagene Inc., a clinical stage biotechnology company, engages in the research, development, and production of monoclonal antibody drugs for cancers in the People's Republic of China. Its lead product candidate is the ADG126, a masked fully-human anti-CTLA-4 mAb which is in phase 1b/2 clinical development for the treatment of cancer. The company also develops ADG116, a fully human anti-CTLA-4 antibody generated using NEObody technology, which is in phase 1b/2 clinical trials to treat advanced/met",258501872.0,3.85,,1.0,127909840.0,6091037.0,-12158853.0,9290815.0
ADCT,Healthcare,Drug Manufacturers - Specialty & Generic,"ADC Therapeutics SA provides antibody drug conjugate (ADC) technology platform in Switzerland and the United States. Its flagship product includes ZYNLONTA, a CD19-directed ADC, received accelerated approval from the U.S. Food and Drug Administration, conditional approval from the European Commission, and conditional approval from the China National Medical Products Administration for the treatment of relapsed or refractory diffuse large B-cell lymphoma (DLBCL) after two or more lines of systemi",134051072.0,1.05,0.022,-0.11594,219107008.0,438191008.0,-68119872.0,79584000.0
AGEN,Healthcare,Biotechnology,"Agenus Inc., a clinical-stage biotechnology company, discovers and develops immunotherapies for cancer and infectious diseases in the United States and internationally. It offers Retrocyte Display, an antibody expression platform for the identification of fully human and humanized monoclonal antibodies; and display technologies. It develops QS-21 Stimulon adjuvant, a saponin-based vaccine adjuvant. The company also develops Balstilimab, a programmed death receptor-1 (PD-1) blocking antibody; AGE",377181056.0,8.38,0.344,1.13608,18738000.0,40708000.0,-74785872.0,132693000.0
AIRS,Healthcare,Medical Care Facilities,"AirSculpt Technologies, Inc., together with its subsidiaries, focuses on operating as a holding company for EBS Intermediate Parent LLC that provides body contouring procedure services in the United States and Canada. The company offers AirSculpt, a body contouring treatment that removes fat and tightens skin while sculpting targeted areas of the body in a minimally invasive procedure. It also provides AirSculpt+, a procedure that permanently removes fat and tightens the skin with unparalleled p",188528976.0,2.615,-0.025,0.66300005,18824000.0,70468000.0,7989875.0,150724000.0
AKBA,Healthcare,Drug Manufacturers - Specialty & Generic,"Akebia Therapeutics, Inc., a biopharmaceutical company, focuses on the development and commercialization of therapeutics for patients with kidney diseases. Its product portfolio includes Vafseo (vadadustat), an oral hypoxia-inducible factor prolyl hydroxylase, for the treatment of anemia due to chronic kidney disease (CKD) in dialysis-dependent (DD) and non-dialysis dependent (NDD) patients; and Auryxia, a ferric citrate that is used to control the serum phosphorus levels in adult patients with ",247095648.0,0.8917,-0.214,0.81439,155548000.0,199188000.0,33636376.0,219060000.0
ALEC,Healthcare,Biotechnology,"Alector, Inc., a clinical stage biotechnology company, develops therapies to counteract the progression of neurodegeneration in the United States. Its pipeline includes Nivisnebart, an investigational human recombinant monoclonal antibody for treating prevalent neurodegenerative diseases; AL137, an anti-amyloid beta antibody paired in preclinical development for the potential treatment of Alzheimer's disease; and AL050, a GCase enzyme replacement therapy in preclinical development for the potent",265743488.0,2.38,-0.578,0.0,172798000.0,32758000.0,-107252496.0,13863000.0
ALXO,Healthcare,Biotechnology,"ALX Oncology Holdings Inc., a clinical-stage immuno-oncology company, focuses on developing therapies for cancer patients in the United States. The company's lead product candidate is Evorpacept, a CD47 blocking therapeutic biologic development as a combination therapy with other anti-cancer agents, including ASPEN-06, under phase 2 clinical study for treating Gastric/GEJ cancer. It has collaboration agreement for Evorpacept combination programs comprising Jazz Pharmaceuticals plc for zanidatama",272682240.0,1.972,,0.0,138228992.0,11038000.0,-41156124.0,
AMRN,Healthcare,Drug Manufacturers - General,"Amarin Corporation plc, a pharmaceutical company, engages in the commercialization and development of therapeutics for the treatment of cardiovascular diseases in the United States, Europe, and internationally. It offers VASCEPA, a prescription-only omega-3 fatty acid product, used as an adjunct to diet for reducing triglyceride levels in adult patients with severe hypertriglyceridemia. The company sells its products principally through wholesalers, selected regional wholesalers, and retail and ",301317248.0,14.265,-0.42,0.41956002,314648992.0,7175000.0,-5569250.0,186232992.0
ANTX,Healthcare,Biotechnology,"AN2 Therapeutics, Inc., a biopharmaceutical company, focuses on discovering and developing novel small molecule therapeutics. The company's initial candidate includes epetraborole, which is phase 3 clinical trial as a once-daily oral treatment for patients with non-tuberculous mycobacterial lung disease, as well as studying for the treatment of acute melioidosis. It also develops AN2-502998 (AN15368), an investigational, boron-based small molecule in development for the treatment of chronic Chag",218492800.0,5.79,,0.0,78387000.0,0.0,-18017876.0,
AVXL,Healthcare,Biotechnology,"Anavex Life Sciences Corp. operates as a biopharmaceutical company. It engages in developing innovative treatments for Alzheimer's disease, Parkinson's disease, schizophrenia, neurodevelopmental, neurodegenerative, and rare diseases, including Rett syndrome, and other central nervous system (CNS) disorders, pain, and various types of cancer . Its lead drug candidate, ANAVEX 2-73 (blarcamesine), has completed a Phase 2a and a Phase 2b/3 clinical trial for Alzheimer's disease; a Phase 2 proof-of-c",302655200.0,3.265,,0.0,118326000.0,0.0,,
ANIX,Healthcare,Biotechnology,"Anixa Biosciences, Inc., a biotechnology company, develops therapies and vaccines that are focused on critical unmet needs in oncology. Its therapeutics programs comprising the development of liraltagene autoleucel, a chimeric endocrine receptor-T cell therapy, a novel form of chimeric antigen receptor-T cell (CAR-T) technology that is focused on treating ovarian cancer. The company also engaged in the development of a vaccine against breast cancer; and the development of a vaccine discovery pro",123333608.0,3.625,,0.0,13686000.0,184000.0,-3635875.0,
ARCT,Healthcare,Biotechnology,"Arcturus Therapeutics Holdings Inc., a messenger RNA medicines company, focuses on the development of liver and respiratory rare disease therapeutics. Its technology platforms include STARR, a self-amplifying mRNA technology platform, and LUNAR, a lipid-mediated delivery system. The company also develops ARCT-032 (LUNAR-CF), an mRNA therapeutic candidate for cystic fibrosis that is in Phase 2 clinical development; and ARCT-810 (LUNAR-OTC), which is in Phase 2 clinical development to address orni",447947552.0,15.76,-0.895,-1.95502,191483008.0,22933000.0,19258624.0,29368000.0
ARMP,Healthcare,Biotechnology,"Armata Pharmaceuticals, Inc. operates as a clinical-stage biotechnology company that focuses on the development of targeted bacteriophage therapeutics for antibiotic-resistant infections worldwide. It develops its products using its proprietary bacteriophage-based technology. The company's product candidates include AP-SA02 for the treatment of Staphylococcus aureus bacteremia; AP-PA03 for Pseudomonas aeruginosa . The company is based in Los Angeles, California. Armata Pharmaceuticals, Inc. is a",200968608.0,5.405,0.157,-2.17355,23952000.0,313952992.0,-27409624.0,5543000.0
AVIR,Healthcare,Biotechnology,"Atea Pharmaceuticals, Inc., a clinical-stage biopharmaceutical company, discovers, develops, and commercializes oral antiviral therapeutics for patients with serious viral infections. Its lead product candidate is the regimen of bemnifosbuvir, a nucleotide NS5B inhibitor, and ruzasvir, an NS5A inhibitor, which is in Phase 3 clinical trial for the treatment of hepatitis C virus (HCV). The company also developing AT-587, that is in Phase 1 clinical trial for the treatment of chronic HEV infection.",438719680.0,5.47,,0.0,219464992.0,424000.0,-92825248.0,
RNA,Healthcare,Biotechnology,"Atrium Therapeutics, Inc., a biopharmaceutical company, focuses on delivering ribonucleic acid (RNA) therapeutics to the heart to transform the care for people living with cardiomyopathies. The company's development stage product candidates include ATR 1072, a siRNA-based therapy targeting PRKAG2 for the treatment of PRKAG2 syndrome; and ATR 1086, a siRNA-based therapy targeting PLN for the treatment of PLN cardiomyopathy. It also focuses on pipeline to treat a range of genetic and cardiac disea",234860480.0,13.73,-0.219,-0.56366,263900000.0,1683000.0,,35837000.0
AUNA,Healthcare,Medical Care Facilities,"Auna S.A., a healthcare service provider, operates hospitals and clinics in Mexico, Peru, and Colombia. The company provides prepaid healthcare; dental and vision insurance; and oncology plans. It also sells medicines. Auna S.A. was founded in 1989 and is based in Luxembourg, Luxembourg.",388795680.0,5.25,0.132,0.3689,481324000.0,3795484928.0,314983488.0,4665241088.0
BNTC,Healthcare,Biotechnology,"Benitec Biopharma Inc., a clinical-stage biotechnology company, focuses on the development of novel genetic medicines. Its Silence and Replace, a DNA-directedRNA interference platform combines RNA interference with gene therapy to create medicines that simultaneously facilitate sustained silencing of disease-causing genes and concomitant delivery of wildtype replacement genes following a single administration of the therapeutic construct. The company is developing BB-301, an AAV-based gene thera",438533120.0,12.765,,0.0,184760992.0,876000.0,-7130500.0,
BGM,Healthcare,Drug Manufacturers - Specialty & Generic,"BGM Group Ltd., through its subsidiaries, operates as a pharmaceutical and chemical company in China. The company operates through Diversified Pharmaceutical and Allied Products; AI Solution; and Insurance Business segments. It offers oxytetracycline products, including Qilian Shan oxytetracycline tablets to prevent and treat a range of diseases in chickens, turkeys, cattle, swine, and human; and Qilian Shan oxytetracycline active pharmaceutical ingredients, which are used by pharmaceutical comp",112174544.0,0.28,0.883,0.16644,10814465.0,1938719.0,3499949.0,37919424.0
BCYC,Healthcare,Biotechnology,"Bicycle Therapeutics plc, a clinical-stage pharmaceutical company, develops a class of medicines for diseases that are underserved by existing therapeutics in the United States and the United Kingdom. The company's products pipeline include zelenectide pevedotin, a bicycle toxin conjugate (BTC), which is in phase II clinical trials for the treatment of high nectin-4 expressing tumors; nuzefatide pevedotin (EphA2), a BTC that is in phase I/II clinical trials to treat Ephrin type A receptor 2 expr",301669280.0,4.31,-0.785,-2.0889301,510052000.0,14661000.0,-99822128.0,61205000.0
BIOA,Healthcare,Drug Manufacturers - Specialty & Generic,"BioAge Labs, Inc., a clinical-stage biopharmaceutical company, develops therapeutic product candidates for metabolic diseases. The company's technology platform and differentiated human datasets that allows users to identify targets based on insights into molecular changes that drive aging. Its lead product candidate includes BGE-102, an orally available brain-penetrant small-molecule NLRP3 inhibitor which is in Phase 1 clinical trail for the treatment of atherosclerotic cardiovascular disease, ",451625568.0,9.84,0.016,0.0,318744992.0,2835000.0,-58067000.0,10355000.0
BMEA,Healthcare,Biotechnology,"Biomea Fusion, Inc., a clinical-stage diabetes and obesity medicines company, focuses on the discovery and development of oral drugs to treat patients with diabetes and obesity. It's lead clinical program's drug candidates are COVALENT-111 and COVALENT-112, which has completed Phase II clinical trials of icovamenib for the treatment of Type 1 and Type 2 diabetes; COVALENT-211, which is in Phase II clinical trial of icovamenib for treating insulin-deficient type 2 diabetes; and COVALENT-212, whic",130138992.0,1.8,,0.0,34824000.0,877000.0,-27796876.0,
BDTX,Healthcare,Biotechnology,"Black Diamond Therapeutics, Inc., a clinical-stage oncology company, focuses on the discovery and development of MasterKey therapies for patients with genetically defined tumors. The company's lead product candidate is silevertinib, a brain-penetrant epidermal growth factor receptor MasterKey inhibitor, which is in Phase 2 clinical trial for the treatment of epidermal growth factor receptor mutant non-small cell lung cancer, as well as Phase 2 clinical trial to treat glioblastoma. It is also dev",128642480.0,2.245,,0.0,110506000.0,16970000.0,-23577500.0,0.0
CAMP,Healthcare,Biotechnology,"Camp4 Therapeutics Corporation, a clinical-stage biopharmaceutical company, discovers and develops RNA-based therapeutics to treat a range of genetic diseases. Its lead product candidate is CMP-001, which is in a Phase 1/2 clinical trial for the treatment of urea cycle disorders. The company also develops CMP-002 for the treatment of SYNGAP1-related disorders. Camp4 Therapeutics Corporation was formerly known as Marauder Therapeutics, Inc. and changed its name to Camp4 Therapeutics Corporation i",266073552.0,4.24,0.188,0.0,86398000.0,2372000.0,-12828000.0,4216000.0
CGC,Healthcare,Drug Manufacturers - Specialty & Generic,"Canopy Growth Corporation, together with its subsidiaries, engages in the production, distribution, and sale of cannabis and cannabis-related products for medical and adult use in Canada, Germany, the United States, and internationally. The company operates through two segments, Cannabis and Storz & Bickel. It also provides vaporizers and accessories; dried flower and pre-rolled joints, oil, and vapes and beverages; extracts and concentrates, such as softgel capsules; and cannabis edibles, inclu",496960800.0,1.045,0.125,0.28521,337804992.0,277328992.0,7187750.0,293633984.0
CNTN,Healthcare,Biotechnology,"Canton Strategic Holdings, Inc. engages in the institutional blockchain adoption and digitization of financial markets in the United States. It operates in two segments, Digital Asset Treasury and Clinical Stage Bio-technology. The company is involved in the operation of Canton Coin-centric digital asset treasury strategies, including validator operations and network participation; application support and strategic investments; collaboration and ecosystem advancement; capital raising and treasur",186055984.0,2.335,,1.0,37241568.0,0.0,-1273672.0,1495859.0
CAPR,Healthcare,Biotechnology,"Capricor Therapeutics, Inc., a clinical-stage biotechnology company, engages in the development of transformative cell and exosome-based therapeutics for treating duchenne muscular dystrophy (DMD) and other diseases with unmet medical needs in the United States. Its lead product candidate is the Deramiocel, an allogeneic cardiosphere-derived cells, which is in phase 3 clinical trial for the treatment of DMD. The company also develops Exosome protein-based vaccine, which is in preclinical trial t",527320608.0,9.07,,0.0,237934784.0,91045360.0,-89191328.0,
CRDL,Healthcare,Drug Manufacturers - Specialty & Generic,"Cardiol Therapeutics Inc., a clinical-stage life sciences company, focuses on the development of anti-fibrotic and anti-inflammatory therapies for the treatment of heart diseases. Its lead product candidate is CardiolRx, which is in Phase III multi-national, randomized, double-blind, and placebo-controlled study to evaluate the efficacy and safety of CardiolRx in acute myocarditis, as well as for the treatment of recurrent pericarditis. The company is also developing CRD-38, a novel subcutaneous",259346336.0,2.22,,0.0,26081066.0,106998.0,-15476806.0,
CRBU,Healthcare,Biotechnology,"Caribou Biosciences, Inc. operates as a clinical-stage clustered regularly interspaced short palindromic repeats (CRISPR) genome-editing biopharmaceutical company. It offers a genome-editing platform based on novel CRISPR hybrid RNA-DNA genome-editing technology that enables precise genome editing of allogeneic cell therapies. The company develops Vispacabtagene Regedleucel, an allogeneic anti-CD19 CAR-T cell therapy that is in phase 1 clinical trial to treat relapsed or refractory B cell non-Ho",177964464.0,1.66,-0.438,0.0,112314000.0,26655000.0,-59605500.0,10035000.0
RNAC,Healthcare,Biotechnology,"Cartesian Therapeutics, Inc., a clinical-stage biotechnology company, provides mRNA cell therapies for the treatment of autoimmune diseases. The company's lead product candidate is Descartes-08, an autologous mRNA chimeric antigen receptor T-cell cell therapy (CAR-T) directed against the B cell maturation antigen (BCMA), which is in Phase 2b clinical trials for the treatment of autoimmune diseases, generalized myasthenia gravis, and systemic lupus erythematosus, as well as rare pediatric disease",310419904.0,10.26,,0.0,147606000.0,63853000.0,-47480376.0,1477000.0
CLLS,Healthcare,Biotechnology,"Cellectis S.A., a clinical stage biotechnological company, develops products based on gene-editing with a portfolio of allogeneic chimeric antigen receptor T-cells product candidates in the field of immuno-oncology and gene therapy product candidates in other therapeutic indications. The company is developing BALLI-01, to evaluate the safety, expansion, persistence, and clinical activities of lasme-cel in patients with r/r ALL; NatHaLi-01, designed to evaluate the safety, expansion, persistence,",340370080.0,3.38,-0.621,1.0,166686000.0,80350000.0,107701376.0,63823000.0
