ticker,verdict,reason
FEDOF,C,undifferentiated commodity animal feed thin margins
AFRI,C,staple milling but sharply contracting revenue
HMBAF,C,consumer goods rollup without durable-need efficiency
IMDXF,C,mining-tech keyword-matcher not food need
LWAY,B,probiotic kefir nutrition with real growth
LONKF,C,commodity construction machinery with finance arm
MAOIF,C,undifferentiated material-handling equipment
MED,C,contracting multilevel weight-loss program
MOPLF,C,mixed staples and wines with contracting revenue
OTLY,B,plant-based dairy lowering footprint with improving economics
OCGPF,C,commodity wild-catch fishing with contracting revenue
PLFRF,B,truck-mounted lifting equipment improves loading logistics
PSSEF,A,cut-to-length forestry machines improve timber harvest efficiency
SARDY,C,commodity seafood with contracting revenue
SCLZF,B,byproduct valorization and horticulture with circular elements
SHVTF,C,commodity water-intensive almond farming
SLVMF,C,pre-revenue mineral exploration
STNT,C,development-stage shell nothing verifiable
UMEW,C,micro-cap oil venture no real commercialization
VITL,B,decentralized pasture-raised egg network though premium priced
WKRCF,C,undifferentiated compact construction equipment
ARKO,C,convenience-store fuel retail not durable-need efficiency
AUDYF,C,infant formula in contracting market without differentiation
ASAGF,C,commodity cattle production with negative margins
AXFOF,B,discount grocery banners plus wholesale distribution efficiency
BMBRF,A,hard-discount grocery cutting food cost at scale
BUMTF,C,commodity palm oil plantation
CRRFY,C,conventional hypermarket retail without differentiation
CHFHY,C,sugary-drink bottling misaligned with health
CLEGF,C,conventional grocery duopoly without efficiency mechanism
CLLFF,C,fried-chicken franchise restaurants
CUYTY,B,lowest-price discount grocery model
CVPBF,C,convenience-store format without cost-lowering mechanism
DNOPY,B,efficient proximity discount supermarkets with strong growth
EMLAF,C,conventional grocery retail without differentiation
ARSUF,A,pharmacy compounding platform improving medicine access and personalization
FMCB,C,financial intermediation (bank)
WNGRF,C,holding company of grocer plus REIT
GRCLF,B,grain storage and port infrastructure though commodity cyclical
GRGTF,C,residential landlord rent collection with contracting revenue
GO,B,discount grocery retail lowering food cost
GCHEF,C,conventional grocery retail without differentiation
HLFGY,B,automated outsourced protein packing partner for retailers
HOFJF,C,branded packaged foods flat without efficiency angle
IMKTA,C,regional conventional supermarkets without differentiation
KKOYY,C,mixed retail conglomerate without efficiency mechanism
KOBNF,B,discount franchise supermarkets with own manufacturing
DNUT,C,indulgence doughnuts with contracting revenue
KNKZF,A,seed genetics improving crop yields per hectare
LOBLY,B,scale grocer with discount banners and pharmacy
MTRAF,C,conventional grocery retail without differentiation
MROPF,C,small cash-burning valve maker without proven economics
NGVC,C,premium natural grocery without cost-lowering mechanism
OCDGF,A,grocery warehouse automation compressing fulfillment cost
AAGRY,C,commodity palm oil plantation
PSBAF,B,low-cost minimarket network serving mass market
RCLFF,C,flat commodity food conglomerate thin margins
SKSDF,A,vegetable seed breeding improves crop yields
SVNDY,C,convenience conglomerate with contracting revenue
SHUFF,C,conventional grocery retail without differentiation
SIGRF,B,foodservice wholesale distribution backbone thin margins
SRGPF,C,commodity rubber thin margins
VLGEA,C,conventional supermarkets without differentiation
WMK,C,conventional supermarkets without differentiation
YSWY,C,convenience-fuel retail not durable-need efficiency
WILC,C,niche food importer flat without efficiency angle
HFFG,B,specialty food distribution backbone thin margins
RYM,C,intoxicant hemp-THC beverages addiction economics
AKASF,A,aquaculture technology improving farmed-protein efficiency
BLLQF,C,undifferentiated heavy equipment with contracting revenue
BOF,C,snack micro-cap weak economics
AGGZF,B,grain storage equipment cuts post-harvest loss though contracting
HAIN,C,contracting natural-foods rollup
HOFBF,B,circular marine byproduct nutrition but small unproven economics
BWEL,C,commodity water-intensive cotton farming opaque financials
KRSOF,B,electric bus maker aids transit but small uncertain
LIFCF,C,conventional supermarkets without differentiation
NNWWF,B,essential food access for remote underserved communities
ORENF,B,agronomy services improving farm productivity
RLEVF,B,discount grocery lowering food cost
SHGXY,C,commodity casings no verifiable financials
SOWG,C,candy micro-cap broken financials
TKFHY,C,oil-gas contracting conglomerate with contracting revenue
TSDOF,B,circular bio-valorization and specialty crop nutrition conglomerate
ALFDF,C,commodity factory-farm poultry producer
UCFI,C,dubious supplement live-stream seller
HLNFF,C,commodity frozen seafood processing
INDFY,C,commodity palm oil plantations
KGFMF,C,pre-revenue mineral exploration
OCGSF,C,pre-revenue mineral exploration
PMDSF,C,contracting functional-ingredient niche
QQFSF,C,contracting snack maker
RZSMF,C,publishing keyword-matcher not food need
RFGPF,C,discretionary franchise restaurants
DIT,C,cigarette-heavy wholesale distribution addiction economics
BRID,C,commodity snack foods without differentiation
HCIL,C,opaque trading shell nothing verifiable
PFAI,C,micro-cap hydroponics stagnant commercialization
WYHG,C,commodity cured meats with contracting revenue
BMTHF,C,snack retail not durable-need efficiency
BHST,C,nutraceutical platform without durable-need fit
BRLS,C,no verifiable description
CVNZF,C,premium honey not durable-need efficiency
DDC,C,no verifiable description
EUSHY,B,wholesale food distribution backbone for independents
FRFAF,C,small co-packer thin economics
HLFFF,C,contracting meal-kit model
LSF,C,no verifiable description
TWG,C,no verifiable description
ZHYBF,C,micro-cap supplements contracting
ENMPF,C,no verifiable description
FMFG,C,financial intermediation (bank)
SRRPF,C,no verifiable description
RAVE,C,no verifiable description
VVIVF,C,no verifiable description
TXG,C,no verifiable description
MMM,C,no verifiable description
A,C,no verifiable description
ALMR,B,proteomics tools strong growth but research-market dependent
AMBFF,A,single-use endoscopes cut infection and reprocessing cost
AGLFF,B,clear aligners real growth though partly cosmetic
ANSLY,C,commodity protective gloves
AHICF,A,dominant guidewires enable minimally invasive cardiac care
ATRC,B,surgical ablation devices with steady growth
AVTR,C,flat lab-supply distribution without differentiation
BAX,B,essential hospital IV and infusion basics but sluggish
BDX,A,essential basic-care supplies lowering care cost at scale
BIO,C,flat research-tools conglomerate
BMXXY,B,infection diagnostics aid antibiotic stewardship though revenue dipped
BSX,A,minimally invasive interventional devices at scale
BRKRP,C,research instruments indirect health outcome
BRKR,C,research instruments indirect health outcome
CZMWY,B,eye-care surgical diagnostics but sluggish growth
CLDX,C,clinical-stage biotech binary trial risk
CHEOY,B,hearing implants restore function but premium slow growth
CLPBY,B,chronic ostomy care essentials at premium pricing
CNVVY,B,wound and ostomy chronic-care essentials
WILLF,B,hearing aids restore function within pricing oligopoly
XRAY,C,stagnant dental conglomerate contracting revenue
DXCM,A,continuous glucose monitoring prevents costly diabetes complications
DSRLF,B,clinical immunodiagnostics with modest growth
DRWKF,C,critical-care equipment thin profitability no efficiency evidence
EKTAF,C,radiotherapy systems with contracting revenue
NVST,C,mid-tier dental products without efficiency evidence
ESLOY,B,vision correction at scale mixed with luxury markup
ERFSF,B,essential testing network though thin-margin rollup
FLMNF,B,affordable eyewear retail
GNGBY,C,sluggish surgical equipment without efficiency evidence
GKOS,A,micro-stents preserving sight with strong growth
GMED,C,spine implants opaque pricing no cost mechanism
GGNDF,C,mixed hearing-gaming conglomerate contracting
HAE,B,blood and plasma collection systems infrastructure
HNGZY,B,contract research services lowering trial costs
HTFL,A,noninvasive coronary diagnosis replacing invasive procedures
HOCPF,C,mixed optics-semiconductor conglomerate diluted health fit
ICUI,C,flat infusion portfolio without differentiation
IDXX,C,companion-animal diagnostics adjacent to core needs
PODD,A,automated insulin delivery improving diabetes outcomes
IRTC,A,wearable cardiac monitoring catches arrhythmias earlier and cheaper
RYLPF,C,flat recall-plagued health-tech conglomerate
LNTH,B,diagnostic imaging agents with modest growth
LZAGY,A,pharma manufacturing backbone lowering biologics production cost
MDLN,A,low-cost med-surg supply backbone at scale
MMSI,C,solid but undistinguished interventional consumables
MTD,C,research and industrial instruments indirect health outcome
MMED,B,insulin pumps and sensors though competitively lagging
NEOG,B,food-safety diagnostics though flat growth
NVCR,C,high-cost single-modality oncology device uncertain benefit
OLYMY,A,endoscopy enabling early gastrointestinal diagnosis at scale
PEN,A,mechanical thrombectomy improving stroke and embolism outcomes
PLSE,C,pre-commercial ablation platform unproven
RSMDF,A,sleep-apnea therapy at scale reducing chronic complications
RMD,A,sleep-apnea therapy at scale reducing chronic complications
RVTY,C,flat mixed tools-diagnostics portfolio
SUVPF,B,bioprocess equipment backbone though cyclical normalization
SNNUF,C,mid-tier orthopedics without efficiency mechanism
SOLV,C,flat healthcare spinoff without efficiency evidence
SONVY,B,hearing aids restore function within pricing oligopoly
STVN,B,drug containment systems essential though lower margin
SAUHF,C,premium dental implants cost-inflating slow growth
SYK,B,broad surgical technology strong but no cost-lowering evidence
SSMXY,A,automated blood diagnostics at scale with strong growth
TCHBF,C,lab-automation tools with contracting revenue
TFX,B,single-use procedural devices acquisition-driven growth
TRUMY,A,vascular and blood-management essentials at scale growing
UFPT,B,medical device components manufacturer with steady growth
WAT,C,research and QC instruments indirect health outcome
WST,A,injectable drug containment backbone with strong growth
WUXIF,A,contract research manufacturing compressing drug development cost
YPHDF,C,self-injection systems with contracting revenue
ACHC,C,no verifiable description
ALHC,C,insurance intermediation
AXGN,B,nerve-repair grafts restoring function with real growth
BLLN,B,precision prenatal diagnostics hypergrowth but narrow base
BFLY,A,low-cost handheld ultrasound democratizing imaging access
CDNA,B,noninvasive transplant monitoring avoids biopsies
CAI,B,molecular profiling growth in competitive space
CELC,C,clinical-stage biotech binary trial risk
CNC,C,insurance intermediation
CI,C,insurance and pharmacy-benefit intermediation
CLOV,C,insurance intermediation
CON,C,occupational clinic chain without efficiency evidence
ELV,C,insurance intermediation
GEHC,B,imaging infrastructure at scale modest growth
GRAL,B,multi-cancer early detection promising unproven utility economics
GH,A,liquid biopsy guiding cancer therapy with strong growth
HSIC,B,dental-medical supply distribution backbone
HUM,C,insurance intermediation
ILMN,A,sequencing platform driving cost-per-genome collapse
ITGR,C,contract device manufacturer with contracting revenue
PHG,C,flat recall-plagued health-tech conglomerate
LH,B,scale lab testing but commoditized modest growth
LIVN,C,mixed device portfolio without efficiency evidence
MDT,B,broad essential devices but sluggish differentiation evidence
MOH,C,insurance intermediation
NTRA,A,cell-free DNA testing scaling prenatal and cancer detection
OSCR,C,insurance intermediation
DGX,B,scale lab testing but commoditized
RDNT,B,outpatient imaging shifts scans to lower-cost settings
TMDX,A,organ perfusion expands usable donor organ supply
UNH,C,insurance intermediation
VCYT,A,genomic classifiers prevent unnecessary surgeries
ACHV,C,no verifiable description
ADDLF,C,medtech distribution without differentiation
DRTS,C,clinical-stage radiotherapy unproven
ATEC,C,dilutive spine implant share-taker no cost mechanism
ANGO,C,undifferentiated vascular devices modest growth
AORT,C,niche cardiac devices without efficiency evidence
BBNX,B,automated insulin delivery challenger with strong growth
BVS,C,pain injectables of questioned efficacy
BMLKF,B,contract clinical testing lowering per-test cost
BOEUF,A,antibiotic-eluting bone grafts prevent infection with strong growth
BRSYF,B,noninvasive neurostimulation for depression with real growth
BWAY,B,noninvasive neurostimulation for depression with real growth
CERS,B,blood-supply pathogen reduction but weak economics
CLPT,C,tiny neuro-navigation niche
CTKB,C,research instruments indirect health outcome
DCTH,B,liver-directed chemotherapy delivery early commercialization
TDVXF,A,assistive communication devices restore function for disabled
EKZRF,C,isotope components with contracting revenue
ELEAF,C,mixed medical-industrial lasers including cosmetic
FKDSF,C,flat patient-monitoring equipment without differentiation
GRRMF,B,drug packaging and delivery devices with strong growth
MRCHF,C,flat lab-testing conglomerate
PHCRF,C,flat pathology network without efficiency evidence
INSP,C,sleep-apnea implant with contracting revenue
IART,C,flat quality-troubled neurosurgery portfolio
NTLA,C,clinical-stage gene editing binary trial risk
IOBCF,C,capital-intensive proton therapy niche
IRMD,C,flat MRI-compatible device niche
JNDOF,B,affordable eyewear retail with strong growth
KMTS,B,wearable defibrillator with strong growth
LMAT,C,niche vascular devices no cost-efficiency mechanism
LFTSF,C,undifferentiated interventional devices with property sideline
MNICF,B,dominant precision surgical needles and instruments
MDRSF,B,extremity trauma fixation with strong growth
MNNLF,C,commodity contact lenses without differentiation
MTLZF,C,flat holding conglomerate
MDXG,C,contracting tissue-graft sales
NKNSF,B,dental instruments with strong growth
NNCSF,C,single-product infection control flat growth
NHNKF,C,patient monitoring with contracting revenue
NLTBF,C,undifferentiated contract polymer components
KIDS,A,pediatric-specific orthopedic implants fill neglected need
PHCCF,C,flat diabetes-diagnostics conglomerate
CALZF,C,burn matrix promising but unverifiable growth
PRCT,A,waterjet BPH therapy preserving function with growth
QDEL,B,broad diagnostics portfolio though flat
SAFLY,C,fashion eyewear discretionary
SENS,C,dilution-heavy micro-cap chronic losses
SIBN,C,single-niche implant no cost mechanism
SGP,C,pre-revenue drug-delivery implant unproven
SSII,B,low-cost surgical robotics democratizing access early stage
TCMD,C,home compression devices modest growth no differentiation
TNDM,C,insulin pumps under competitive pressure slow growth
TPGVF,C,commodity glove manufacturer
VIMGF,C,animal-health rollup adjacent need
VTRLY,C,flat fertility products niche
