ticker,price,marketcap,need,permanent_need,system_balance,cost_compression,moat,proven_functions,scale_velocity,expansion_signal,survivability,total,verdict,reason,grp
WRTBY,6.7,19.8B,grid balancing power and marine propulsion,13,13,12,12,9,8,9,8,84,ADVANCE,Record orders; installed-base service moat; balancing engines enable renewable grids,07
TSM,417.69,2.17T,leading-edge semiconductor fabrication,14,11,15,15,10,9,9,6,89,ADVANCE,Archetypal cost-compressor; unmatched process moat; computation now civilizational substrate; Taiwan risk noted,07
TOELY,184.1,165B,semiconductor production equipment,13,11,14,13,9,8,9,7,84,ADVANCE,Near-monopoly coater/developer; record results; tools drive computation cost curve; cyclical,07
KRMKF,0.1,78M,radiation detection for imaging and safety,11,10,8,9,5,5,6,4,58,CUT,Micro-cap; long dilution history; profit rests on one Siemens agreement; slow commercialization,07
GUER,3.5,40M,RF amplifier semiconductors,9,7,7,8,5,6,7,4,53,CUT,Growth increasingly military-drone dependent; net-loss micro-cap; strong RF rivals,07
AHICF,21.41,6700000000,minimally invasive vascular access,13,12,12,14,9,8,8,9,85,ADVANCE,Craft monopoly in CTO guidewires; enables surgery-avoiding PCI; record FY26 +21%,08
GKOS,189.45,10900000000,dropless glaucoma therapy preventing blindness,13,11,11,13,8,9,9,8,82,ADVANCE,iDose TR fixes drop non-compliance; +50% growth; deep pipeline moat,08
BOEUF,23.49,1560000000,antibiotic-eluting bone graft curing bone infection,13,13,14,12,8,8,8,8,84,ADVANCE,Cuts amputations 18% to 2%; saves ~$28k per patient; 91% gross margin,08
BFLY,8.64,2300000000,affordable point-of-care ultrasound imaging,12,12,12,8,6,8,8,6,72,CUT,Crowded POCUS field; Exo/GE/Clarius substitutes; still loss-making SPAC,08
PODD,146.87,10190000000,tubeless automated insulin delivery,12,10,10,10,9,7,6,7,71,CUT,Single product; guidance cut on T2 churn; Tandem/Medtronic patch pumps converging,08
DXCM,92.33,34850000000,continuous glucose monitoring standard of care,13,12,12,12,9,7,8,8,81,ADVANCE,CGM duopoly; patent peace with Abbott; raised guidance; prevention economics,08
PEN,323.05,12720000000,mechanical clot removal for stroke PE DVT,13,12,12,12,9,7,6,8,79,CUT,Pending $14.5B Boston Scientific buyout; upside capped at $374; no standalone future,08
IRTC,119.15,3930000000,long-term ambulatory arrhythmia diagnosis,12,12,13,11,7,8,9,7,79,ADVANCE,Highest diagnostic yield at lowest 1-yr cost; AI cuts review labor; 20%+ streak,08
TMDX,90.56,3.14B,organ transplant preservation and logistics,13,12,9,13,9,8,8,8,80,ADVANCE,Only multi-organ warm-perfusion platform; profitable; raises organ utilization system-wide,09
KIDS,25.65,685M,pediatric orthopedic implants and bracing,12,12,8,10,7,6,7,6,68,CUT,Still loss-making with net debt; growth slowed to low teens in narrow niche,09
KRMD,4.09,189M,home subcutaneous immunoglobulin infusion pumps,11,12,12,8,7,6,6,6,68,CUT,Low-tech pump substitutable by wearable injectors; thin cash micro-cap,09
CBLL,24.21,929M,point-of-care AI EEG for seizure and delirium,12,13,13,11,7,8,9,7,80,ADVANCE,Category-creating rapid EEG; 92% margin razor-blade; delirium NTAP opens new market,09
HYPR,0.97,103M,portable point-of-care brain MRI,11,11,11,8,3,4,5,3,56,CUT,Hard rejection; burn exceeds revenue 5x with chronic dilution and stagnant commercialization,09
OSSFF,4.15,1.77B,prosthetics and orthopedic mobility devices,14,13,9,12,9,5,6,9,77,CUT,Organic growth stuck at 5-7%; two of three segments flat or declining,09
TDVXF,8.53,905M,speech-generating devices for communication disabilities,13,14,10,12,8,7,8,8,80,ADVANCE,Dominant AAC leader; reimbursement moat; EBIT up 137% with 16% ccy growth,09
SSMXY,12.14,7.37B,blood diagnostics analyzers and reagents,14,13,12,14,9,4,6,9,81,ADVANCE,Dominant hematology franchise; recurring reagent moat; big Q1 beat signals recovery,09
GH,~$170.73,~$22B,cancer blood screening/monitoring,14,13,12,12,8,9,9,7,84,ADVANCE,FDA-approved blood CRC screen scaling fast; COGS falling toward $200; breakeven 2027,10
NTRA,~$332,~$47B,prenatal + cancer recurrence cfDNA testing,14,13,13,13,9,9,9,9,89,ADVANCE,MRD leader; 38% growth at $2.9B run-rate; cash-positive; spares 82% needless chemo,10
VCYT,~$41.25,~$2.6B,cancer treatment-decision genomic tests,13,13,12,11,9,7,8,9,82,ADVANCE,Profitable; avoids needless thyroid surgery and prostate overtreatment; new MRD launches,10
HTFL,~$48.94,~$4.3B,AI coronary CT analysis replacing invasive caths,13,13,13,11,7,9,9,7,82,ADVANCE,Noninvasive FFRCT avoids diagnostic caths; 48% growth; 83% margin; cash-positive by 2028,10
BLLN,~$97.25,~$4.6B,single-gene NIPT + oncology liquid biopsy,13,12,12,11,8,9,7,8,80,ADVANCE,Profitable at 64% growth; unique QCT single-gene NIPT; one draw replaces carrier workflow,10
CDNA,~$47.50,~$2.5B,transplant rejection surveillance testing,12,12,12,8,8,8,7,8,75,CUT,Thin moat; losing head-to-head to Natera Prospera in its only lane,10
CAI,~$26.82,~$7.6B,AI whole-exome/transcriptome cancer profiling,13,12,12,12,8,9,8,7,81,ADVANCE,One WES/WTS test replaces sequential panels; FCF positive; $1B run-rate at 45% growth,10
SSII,~$3.58,~$734M,low-cost surgical robots for emerging markets,12,11,12,7,5,6,6,4,63,CUT,Real installs but subscale; thin moat; negative net cash; FDA slipped to 2027,10
CRMD,7.85,620M,dialysis catheter infection prevention,13,12,11,12,9,8,8,7,80,ADVANCE,Only approved catheter lock; profitable fast ramp; prevents costly infections; post-TDAPA reimbursement risk,11
SPRY,5.65,500M,needle-free epinephrine for anaphylaxis,12,11,8,8,6,6,7,5,63,CUT,SG&A dwarfs revenue; only 5% share; oral epinephrine rival looms; dilution likely,11
ADMA,9.54,2.25B,plasma-derived immunoglobulins for immunodeficiency,13,11,9,11,9,6,6,9,74,ADVANCE,ASCENIV +25% and profitable with buybacks; standard IG pricing war cut guidance,11
KMDA,8.38,490M,specialty hyperimmune plasma therapies,13,12,9,11,9,7,7,9,77,ADVANCE,Profitable dividend-paying niche hyperimmunes; record growth; small scale but durable,11
BORAY,2.39,1.83B,CDMO services and US specialty generics,12,11,11,8,7,5,8,6,68,CUT,Acquisition roll-up; TTM net income down 62%; commodity generics drag; rebound unproven,11
PEJMF,0.67,450M,TAVR valves and stroke neurointervention China,13,12,12,10,7,8,8,7,77,ADVANCE,First profit; TAVR implants +36%; only on-label AR valve; VBP and rivalry risks,11
SHWGF,0.45,2.0B,disposable medical consumables and orthopedics China,13,11,9,7,8,3,4,8,63,CUT,Commodity consumables squeezed by VBP; profit -23%; stagnant growth; 5yr value destruction,11
TSNLF,5.67,270M,chlorine dioxide high-level disinfection consumables,13,12,13,11,9,6,8,9,81,ADVANCE,Patented ClO2 replaces capex reprocessors; profitable recurring model; US FDA ramp underway,11
SRTA,6.03,$540M,organ transplant logistics,13,13,9,8,7,7,8,7,72,CUT,Unprofitable second player; TransMedics vertical integration threatens thin-moat logistics layer,12
SAEYY,7.0,$1.5B,online medication fulfillment,12,10,10,7,7,7,8,6,67,CUT,Thin-margin retail layer; regulated Rx pricing and low switching costs cap moat,12
WST,353.27,$25.5B,injectable drug containment components,14,12,10,14,10,7,8,9,84,ADVANCE,Spec-locked into drug filings; 13% organic growth; GLP-1 and biologics tailwind,12
BSX,49.86,$72.3B,minimally invasive cardiovascular devices,14,11,11,10,9,6,4,8,73,CUT,Two guidance cuts; Watchman stall and PFA competition break the growth engine,12
RMD,232.57,$33.6B,sleep apnea and respiratory therapy,14,11,11,12,10,6,6,9,79,ADVANCE,Dominant share; consumables plus cloud adherence ecosystem; GLP-1 widens funnel not shrinks it,12
CLPBY,6.7,$15.3B,ostomy and continence care consumables,14,12,10,12,10,5,6,9,78,ADVANCE,Life-sustaining daily consumables; sticky users; decades of high-margin profitability,12
NKNSF,17.63,$1.7B,dental and surgical handpieces,12,10,8,11,8,6,7,8,70,CUT,Niche precision hardware; net profit halved; tariff and FX pressure; limited platform leverage,12
AGLFF,12.07,$2.1B,clear aligner orthodontics,10,9,11,8,8,9,9,7,71,CUT,Thin margins in price war; discretionary demand; dentists switch aligner brands easily,12
TFX,137.05,5.8B,hospital vascular access & surgical devices,12,9,8,9,9,3,4,8,62,CUT,Mature low-growth medtech mid-restructuring; guidance cut; integration delays; not a compounder,13
DMTRF,3.96,507M,absorbable peptide hemostats for endoscopy & surgery,12,10,9,10,8,8,8,6,71,ADVANCE,Peptide hemostat platform scaling globally; newly profitable; revenue up ~7x in four years,13
ATRC,47.16,2.4B,surgical AFib ablation & stroke-preventing LAA exclusion,12,11,10,10,9,7,8,7,74,ADVANCE,Profitability inflection; 13% growth; AtriClip installed-base moat; PFA and big-cap rivals encroaching,13
DCTH,17.05,592M,targeted liver-directed chemotherapy for liver-dominant cancers,10,8,6,11,7,6,8,5,61,CUT,Single ultra-niche product at $170k/kit; expansion hinges on unproven trials; extreme dilution history,13
CERS,2.75,550M,pathogen inactivation making donated blood safe & resilient,13,12,10,12,8,6,8,6,75,ADVANCE,Near-monopoly pathogen-reduction standard of care; consumables model; RBC approval a large catalyst,13
NYXH,1.64,164M,implantable neurostimulation for CPAP-intolerant sleep apnea,10,9,5,7,5,5,7,3,51,CUT,Massive burn and dilution; needs $200M+ more; Inspire patent fight; GLP-1 disruption risk,13
SGHT,5.26,270M,implant-free glaucoma surgery & dry-eye root-cause therapy,12,10,9,8,7,7,8,7,68,CUT,Core glaucoma segment growing only 8%; crowded MIGS field; payer-policy fragility caps compounding,13
BB,7.77,4.5B,safety-certified embedded OS for vehicles medical & industrial systems,12,10,11,11,8,8,9,8,77,ADVANCE,QNX is real infrastructure not legacy; +26% growth; $1B royalty backlog; certification moat,13
