ticker,verdict,reason
GLPEY,C,integrated oil and gas commodity
GFUZ,C,pre-revenue fusion unproven breakthrough
GNE,C,retail energy reseller no differentiation
GBNXF,C,crude oil midstream commodity
HNRG,C,coal plant and coal mining
HMDPF,A,transformers for grid and data centers strong growth
PMOIF,C,commodity oil and gas E&P
HE,C,captive island utility wildfire liabilities
HLPMF,C,oil refining and marketing commodity
HRASF,A,circular waste water and energy multi-utility growing
HRSEF,C,consumer electronics connectors not durable-need
HKCVF,C,captive island regulated utility
HPIFF,C,coal-fired generation commodity
HUNGF,C,coal-heavy generation commodity
HRNNF,C,single-province regulated transmission distribution
IRDEY,B,multi-utility with water and waste but regional slow
JELCF,B,motors and motion systems unclear differentiation
KAEPY,C,single-country utility thin margins
KELRF,B,efficient rail transport but mixed retail property conglomerate
KOKSF,C,semiconductor equipment not durable-need system
KLYCY,C,oil and gas commodity operations
KYSEY,C,single-country utility conglomerate
MAEOY,C,captive-franchise distribution monopoly
MDDNF,C,geographically-trapped NZ renewable gentailer
MIELF,B,grid rail automation strengths but defense-inclusive conglomerate
NNE,C,pre-revenue microreactor unproven breakthrough
NGGTF,B,multi-country transmission networks but slow growth
GASNY,C,gas-centric distribution commodity fuel
DKDRF,C,commodity gas E&P
NPPEY,C,display glass not durable-need
NPIFF,B,multi-country offshore wind operator flat growth
ODERF,B,rail transport core but mixed property retail
OGFGY,C,gentailer with LNG commodity exposure
PPENF,C,commodity power oil petrochemical conglomerate
PPOEF,C,coal-heavy single-country utility
HGKGY,C,investment holding rent collection contracting
PWCDF,C,financial intermediation insurance asset management
PEGIY,C,commodity oil and gas E&P
PUPOF,C,lignite-legacy regional utility slow growth
RENZY,C,single-country grid no scalable layer
RWEOY,B,large multi-country renewables but lignite legacy
SBGSF,A,energy management and automation compress energy cost globally
SEPLF,C,commodity oil and gas E&P
SIELY,B,energy equipment maker mixed industrial SOE
SMTGY,C,commoditized solar inverters contracting revenue
SEYMF,B,growing multi-country solar operator capital-intensive
SSEZY,B,networks plus offshore wind but UK-centric flat
STAEY,B,auto LED lighting parts unclear differentiation
SMTOF,B,cables batteries and harnesses broad mixed portfolio
TNEYF,C,commodity oil and gas E&P
TNPGY,C,coal-heavy single-country utility
THNPY,C,oil and gas engineering services fossil buildout
TEPCF,C,single-country utility thin margins
TKECF,C,single-country utility thin margins
TPZEF,C,royalty rent extraction no operating layer
UUGRY,C,geographically-trapped regulated water utility
VSOGF,C,commodity oil and gas E&P
VIVO,C,zero-revenue story mix dilution risk
WEICF,B,engines and powertrains scale but commodity-adjacent
WOPEF,C,commodity oil and gas E&P
XNYIF,C,commodity solar glass contracting revenue
YASKF,B,servo motors and robotics efficiency but industrial-generic
YOKEF,B,process automation efficiency but fossil-heavy end markets
YTLCF,C,cement hotels property conglomerate mix
YTLPF,B,multi-country power water sewerage infrastructure platform
ZHUZY,A,rail propulsion and control systems improve transit efficiency
SRIOF,C,cables plus resorts conglomerate
ABHBY,A,smart grid substations storage EV charging decentralize energy
COSXF,B,industrial power supplies plausible efficiency niche
DIALF,C,industrial LED contracting revenue
SMTLF,C,solar-to-digital pivot contracting revenue
ERXCF,C,biomass power and retail commodity
THFWF,C,niche lighting flat growth no differentiation evidence
INTT,C,semiconductor test tooling not durable-need
KULR,C,tiny contracting revenue dilution machine
LGSXY,C,distressed single-region distribution utility
SVMRF,C,project developer revenue collapsed no operations
NNDM,C,additive electronics not durable-need serial pivots
PHNGF,C,unproven metal-air batteries revenue collapsed
RFIL,C,commodity interconnect components small
UTKN,C,crypto tokenization platform keyword-matcher
ZMTBY,C,stagnant lighting business no differentiation
AAVVF,C,no verifiable description
BEPTF,C,commodity oil and gas E&P
BIREF,C,commodity gas E&P
BVENY,C,commodity oil and gas E&P
CRLFF,C,commodity oil and gas E&P
CUPUF,C,captive island diesel utility
CPWHF,C,pre-commercial fuel cell licensing unproven scale
DEC,C,declining gas well roll-up commodity
EYGPF,C,commodity IPP thin margins
EERGF,C,commodity gas E&P
FNOEF,B,marine navigation electronics safety efficiency niche
GEL,C,fossil midstream commodity
GRYRF,C,thermal coal commodity producer
HKEPF,C,single-country utility thin margins
HOKRF,C,single-country utility thin margins
ISOU,C,pre-revenue uranium exploration
ITMPF,C,electrolysers negative margins unproven commercialization
KRNGF,C,commodity oil E&P
LOECF,C,commodity oil and gas E&P
ENGDF,C,small regional utility contracting revenue
OKIEY,C,mixed IT telecom systems not durable-need
SANJF,C,contracting power semis weak margins
SBDXF,C,oil drilling services commodity
SQZZF,C,commodity oil and gas E&P
SLSR,C,pre-revenue copper exploration
ATUUF,C,commodity oil and gas E&P
TIANF,B,mass-market light-EV batteries but commodity chemistry
TOTZF,C,oil drilling services commodity
VULNF,C,pre-commercial lithium-geothermal unproven breakthrough
XPPLF,B,critical power conversion niche slight decline
EDCFF,C,single-country thermal generation
FISN,C,pre-revenue underground SMR unproven
ELLO,C,tiny renewable asset holding no platform
GPJA,C,debt security not an operating business
GRMZF,C,PV reseller and electricity retail no differentiation
HDRN,C,pre-revenue microreactor unproven
ELTK,C,defense-heavy PCBs contracting
GCPEF,C,commodity polysilicon thin margins
GELNF,C,pre-commercial battery R&D minimal revenue
ONMBF,C,commodity wires and cables small
STEM,C,contracting revenue post-dilution collapse
SCPKF,C,no verifiable description
COPJF,C,no verifiable description
AERG,C,directed-energy weapons pre-revenue
FOSYF,C,no verifiable description
BRLL,C,zero-revenue shell
EEGUF,C,no verifiable description
PVLTF,C,no verifiable description
BKLRF,C,no verifiable description
BDCO,C,small commodity refinery
CRNCY,C,no verifiable description
PTOAF,C,no verifiable description
CEIEF,C,no verifiable description
TRSNF,C,no verifiable description
CNPRF,C,no verifiable description
ESVIF,C,no verifiable description
FRHYF,C,no verifiable description
GEGYF,C,no verifiable description
GFGY,C,no verifiable description
AFGYF,C,no verifiable description
HUKEF,C,no verifiable description
IESVF,C,no verifiable description
JDSEF,C,no verifiable description
FDENF,C,no verifiable description
MXGFF,C,no verifiable description
OKEPF,C,no verifiable description
LNDNF,C,no verifiable description
PESAF,C,no verifiable description
SOCLF,C,no verifiable description
RAMPF,C,no verifiable description
PCELF,C,no verifiable description
RUBLF,C,no verifiable description
SSMFF,C,no verifiable description
SCEYF,C,no verifiable description
LUOYF,C,no verifiable description
OPTT,C,no verifiable description
DAIO,C,no verifiable description
KTCC,C,no verifiable description
PLPKF,C,nano AI battery story mix tiny revenue
HPMCF,C,no verifiable description
CANRF,C,no verifiable description
GUROF,C,no verifiable description
QSEP,C,pre-revenue single unproven pipeline technology
QTEYF,C,no verifiable description
RDFD,C,no verifiable description
IGESF,C,no verifiable description
RDRIF,C,no verifiable description
UNEGF,C,no verifiable description
WEEEF,C,no verifiable description
WECFF,C,no verifiable description
WAVE,C,no verifiable description
SPRU,C,no verifiable description
RDFEF,C,no verifiable description
CECAF,C,no verifiable description
CVONF,C,no verifiable description
CGXEF,C,no verifiable description
ELXPF,C,no verifiable description
EWCLF,C,no verifiable description
GRNWF,C,no verifiable description
GDYMF,C,no verifiable description
KEGX,C,no verifiable description
KLNG,C,subsea oil services commodity
NSFDF,C,minimal-revenue oil survey technology unproven
ORXGF,C,no verifiable description
CBVTF,C,no verifiable description
SEGYY,C,no verifiable description
STKKF,C,no verifiable description
ANDE,B,diversified ag distribution thin margins
CALM,B,scale egg protein staple but commodity cycles
CTVA,A,seeds and crop protection raise yield per acre
SEB,C,factory-farm pork and commodity trading conglomerate
ACOPF,C,premium milk branding not system efficiency
ARHUF,B,specialty plant oils ingredient maker unclear end mix
AJINF,B,amino-acid nutrition platform but branded packaged mix
ADM,B,ag processing scale thin commodity margins
BG,B,ag processing scale thin commodity margins
CBCFF,C,snack foods not durable-need efficiency
CPB,C,stagnant branded packaged food
CENT,C,pet and garden supplies not durable need
CFEIY,C,contracting premium infant formula brand
CAG,C,branded processed food no efficiency mechanism
CRWKF,B,integrated protein supply real operations welfare-positioned
DAR,A,renders food waste into ingredients circular recovery
EMLZF,C,premium branded dairy no system efficiency
FPAFY,B,staple noodles and infrastructure but holding conglomerate
FSRCY,C,commodity palm oil plantation
FRPT,C,pet food not durable human need
GIS,C,branded processed food no efficiency mechanism
