ticker,verdict,reason
PHIN,C,ICE fuel systems; shrinking system despite efficiency claims
PLLIF,C,premium performance tires; luxury skew
POAHY,C,holding company; financial shell over automakers
QUBHF,B,integrated port and rail logistics; efficiency without strong evidence
RNLSY,C,incumbent automaker; no system-efficiency differentiation
RIVN,B,electric trucks and vans; improving but unproven economics
SFHOY,B,scaled express and cold-chain logistics network
SFFLY,B,bearings and e-mobility components reduce friction losses; flat
SGHHF,B,major parcel delivery network; efficiency without differentiation evidence
SMEBF,C,equipment and vehicle distribution conglomerate
STLA,C,incumbent automaker; no system-efficiency differentiation
OSTIY,C,legacy postal mail; declining core business
FUJHY,C,incumbent automaker with aerospace mix
TSLA,A,EVs plus storage electrify transport and balance grids
TYRRY,C,commodity tires without differentiation
TGOSY,C,rubber and plastic parts; commodity components
TDBOF,C,seats and interiors; commodity components
TM,A,hybrid efficiency at global scale lowers fuel per mile
TT,A,HVAC efficiency and heat pumps cut building energy cost
VLEEY,B,EV thermal and electrification tech; thin margins declining
VGNT,B,power distribution and EV charging architectures; grid adjacent
VFS,C,deeply negative margins; cash-burning EV startup
VC,C,cockpit displays infotainment; not efficiency
VLKAF,C,incumbent automaker; no system-efficiency differentiation
VLVOF,C,contracting revenue and losses
XPNGF,B,growing EV maker; economics improving unproven
XPEV,B,growing EV maker; economics improving unproven
YADGF,B,electric two-wheelers offer cheap mass mobility; sales declining
YORUY,C,commodity tires and rubber products
ZTOEF,A,lowest-cost express network cuts delivery cost per parcel
BTGRF,B,Bangkok mass transit operator mixed with media businesses
ADNT,C,no verifiable description
AEBI,C,no verifiable description
AEVA,C,no verifiable description
GUDHF,C,aftermarket 4WD accessories; discretionary not durable need
APOG,B,building envelope systems serve shelter; efficiency evidence thin
ATNNF,C,vehicle insulation components without efficiency evidence
CGJTF,C,overnight air freight; energy-intensive premium logistics
CSBI,C,replica sports cars; lifestyle nano-revenue business
CTTPY,C,declining postal plus banking mix
DCH,C,commodity driveline and forging; thin margins
FURCF,C,seats interiors exhaust; commodity content declining
FWRD,C,undifferentiated freight network; troubled roll-up
FOXF,C,performance suspension; recreational discretionary
FTWYF,C,regional courier; commodity delivery
GENC,B,asphalt plants with recycling technology; road infrastructure equipment
THRM,C,seat comfort features; not durable need efficiency
GRDLY,C,commodity ports logistics with marine fossil fuels
JVCKF,C,car audio navigation consumer electronics
LOT,C,luxury EV sports cars; revenue collapsing
MRETF,C,lightweight structures without differentiation; declining revenue
MHSMF,C,gears and transmission parts; commodity components
NMAKF,C,commodity aluminum castings; thin margins
NFYEF,A,transit buses and electrification strengthen public transport
NIPKF,C,undifferentiated cargo logistics
NSNHF,C,contract vehicle assembler; no differentiation
NPRKF,C,ICE piston rings; flat legacy components
PGGCY,B,scooters and light commercial vehicles; efficient urban mobility
PSNYW,C,cash-burning EV maker; persistent losses
PSTNY,C,declining postal mail business
PGUUF,C,cash-in-transit; declining cash economy not durable need
PWRHF,B,advanced cooling tech; motorsport luxury skew
RYSKF,C,mixed logistics tobacco and property conglomerate
SFHLF,B,trailer axles and coupling systems for freight; commodity risk
SNKCF,C,diversified logistics petroleum trading conglomerate
SPSTY,C,contracting postal and logistics; revenue declining
SMP,B,aftermarket replacement parts keep vehicles running longer
TTCAF,C,automotive seats; commodity components
ZHHJY,C,no verifiable description
AMGDF,C,luxury sports cars; artificial scarcity
BPOSF,C,declining postal operator
CAAS,C,no verifiable description
CVGI,C,no verifiable description
CPS,C,no verifiable description
DCX,C,no verifiable description
ABDDF,B,ADAS test systems niche; revenue contracting
ECX,C,infotainment computing platforms; not durable need efficiency
EGKLF,C,gaskets and components without differentiation
EXCOF,C,dies and molds; commodity tooling
HLLY,C,no verifiable description
INVZ,C,no verifiable description
IOCJY,C,commodity wheels; thin margins
LVWR,C,no verifiable description
MPAA,C,no verifiable description
NSEIF,C,instrument clusters; commodity displays
NPSGF,C,commodity glass; leveraged undifferentiated
NIU,C,no verifiable description
RLGT,C,no verifiable description
AIIO,C,no verifiable description
SRI,C,no verifiable description
STRT,C,no verifiable description
XNGIF,C,commodity tire cord and wire
LIDR,C,no verifiable description
SEV,C,no verifiable description
NCEW,C,no verifiable description
EMPD,C,no verifiable description
CRGO,C,no verifiable description
JANL,C,small logistics roll-up with unrelated segments
KNDI,C,no verifiable description
MWC,C,navigation software; flat niche no efficiency mechanism
OZVN,C,near-zero revenue shell; nothing verifiable operating
XOS,C,no verifiable description
YTOEF,C,commodity freight forwarding; thin margins
GGR,C,no verifiable description
MCRP,C,no verifiable description
PSIG,C,no verifiable description
WKHS,C,no verifiable description
AWR,B,regulated water plus national military-base operations platform
AWK,A,multi-state water platform consolidating fragmented systems with services layer
CWT,C,captive regulated water utility; no scalable layer
SBS,B,giant sanitation concession; privatization efficiency but geographically bound
WTRG,C,captive regulated water and gas utility
HTO,B,regulated water with contracted operations layer
PEGRY,C,captive regulated water utility; no scalable layer
STRNY,C,captive regulated water utility; no scalable layer
CECO,A,industrial air and water treatment lowers pollution cost
CCVTF,C,conglomerate of waste-to-energy cement ports; unclear focus
DCI,A,filtration leader cuts fuel maintenance and emissions cost
MAIR,B,indoor air quality and efficient ventilation for buildings
MMNNF,B,energy-efficient dehumidification for food and data centers
ORGJF,A,industrial ultrapure water treatment systems reduce water use
CDZIP,C,speculative water asset play; collapsing revenue
DY,C,telecom construction contractor; cyclical no product layer
MTZ,B,builds grid and clean energy infrastructure; thin contractor margins
MSEX,C,captive regulated water utility
MYRG,B,electric transmission construction serves grid buildout
PLPC,B,grid and fiber line hardware; growing but passive components
PRIM,C,mixed energy contractor with petroleum exposure; revenue declining
TTAPY,C,geographically trapped water concession
YORW,C,tiny captive regulated water utility
AHHLF,C,metals trading heavy recycler; thin margins
CWST,C,regional waste collector without differentiation
CLH,A,hazardous waste treatment and oil re-refining close industrial loops
DKCLF,C,regional waste recycler without scalable differentiation
FMOCF,B,major water and environmental services; cement construction mix
GFL,C,leveraged waste roll-up; weaker economics than peers
HIZOF,C,machinery conglomerate; growth unclear
PVARF,C,niche filtration with aerospace lab mix; subscale
RSG,B,essential waste and recycling infrastructure at scale
TKUMF,B,waste-to-energy and water plant builder; growing
TMRAY,A,reverse vending and sensor sorting drive circular materials
UMICF,C,battery materials margin collapse; mixed recycler
VEOEY,A,global water waste energy operator improves resource efficiency
WCN,B,essential waste service; best-margin operator
WM,B,largest waste recycler with landfill-gas-to-energy layer
AWTRF,C,industrial gas food medical conglomerate; unclear focus
BJWTY,C,leveraged BOT water builder; contracting revenue
FLS,C,flow equipment tied to oil and energy markets
GRC,B,water and wastewater pumps; solid niche maker
GGG,C,fluid equipment for paint coatings; weak need linkage
CDDRF,C,commodity oil and gas E&P
IEX,B,precision fluidics and pumps serve water health systems
ITG,C,fiber construction services; no product layer
ITT,C,diversified industrial components; mixed end-markets
KTWIF,A,water treatment chemicals and recycling cut industrial water use
MWTCF,B,multi-country water concession operator; scalable model
SBYSF,C,commodity precious metals miner
XYL,A,water infrastructure pumps metering and treatment efficiency leader
ARTNA,C,captive regulated water utility
BFSAF,A,recycles steel dust and aluminum slags; circular metals
CDZI,C,speculative water asset play; collapsing revenue
CWCO,B,island desalination operator; small replicable model
DSKIF,C,regional industrial waste recycler; flat growth
NVRI,C,revenue collapsed 67 percent; distressed
GWRS,C,geographically trapped utility despite recycling model
OIO,C,waste recycler with no growth evidence; unclear financials
ONT,C,environmental consulting; contracting revenue
PCYO,C,water rights plus land development; not scalable operating business
SECVY,B,hazardous waste treatment and recovery; flat growth
AHWSF,C,no verifiable description
BOTRF,C,leveraged BOT water builder; revenue down 27 percent
CWAFF,C,contracting water conglomerate with property mix
ENVHF,B,reverse vending machines enable container circularity; subscale versus Tomra
MTWTF,A,water and sewage treatment plant specialist with O&M growth
PPIH,B,district energy piping and leak detection; oil gas mix
TDWRF,B,renewable diesel hydrogen RNG production; single-asset dependence
ESOA,C,small pipeline contractor; undifferentiated services
CITR,C,negligible revenue; unproven single product
CTLLF,B,e-waste and consumables recycling; circular recovery niche
GMXDF,C,infrastructure conglomerate with tourism mix; unclear
MBRFF,A,hazardous waste processing and waste-derived fuel; strong circular economics
PESI,C,contracting revenue negative margins
SUDKY,B,nuclear decommissioning and waste services platform
AP,C,commodity steel mill rolls; contracting
TWMIF,C,fossil midstream processing; commodity
SSHPF,C,subscale project-based waste systems; leveraged
WOSSF,C,keyword-matcher; beauty spas not water
BIRMF,B,biofilters cut air pollutants; small but growing
BTQNF,C,mine water treatment; revenue down 36 percent
FTEK,C,subscale stagnant commercialization despite relevant technology
WTLLF,A,leak detection franchise cuts water losses; scalable model
CTRNF,C,pre-commercial biocarbon; negligible revenue
GIPIF,C,revenue halved; struggling RNG developer
QRHC,C,no verifiable description
VCIGF,C,circular glass niche but micro-cap no growth
CNQQF,C,no verifiable description
HWAUF,C,pre-revenue gold exploration
SWSSF,C,no verifiable description
