ticker,price,marketcap,need,permanent_need,system_balance,cost_compression,moat,proven_functions,scale_velocity,expansion_signal,survivability,total,verdict,reason,grp,px
BLLN,~$97.25,~$4.6B,single-gene NIPT + oncology liquid biopsy,13,12,12,11,8,9,7,8,80,ADVANCE,Profitable at 64% growth; unique QCT single-gene NIPT; one draw replaces carrier workflow,10,97.25
CBLL,24.21,929M,point-of-care AI EEG for seizure and delirium,12,13,13,11,7,8,9,7,80,ADVANCE,Category-creating rapid EEG; 92% margin razor-blade; delirium NTAP opens new market,9,24.21
TMDX,90.56,3.14B,organ transplant preservation and logistics,13,12,9,13,9,8,8,8,80,ADVANCE,Only multi-organ warm-perfusion platform; profitable; raises organ utilization system-wide,9,90.56
IRTC,119.15,3930000000,long-term ambulatory arrhythmia diagnosis,12,12,13,11,7,8,9,7,79,ADVANCE,Highest diagnostic yield at lowest 1-yr cost; AI cuts review labor; 20%+ streak,8,119.15
RMD,232.57,$33.6B,sleep apnea and respiratory therapy,14,11,11,12,10,6,6,9,79,ADVANCE,Dominant share; consumables plus cloud adherence ecosystem; GLP-1 widens funnel not shrinks it,12,232.57
MBRFF,~101 (370 PLN),~$356M (1.30B PLN),hazardous-waste detox,13,13,10,12,9,5,8,8,78,ADVANCE,Permit-moat detox compounder; cleans ecological bombs; Poland-bound capex limits scale velocity,3,101.0
DAR,66.94,10.06B,animal by-product circularity,13,12,9,12,9,6,8,7,76,ADVANCE,Unmatched rendering collection network; genuine circularity; renewable fuel margins policy-dependent,5,66.94
MHGVY,22.66,11.76B,efficient animal protein,13,9,11,11,9,5,8,8,74,ADVANCE,Lowest-FCR protein at scale; cost leader; waste externalities real but improving,5,22.66
ATRC,47.16,2.4B,surgical AFib ablation & stroke-preventing LAA exclusion,12,11,10,10,9,7,8,7,74,ADVANCE,Profitability inflection; 13% growth; AtriClip installed-base moat; PFA and big-cap rivals encroaching,13,47.16
LEGH,28.72,$625M,affordable housing,14,11,12,7,8,6,8,8,74,ADVANCE,Factory-built homes compress housing cost; record Q2 profit; clean balance sheet; captive finance,6,28.72
