ticker,company,price,marketCap,country,sector,industry,listing,need,need_score,viability,r1_score,flag,status,reason,y_industry,summary,y_ind,revGrowth,grossM,revenue
ENJ,Entergy New Orleans LLC First Mortgage Bonds 5.0% Series due December 1 2052,19.47,9085315266.0,United States,Utilities,Power Generation,exchange,energy,25,20,45,,,,,,,,,
ENO,Entergy New Orleans LLC First Mortgage Bonds 5.50% Series due April 1 2066,20.925,4474410453.0,United States,Utilities,Power Generation,exchange,energy,25,20,45,,,,,,,,,
EVRG,Evergy Inc. Common Stock,81.41,18770475008.0,United States,Utilities,Power Generation,exchange,energy,25,20,45,,,,Utilities - Regulated Electric,"Evergy, Inc., together with its subsidiaries, engages in the generation, transmission, distribution, and sale of electricity in the United States. The company generates electricity through coal, landfill gas, uranium, and natural gas and oil sources, as well as solar, wind, and other renewable sources. It serves residences, commercial firms, industrials, municipalities, and other electric utilities. The company was incorporated in 2017 and is headquartered in Kansas City, Missouri.",Utilities - Regulated Electric,0.044,0.52696997,6093899776.0
EXC,Exelon Corporation Common Stock,44.31,45650554880.0,United States,Utilities,Power Generation,exchange,energy,25,20,45,,,,Utilities - Regulated Electric,"Exelon Corporation, a utility services holding company, engages in the energy distribution and transmission businesses in the United States. The company is involved in the purchase and regulated retail sale of electricity and natural gas; transmission and distribution of electricity; and distribution of natural gas to retail customers. It serves residential, commercial, industrial, and public authorities and electric railroads customers. Exelon Corporation was incorporated in 1999 and is headquartered in Chicago, Illinois.",Utilities - Regulated Electric,0.099,0.42363998,25326000128.0
NI,NiSource Inc Common Stock,40.65,19494119424.0,United States,Utilities,Power Generation,exchange,energy,25,20,45,,,,Utilities - Regulated Gas,"NiSource Inc., an energy holding company, operates as a regulated natural gas and electric utility company in the United States. It operates in two segments, Columbia Operations and NIPSCO Operations. The company provides natural gas to residential, commercial, and industrial customers through approximately 37,300 miles of distribution main pipeline and the associated individual customer service lines; and 310 miles of transmission main pipeline in Ohio, Pennsylvania, Virginia, Kentucky, and Maryland. It also generates, transmits, and distributes electricity to approximately 0.5 million customers in various counties in the northern part of Indiana, as well as engages in wholesale electric and transmission transactions. It owns and operates steam coal generating stations in Wheatfield and Michigan City; combined cycle gas turbine in West Terre Haute; natural gas generating units in Wheatfield; hydro generating plants in Carroll County and White County; wind generating units in White County; and solar generating units in Sullivan County, Gibson County, Jasper County, and White County. The company was formerly known as NIPSCO Industries, Inc. and changed its name to NiSource Inc. in April 1999. NiSource Inc. was founded in 1847 and is headquartered in Merrillville, Indiana.",Utilities - Regulated Gas,0.046,0.50971,6881500160.0
NWE,NorthWestern Energy Group Inc. Common Stock,70.88,4360385024.0,United States,Utilities,Power Generation,exchange,energy,25,20,45,,,,Utilities - Regulated Electric,"NorthWestern Energy Group, Inc., doing business as NorthWestern Energy, provides electricity and natural gas to residential, commercial, and diversified industrial customers. It generates, purchases, transmits, and distributes electricity; and produces, purchases, stores, transmits, and distributes natural gas, as well as owns municipal franchises to provide natural gas service in the communities. The company operates 6,596 miles of electric transmission and 18,946 miles of electric distribution lines with approximately 397 transmission and distribution substations; and 2,133 miles of natural gas transmission and 5,939 miles of natural gas distribution lines with approximately 134 city gate stations in Montana. It also operates 1,344 miles of electric transmission and 2,386 miles of electric distribution lines in South Dakota with approximately 123 transmission and distribution substations; and 55 miles of natural gas transmission, 1,853 miles of natural gas distribution lines in South Dakota, and 836 miles of natural gas distribution lines Nebraska. The company provides electricity and/or natural gas to approximately 850,300 customers in Montana, South Dakota, Nebraska, and Yellowstone National Park. NorthWestern Energy Group, Inc. was incorporated in 1923 and is based in Sioux Falls, South Dakota.",Utilities - Regulated Electric,0.146,0.55587,1691384960.0
PCG,Pacific Gas & Electric Co. Common Stock,18.36,40435458048.0,United States,Utilities,Power Generation,exchange,energy,25,20,45,,,,Utilities - Regulated Electric,"PG&E Corporation, through its subsidiary, Pacific Gas and Electric Company, engages in the sale and delivery of electricity and natural gas to customers in northern and central California, the United States. It generates electricity using nuclear, hydroelectric, fossil fuel-fired, fuel cells, and photovoltaic sources. The company owns and operates interconnected transmission lines; electric transmission substations, distribution lines, switching and distribution substations; and natural gas transmission, storage, and distribution systems consisting of distribution pipelines, backbone and local transmission pipelines, and various storage facilities. It serves residential, commercial, industrial, and agricultural customers, as well as natural gas-fired electric generation facilities. The company was incorporated in 1995 and is based in Oakland, California.",Utilities - Regulated Electric,0.001,0.39823002,25837000704.0
PEG,Public Service Enterprise Group Incorporated Common Stock,73.28,36524220416.0,United States,Utilities,Power Generation,exchange,energy,25,20,45,,,,Utilities - Regulated Electric,"Public Service Enterprise Group Incorporated, through its subsidiaries, operates in electric and gas utility, and nuclear generation businesses in the United States. It operates through PSE&G and PSEG Power segments. The PSE&G segment transmits electricity; distributes electricity and natural gas to residential, commercial, and industrial customers; and appliance services and repairs to customers through its service territory, as well as invests in solar generation projects, and energy efficiency and related programs. The PSEG Power segment engages in nuclear generation businesses; and supplies power and natural gas to nuclear power plants. As of December 31, 2025, it had electric transmission and distribution system of 25,000 circuit miles and 871,000 poles; 58 switching stations with an installed capacity of 40,000 megavolt-amperes (MVA), and 238 substations with an installed capacity of 10,890 MVA; four electric distribution headquarters and five electric sub-headquarters; 18,000 miles of gas mains, 12 gas distribution headquarters, two sub-headquarters, and two meter shop, as well as 54 natural gas metering and regulating stations; and 158 MegaWatts defined conditions of installed PV solar capacity. The company was founded in 1903 and is based in Newark, New Jersey.",Utilities - Regulated Electric,-0.089,0.33333,12542999552.0
WEC,WEC Energy Group Inc. Common Stock,106.67,34758352896.0,United States,Utilities,Power Generation,exchange,energy,25,20,45,,,,Utilities - Regulated Electric,"WEC Energy Group, Inc., through its subsidiaries, provides regulated natural gas and electricity, and renewable and nonregulated renewable energy services in the United States. The company operates through Wisconsin, Illinois, Other States, Electric Transmission, and Non-Utility Energy Infrastructure segments. It generates and distributes electricity from coal, natural gas, oil, and nuclear, as well as renewable energy resources, including wind, solar, hydroelectric, and biomass; and distributes and hydroelectric natural gas. The company also owns, maintains, monitors, and operates electric transmission systems; and generates, distributes, and sells steam. As of December 31, 2025, the company operated approximately 35,200 miles of overhead distribution lines and 37,600 miles of underground distribution cables, as well as 420 electric distribution substations and 649,500 line transformers; approximately 47,200 miles of natural gas distribution mains; 1,300 miles of natural gas transmission mains; 2.4 million natural gas lateral services; 510 natural gas distribution and transmission gate stations; and 67.0 billion cubic feet of working gas capacities in underground natural gas storage fields. The company was formerly known as Wisconsin Energy Corporation and changed its name to WEC Energy Group, Inc. in June 2015. WEC Energy Group, Inc. was founded in 1896 and is headquartered in Milwaukee, Wisconsin.",Utilities - Regulated Electric,0.026,0.41909,10137400320.0
XEL,Xcel Energy Inc. Common Stock,77.19,48215523328.0,United States,Utilities,Power Generation,exchange,energy,25,20,45,,,,Utilities - Regulated Electric,"Xcel Energy Inc., through its subsidiaries, operates as an electric and natural gas delivery company in the United States. It operates through Regulated Electric Utility and Regulated Natural Gas Utility segments. The company generates, purchases, transmits, distributes, and sells electricity through its energy portfolio, including wind, nuclear, hydroelectric, biomass, and solar power from both owned generation facilities and PPAs, as well as its fossil fuel energy portfolio, such as coal and natural gas; sale and resale of wholesale transmission service; and engages in wholesale commodity and trading operations. It also purchases, transports, stores, distributes, and sells natural gas; develops and leases natural gas pipelines and storage facilities; operates interstate natural gas pipeline; and invests in rental housing projects, energy technology companies, and community solar garden nonregulated assets. It serves electric and natural gas customers in portions of Colorado, Michigan, Minnesota, New Mexico, North Dakota, South Dakota, Texas, and Wisconsin. The company was formerly known as Northern States Power company. Xcel Energy Inc. was incorporated in 1909 and is headquartered in Minneapolis, Minnesota.",Utilities - Regulated Electric,-0.051,0.46825,14616000512.0
ABLZF,ABB Ltd,98.7,178878398464.0,,Industrials,,otc,energy,24,20,44,,,,Electrical Equipment & Parts,"ABB Ltd provides electrification, motion, and automation solutions and products for customers in utilities, industry and transport, and infrastructure in Europe, the Americas, Asia, the Middle East, and Africa. The company operates through Electrification, Motion, and Automation segments. Its Electrification segment offers renewable power solutions, modular substation packages, distribution automation products, switchboards and panelboards, switchgears, UPS solutions, circuit breakers, measuring and sensing devices, control products, wiring accessories, enclosures and cabling systems, and intelligent home and building solutions. The company's Motion segment designs, manufactures, and sells drives, motors, generators, and traction converters that are driving the low-carbon future for industries, cities, infrastructure, and transportation. The company's Automation segment offers industry-specific, integrated automation, electrification and digital solutions, as well as lifecycle services for the process, hybrid and marine industries. This segment also provides control technologies; process, machine and factory automation; industrial software; advanced analytics; sensing and measurement technology; and marine propulsion systems; services such as remote monitoring, preventive maintenance, asset performance management, emission monitoring and cybersecurity. It serves oil, gas, renewables, chemicals, mining, metals, cement, pulp and paper, pharmaceuticals, battery manufacturing, fo",Electrical Equipment & Parts,0.142,0.40247002,35752001536.0
AEHR,Aehr Test Systems Common Stock,95.59,3118188816.0,United States,Industrials,Electrical Products,exchange,energy,24,20,44,,,,,,,,,
APH,Amphenol Corporation Common Stock,158.78,195773104128.0,United States,Technology,Electrical Products,exchange,energy,24,20,44,,,,Electronic Components,"Amphenol Corporation, together with its subsidiaries, designs, manufactures, and markets electrical, electronic, and fiber optic connectors in the United States, China, and internationally. It operates through three segments: Communications Solutions, Harsh Environment Solutions, and Interconnect and Sensor Systems. The company offers connectors and connector systems, including high speed, radio frequency, power, fiber optic and other interconnect products; busbars and power distribution systems; power interconnect products; and other products. It also provides value-add products, such as backplane interconnect systems, cable assemblies and harnesses, and cable management products; and other products comprising flexible and rigid printed circuit boards, hinges, other mechanical, and production related products. In addition, the company offers consumer device, network infrastructure, and other antennas; coaxial, power, and specialty cables; and sensors and sensor-based products. It sells its products through its sales force, independent representatives, and a network of electronics distributors to original equipment manufacturers, electronic manufacturing services companies, original design manufacturers, and service providers in the automotive, commercial aerospace, communications networks, defense, industrial, information technology and data communications, mobile devices markets. Additionally, the company provides telecommunication and IT networking solutions. The company w",Electronic Components,0.55,0.38952,29011599360.0
BHE,Benchmark Electronics Inc. Common Stock,71.86,2581206272.0,United States,Technology,Electrical Products,exchange,energy,24,20,44,,,,Electronic Components,"Benchmark Electronics, Inc., together with its subsidiaries, offers product design, engineering services, technology solutions, and manufacturing services in the Americas, Asia, and Europe. It provides design and engineering services and technology solutions, including new product design, prototype, testing, and related engineering services; and custom test and automation equipment design services. The company also offers electronics manufacturing and testing services, such as printed circuit board assembly and test solutions, assembly of subsystems, circuitry and functionality testing of printed assemblies, environmental and stress testing, and component reliability testing; component engineering services; failure analysis; and systems assembly and test development solutions include subsystem and system-level integration, configuration, and testing for various industries, as well as in-circuit test, functional test, defect analysis, environmental stress screening, reliability testing, and custom test solutions. In addition, it provides precision metal machining, complex vertically integrated assemblies, e-beam welding, full electromechanical assembly of machined subsystems, and system integration and test services. Further, the company provides value-added support systems; supply chain management solutions; direct order fulfillment; and aftermarket non-warranty services, including repair, replacement, refurbishment, remanufacturing, exchange, systems upgrade, and spare parts",Electronic Components,0.177,0.10281,2818268928.0
BKWAF,BKW AG,165.96,8757784576.0,,Utilities,,otc,energy,24,20,44,,,,Utilities - Renewable,"BKW AG, an energy and infrastructure company, plans, builds, and operates infrastructure to produce and supply energy to businesses, households, and the public sector in Switzerland, Germany, Italy, France, and internationally. It operates in three segments: Energy Solutions, Power Grid, and Infrastructure & Buildings. The Energy Solutions segment builds, operates, and maintains its portfolio of power plants. This segment also sells energy; trades in electricity, certificates, and raw materials; and offers wind, solar, and smart energy services. Its Power Grid segment builds, operates, and maintains the company's distribution grid. The Infrastructure and Buildings segment offers engineering planning and consulting services for energy, infrastructure, and environmental projects; integrated building technology solutions; and construction and maintenance services in the fields of energy, telecommunications, transport and water utility networks. It also provides digital business models for renewable energy. The company was formerly known as BKW FMB Energie AG and changed its name to BKW AG in December 2011. BKW AG was founded in 1898 and is headquartered in Bern, Switzerland.",Utilities - Renewable,0.009,0.47604,4220400128.0
CLS,Celestica Inc. Common Stock,306.86,38698455040.0,Canada,Technology,Electrical Products,exchange,energy,24,20,44,,,,Electronic Components,"Celestica Inc., together with its subsidiaries, provides supply chain solutions in Asia, North America, and internationally. It operates through two segments, Advanced Technology Solutions, and Connectivity and Cloud Solutions. The company offers a range of product manufacturing and related supply chain services, including design and development, new product introduction, engineering services, component sourcing, electronics manufacturing and assembly, testing, mechanical assembly, systems integration, precision machining, logistics, asset management, product licensing, and after-market repair and return services. It also provides hardware platform solutions, which includes development of infrastructure platforms, and hardware and software design solutions and services, including open-source software that can be used as-is or customized for specific applications; and management of program, including design and supply chain, manufacturing, and after-market support, including IT asset disposition and asset management services. The company offers its products and services to original equipment manufacturers, and cloud-based and other service providers, including hyperscalers, and other companies in aerospace and defense, industrial, HealthTech, capital equipment, communications, and enterprise markets. The company has a strategic collaboration with Advanced Micro Devices, Inc. for the development of Helios, a rack-scale AI platform. The company was incorporated in 1994 and is he",Electronic Components,0.624,0.11951999,15594500096.0
COHU,Cohu Inc. Common Stock,50.61,2395798016.0,United States,Industrials,Electrical Products,exchange,energy,24,20,44,,,,Semiconductor Equipment & Materials,"Cohu, Inc., through its subsidiaries, provides semiconductor test equipment and services in the United States, Taiwan, China, Malaysia, the Philippines, Singapore, and internationally. It supplies test and inspection metrology automation systems, micro-electromechanical system test modules, test contactors, thermal subsystems, and data analytics software for semiconductor manufacturers and test subcontractors. The company also provides semiconductor automated test equipment for wafer level and device package testing; various test handlers, including pick-and-place, turret, gravity, strip, film frame, laser marker, and thermal sub-systems; interface products comprising test contactors, and probe heads and pins; spares and kits; various parts and labor warranties on test and handling systems, and instruments; and training on the maintenance and operation of its systems, as well as application, data management software, and consulting services on its products. In addition, it offers data analytics product that includes DI-Core, a software suite used to optimize Cohu equipment performance, which provides real-time online performance monitoring and process control. Further, the company provides artificial intelligence process control and analytics-based monitoring software. It markets its products through direct sales force and independent sales representatives. The company was formerly known as Cohu Electronics, Inc. and changed its name to Cohu, Inc. in 1972. Cohu, Inc. was inco",Semiconductor Equipment & Materials,0.384,0.43951,522600000.0
DLEGF,Delta Electronics (Thailand) Public Company Limited,8.0,100448485376.0,,Industrials,,otc,energy,24,20,44,,,,Electrical Equipment & Parts,"Delta Electronics (Thailand) Public Company Limited, together with its subsidiaries, researches and develops, manufactures, and distributes electronic products. The company operates through four segments: Power Electronics, Mobility, Infrastructure, and Automation. It offers inductors, RF inductors, transformers, networking products, EMI filters, solenoids, current sensing resistors, and power modules; power and system products, such as USB socket outlets, medical power, industrial power supplies, industrial battery charging, high voltage power, embedded power, and adapters; DC brushless fans and blowers, motors, thermal management products, cabinet thermal solutions, indoor air quality solutions, and automotive fans; EV powertrain systems; and display and visualization, mobile power, industrial power, and medical power products, as well as healthcare devices. The company also provides building automation products comprising building management and control system, LED lighting, smart surveillance, indoor air quality, healthy lighting, and building energy management system products; industrial automation products; data center, telecom power systems, networking systems, and UPS and datacenter infrastructure solutions; EV charging and energy storage systems, renewable energy, industrial battery charging, healthcare devices, industrial equipment, energy IoT, and display and visualization products; and visual display and smart education solutions. In addition, it offers industrial",Electrical Equipment & Parts,0.474,0.29038,238129168384.0
DRXGF,Drax Group plc,9.7755,3291278336.0,,Utilities,,otc,energy,24,20,44,,,,Utilities - Renewable,"Drax Group plc, together with its subsidiaries, engages in renewable power generation in the United Kingdom. The company operates through four segments: Pellet Production, Biomass Generation, Flexible Generation, and Energy Solutions. The company provides renewable, dispatchable power, and system support services. It is involved in production and sale of biomass pellets; generation and sale of electricity from biomass assets, pumped storage, run-of-river hydro, and OCGTs assets; and processing and sale of waste-derived pellets, as well as supply of electricity to non-domestic customers. The company owns and operates Drax Power Station located in Selby, North Yorkshire; Cruachan Power Station, a pumped storage hydro station, with an installed capacity of 440 megawatts (MW) located in Argyll and Bute; and Lanark and Galloway hydro-electric power stations with an installed capacity of 126 MW located in south-west Scotland. In addition, it owns and operates Daldowie fuel plant that processes sludge, a plant that converts it into dry low-odour fuel pellets. Further, the company manufactures and sells compressed wood pellets; and supplies renewable electricity. Drax Group plc was incorporated in 2005 and is based in Selby, the United Kingdom.",Utilities - Renewable,-0.063,0.24257,5224900096.0
EXOSF,Exosens SAS/ADR,51.5481,2613238016.0,,Industrials,,sec_only,energy,24,20,44,,,,Electrical Equipment & Parts,"Exosens, together with its subsidiaries, develops, manufactures, and sells electro-optical technologies in France, Europe, North America, Asia, and internationally. It operates in two segments, Amplification and Detection and Imaging. The company offers image intensifier tubes; cameras, sensors, modules and cores, and imaging systems and solutions, including UV missile warning solution, atmospheric sounder, and spectroradiometer; and detection and imaging products for ions and electrons, photons, and neutrons, as well as micro pore optics and components, such as phosphor screens, resistive glass products, microchannel plates, and electron generator arrays. It also provides bare and energy compensated Geiger- Müller tubes; gamma and neutron detectors; mineral insulated extensions; and silicon photodiodes, as well as methane airborne detection solutions. The company sells its products under the Exosens, Photonis, Xenics, Telops, El-Mul, and Noxant brand names. It serves defense and surveillance, life sciences and environment, industrial control, and nuclear markets. The company was founded in 1937 and is headquartered in Mérignac, France.",Electrical Equipment & Parts,0.153,0.60126,501776000.0
FLEX,Flex Ltd. Ordinary Shares,109.25,40357273600.0,Singapore,Technology,Electrical Products,exchange,energy,24,20,44,,,,Electronic Components,"Flex Ltd. provides technology innovation, supply chain, and manufacturing solutions to data center, communications, enterprise, consumer, automotive, healthcare, industrial, and power industries in the Americas, Asia, and Europe. The company operates through three segments: Integrated Technology Solutions (ITS), Regulated Manufacturing Solutions (RMS), and Cloud and Power Infrastructure (CPI). The ITS segment offers flexible supply and manufacturing solutions for communications, including high speed networking, enterprise, and satellite communications systems, as well as lifestyle solutions comprising products across commercial, home, and personal product categories. Its RMS segment includes industrial products, such as mission critical automation, energy, and industrial infrastructure; automotive products, including compute and power electronics platforms and integrated systems; and healthcare products comprising regulated manufacturing for medical devices, drug delivery, and equipment. The CPI segment provides cloud and cooling products, such as integrated compute systems supporting power dense digital infrastructure deployments and advanced liquid cooling solutions supporting higher density, power intensive rack architectures; and power products that include utility and facility level electrical infrastructure enabling power delivery and high density rack and board level power systems. The company was formerly known as Flextronics International Ltd. and changed its name to",Electronic Components,0.206,0.0953,29266999296.0
FOJCY,Fortum Oyj,4.75,21310029824.0,,Utilities,,otc,energy,24,20,44,,,,Utilities - Renewable,"Fortum Oyj, together with its subsidiaries, engages in the generation and sale of electricity and heat to private and business customers in Finland, Sweden, Norway, Poland, and internationally. It operates through Generation, Consumer Solutions, and Other Operations segments. The Generation segment offers low-carbon hydro, nuclear, onshore wind, and solar power generation; district heating and cooling; and decarbonization services. The Consumer Solutions segment offers invoicing and customer services; electricity and related value-added products; and digital services for consumers, including small- and medium-sized enterprises. It is also involved in the electricity and gas retail business; power trading and energy supply services; industrial site development; and battery recycling activities. The company was formerly known as IVO-Neste Yhtymä Oyj and changed its name to Fortum Oyj in June 1998. Fortum Oyj was incorporated in 1998 and is headquartered in Espoo, Finland.",Utilities - Renewable,0.154,0.39424,5488999936.0
HUBB,Hubbell Inc Common Stock,464.19,24524351488.0,United States,Technology,Electrical Products,exchange,energy,24,20,44,,,,Electrical Equipment & Parts,"Hubbell Incorporated, together with its subsidiaries, manufactures and sells electrical and utility solutions in the United States and internationally. It operates through two segments, Electrical Solutions and Utility Solutions. The Utility Solution segment offers critical components that allow the grid to transmit and distribute energy, as well as the communications and controls technologies, including  utility transmission and distribution components, such as arresters, insulators, connectors, anchors, bushings, enclosures, cutouts, and switches; and solutions that serve the edge of the utility infrastructure comprising smart meters, communications systems, and protection and control devices. It sells its products under various brands and/or trademarks to the electrical distribution, substation and transmission markets, as well as markets for grid protection and controls, utility meters and advanced metering infrastructure and telcom and gas distribution markets. The Electrical Solution segment offers standard and special application wiring device products, rough-in electrical products, connector and grounding products, and other electrical equipment for use in industrial, commercial, and institutional facilities by electrical contractors, maintenance personnel, electricians, utilities, and telecommunications companies. It also designs and manufactures various industrial controls, and communication systems for use in the non-residential and industrial markets, as well as i",Electrical Equipment & Parts,0.153,0.35338002,6223600128.0
ITRI,Itron Inc. Common Stock,98.73,4323066368.0,United States,Industrials,Electrical Products,exchange,energy,24,20,44,,,,Scientific & Technical Instruments,"Itron, Inc., a technology, solutions, and service company, provides end-to-end solutions that help manage energy, water, and smart city operations worldwide. It operates in four segments: Device Solutions, Networked Solutions, Outcomes, and Resiliency Solution. The Device Solutions segment offers hardware products that are used for measurement, control, or sensing, such as standard gas, electricity, water, and communicating meters, as well as heat and allocation products. The Networked Solutions segment provides communicating devices, such as smart meters, modules, endpoints, and sensors; network infrastructure; network design services; and associated heat-end management and application software for acquiring and transporting application-specific data. This segment also products and software for the implementation, installation, and management of communicating devices and data networks; offers industrial internet of things solutions, including automated meter reading; advanced metering infrastructure for electricity, water, and gas; distributed energy resource management; grid edge devices; distribution automation communications; smart lighting; and smart city sensors and applications. The Outcomes segment provides value-added, enhanced software and services, artificial intelligence, and machine learning, statistical modeling, and other analytics. The Resiliency Solutions segment offers software and services. The company offers implementation, project management, installation",Scientific & Technical Instruments,-0.072,0.39869,2303165952.0
