ticker,verdict,reason
ECELF,B,building products with PVC recycling loop
GRPRF,A,decentralized water storage and rainwater harvesting
GWAXY,B,water fixtures and management; stagnant growth
HOVNP,C,no verifiable description (preferred share)
LPIX,C,surveillance and defense cameras; not durable need
OESX,A,LED retrofits cut energy per lumen; growing
SKYX,C,smart plug gadget platform; story
SDHC,B,entry-level affordable homebuilder; conventional model
VNJA,C,no revenue; shell-like builder
AASLF,B,geospatial surveying for disaster resilience
BRAGF,B,geotechnical foundations specialist; stagnant revenue
CSTE,C,countertops; cosmetic surfaces with shrinking sales
CHYMF,C,cement conglomerate with oiltools mix
BBCP,C,commodity concrete pumping service
CTNGY,C,generic infrastructure contractor
DBMG,C,commodity steel fabrication
DURCF,B,infrastructure remediation extends asset life; defence mix
ELWSF,C,unproven wireless road charging breakthrough
ENGS,C,tiny shrinking retrofit outfit
FLWLF,C,mixed modular and RV parts; shrinking
FTTRF,C,commodity bricks; shrinking
LMB,A,building MEP services cut energy and downtime
MAGH,C,tiny local M&E contractor
MTRX,C,fossil storage tank EPC; thin margins
OYOCF,C,shrinking geological survey services
PHCI,C,no revenue; shell
PHOE,C,tiny local substructure works; cap disconnect
SMID,C,precast niche with contracting revenue
SPAEF,C,retail facility fit-out; not durable need
ALMP,C,tiny local plumbing contractor
PCLA,C,niche mesh Wi-Fi; collapsing revenue
CPSH,C,no verifiable description
SPHL,C,no verifiable description
JFB,C,no verifiable description
MIMI,C,tiny fit-out contractor; shrinking
KAZR,C,no verifiable description
CVLT,C,generic enterprise data-protection SaaS
IPEU,C,VoIP adtech; cap wildly exceeds revenue
LDOS,C,defense and government IT; weapons-adjacent
NYAX,C,payments fintech
OOMA,C,generic VoIP services
TUYA,C,generic smart-device cloud platform
CSYJY,B,industrial automation and SCADA for physical infrastructure
GDYN,C,generic digital consulting
GBDMF,C,mixed industrial services; shrinking
SLUNF,B,smart meter and EV charger deployment services
LUCN,C,no revenue; renamed shell story
ATHR,C,retail trading analytics; speculation tooling
CNTM,C,micro roll-up; electrification claim without evidence
OWLS,C,blockchain payments mix; negligible revenue
OTPMF,C,generic IoT device management
ZENA,C,scattershot promotional drone-software story
AISP,C,law-enforcement surveillance platform
ACIW,C,payments fintech
ADYEY,C,payments fintech
AGYS,C,hospitality software; not durable need
APPN,C,generic process automation SaaS
ASAN,C,generic work management SaaS
ASOZF,C,diversified IT incl banking and defense
BJGPY,A,warehouse robotics cut logistics cost per order
BSP,C,app roll-up conglomerate
CCC,C,insurance claims software; financial ecosystem
DASTY,B,simulation software compresses physical development cost; mixed markets
FIVN,C,contact-center SaaS
FLYW,C,payments fintech
KC,C,generic cloud infrastructure
LIFX,C,consumer location app; not durable need
LIF,C,consumer location app (duplicate listing)
RAMP,C,adtech data platform
MSFT,C,generic software platform; not physical-need system
NEMKY,A,BIM software cuts construction cost and waste
ORCL,C,generic enterprise software; health minor
PAGS,C,payments fintech
PCTY,C,payroll SaaS
PAY,C,bill-payment fintech
PCOR,A,construction management software reduces rework and waste
RBRK,C,generic data security
SAIL,C,identity security SaaS
IOT,A,telematics cuts fuel and accidents in transport fleets
SNTMF,C,surveillance AI platform
NOW,C,generic workflow SaaS
SNOW,C,generic data platform
SOUN,C,generic voice AI
SSNC,C,financial services software
TDC,C,generic analytics; no growth
TOITF,B,vertical software incl health and public sector; mixed
TTVSY,C,generic ERP software
TYL,B,public-sector operations software; not physical-need core
PATH,C,generic RPA software
VRNS,C,data security SaaS
VIA,A,transit software makes public transport demand-responsive
WEX,C,fleet payments fintech
WDAY,C,HR and finance SaaS
ZM,C,generic communications software
ALIT,C,benefits administration; monetizes admin complexity
CCSI,C,legacy healthcare fax; stagnant
EVCM,C,generic SMB service SaaS
FNCHF,C,insurance claims software
LSPD,C,retail POS software
NCCGF,C,cybersecurity services; shrinking
PD,C,incident management SaaS; stagnant
PAYS,C,prepaid card fintech
PXPHF,C,video conferencing software
PKSHF,C,mixed algorithm vendor; no physical-need core
QTGPF,C,generic developer tools
RDWR,C,cybersecurity vendor
RDVT,C,identity data broker
SPT,C,social media management SaaS
TMVWF,C,remote access software; stagnant
TKCCF,C,generic IT services
UPBD,C,lease-to-own monetizes costly credit
VTEX,C,e-commerce platform
WWLNF,C,payments fintech; shrinking
YEXT,C,listings management SaaS; stagnant
YUBCF,C,security hardware keys; not physical-need system
GTM,C,sales-intelligence data; stagnant
LOQPF,C,theme-park ticketing software
BNAI,C,micro conversational AI; negligible revenue
CVOSF,C,enterprise search SaaS
DMRC,C,watermarking with stagnant commercialization
DOMO,C,generic BI platform; flat
EGAN,C,customer-service AI SaaS
DAVA,C,IT outsourcing; shrinking
EXSPF,C,generic NLP software
GRRR,C,promotional video-surveillance IoT
JAPPF,B,IT services with medical claims-verification niche
MTLS,B,medical 3D planning and printing software; flat growth
RKICF,C,accounting software for tax firms
PSFE,C,payments fintech
PERF,C,AR beauty try-on; cosmetic
NPACY,C,mail and lockers; declining
QNC,C,pre-revenue quantum moonshot
RMNI,C,third-party ERP support; generic IT
TCYSF,A,hospital supply-chain software cuts care logistics cost
TYPMF,C,payments fintech; flat
SCOR,C,ad measurement; shrinking
EXLGF,C,analytics database; shrinking
IRCDF,C,credential management niche; stagnant
RSSS,C,research access SaaS; shrinking
SYZLF,C,public-sector ERP; shrinking
XTRAF,C,threat-detection screening; monetizes fear not need
AWRE,C,biometrics; shrinking
DFORF,C,data platform; collapsing revenue
LPSN,C,declining conversation SaaS
XBP,C,document and payment BPO
ESTC,C,generic search and observability
MNDY,C,generic work management SaaS
NTNX,C,generic IT infrastructure software
PAYC,C,payroll SaaS
AMPL,C,product analytics SaaS
ARGPF,C,CAD reseller services; flat
HQ,C,pre-revenue quantum moonshot
MSHHF,B,CAD and BIM software for construction; reseller mix
FKCIF,B,construction CAD software Japan; modest growth
SVMB,C,parking app plus wine sales; shrinking micro
PCRDF,C,accounting software
PLDIF,C,CX analytics SaaS
