ticker,verdict,reason
NPNKF,C,premium branded pharma no efficiency mechanism
NVSEF,C,premium branded pharma no efficiency mechanism
NVS,C,premium branded pharma no efficiency mechanism
NONOF,B,global diabetes care scale with delivery devices
NVO,B,global diabetes care scale with delivery devices
NRIX,C,clinical-stage degraders binary risk
NUVB,C,single newly launched premium oncology drug
OCUL,C,value hinges on Phase-3 readout
OPHLF,C,declining premium pharma core
OPCH,A,home infusion displaces costly hospital settings
OGN,B,womens health and biosimilars affordability angle
ORINY,C,premium branded pharma no efficiency mechanism
OTSKY,C,sprawling pharma-consumer conglomerate no efficiency edge
ONTTF,B,portable sequencing decentralizes genomics still unprofitable
PVLA,C,clinical-stage binary trial risk
PRGO,A,store-brand OTC cuts self-care cost per treatment
PFE,C,premium branded pharma no efficiency mechanism
PHBBF,B,outsourced R&D services compress drug development cost
PHVS,C,clinical-stage binary trial risk
PM,C,nicotine addiction economics
PHR,C,admin and payments SaaS funded by pharma marketing
PANHF,C,flat online-consult platform no differentiation
PLYGF,B,peptide CDMO scaling metabolic-drug manufacturing
PGEN,C,clinical-stage gene-therapy platforms
PBH,B,branded OTC self-care real but brand-markup model
PHPRF,C,REIT rent collection no operating layer
PRVA,B,value-based physician enablement thin margins
PMCUF,A,enterprise imaging software speeds radiology throughput
PTGX,C,milestone-driven clinical peptides not yet marketed
PTCT,C,orphan-priced rare-disease portfolio
QGEN,B,molecular testing infrastructure flat growth
RMYHY,B,multi-country hospital operator
RAPP,C,clinical-stage CNS binary risk
RSLBF,C,treatment-planning software with shrinking revenue
RGC,C,no-revenue TCM story company
REGN,C,premium biologics standard pricing model
RLAY,C,clinical-stage binary trial risk
REGMF,C,premium China biologics no efficiency mechanism
RGEN,A,bioprocess tools cut biologics manufacturing cost
RYTM,C,orphan-priced rare-obesity drug
RPHCF,C,consumer eye and skin care cosmetics-heavy
ROIV,C,clinical portfolio holding pre-commercial
RPRX,C,financial royalty aggregation
SNY,C,premium branded pharma no efficiency mechanism
SNPHY,C,flat ophthalmic pharma no efficiency edge
SRTOY,A,single-use bioprocessing lowers biologics production cost
SWGHF,A,generics cut drug cost per treatment
SHTPY,B,essential drug containment systems steady growth
SLS,C,clinical-stage binary trial risk
SFOSF,C,sprawling China health conglomerate unclear economics
SHJBF,C,premium China biologics no efficiency mechanism
SHPMY,B,China drug distribution thin margins
SMMNY,B,imaging and diagnostics infrastructure leader
SIGGF,B,discount pharmacy retail and wholesale scale
SMHGF,C,premium China pharma standard model
SBHMY,C,broad China pharma no efficiency differentiation
SMSSY,B,care-workforce platforms for aging Japan
HSDT,C,crypto treasury not a health operator
SKHCF,A,multi-country scale pathology lowers per-test cost
SOPH,B,decentralized genomic-analysis software still unprofitable
LJUIF,C,contracting commodity IV-solution maker
STXS,C,subscale robotics with shrinking sales
STOK,C,clinical-stage binary trial risk
STEX,C,pivoted to crypto tokenization
DNPUF,C,premium branded pharma no efficiency mechanism
SMMT,C,single licensed clinical asset binary risk
SUPN,C,premium CNS pharma standard model
TKPHF,C,premium branded pharma no efficiency mechanism
TAK,C,premium branded pharma no efficiency mechanism
TNGX,C,clinical-stage binary trial risk
TARS,C,single premium eye-mite product
TSHA,C,clinical-stage gene therapy binary risk
TLPPF,C,radiopharma real but no cost-efficiency mechanism
TLX,C,radiopharma real but no cost-efficiency mechanism
TEVJF,A,world-scale generics cut drug costs
TEVA,A,world-scale generics cut drug costs
