ticker,company,price,marketCap,country,sector,industry,listing,need,need_score,viability,r1_score,flag,status,reason
MLBEF,5G Networks Limited,0.035,9243515.0,,,,otc,infrastructure,15,0,15,,reject,market cap $9.2M < $10M - fails survivability prior (shell/nano-cap)
FPLSF,5N Plus Inc.,18.79,1689884800.0,,,,otc,unknown,8,18,26,enrich-if-viable,,
SXTP,60 Degrees Pharmaceuticals Inc. Common Stock,1.13,3974196.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations,exchange,health,20,2,22,binary-science-risk,reject,market cap $4.0M < $10M - fails survivability prior (shell/nano-cap)
JEM,707 Cayman Holdings Limited Ordinary Shares,6.795,4559098.0,China,Consumer Discretionary,Clothing/Shoe/Accessory Stores,exchange,clothing,5,2,7,,reject,market cap $4.6M < $10M - fails survivability prior (shell/nano-cap)
SVNJ,"727 Communications, Inc.",2e-05,,,,,otc,infrastructure,15,0,15,,reject,sub-5-cent stock - chronic dilution profile
SCPKF,7C Solarparken AG,3.48,254623840.0,,,,otc,energy,20,15,35,,,
BLLYF,80 Mile Plc,0.0071,38234216.0,,,,otc,unknown,8,3,11,enrich-if-viable,reject,sub-5-cent stock - chronic dilution profile
EGHT,8x8 Inc Common Stock,1.95,281649227.0,United States,Technology,EDP Services,exchange,software,10,15,25,enrich,,
NMTRQ,"9 Meters Biopharma, Inc.",0.0001,1445.0,,,,otc,health,20,0,20,,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap)
MASS,908 Devices Inc. Common Stock,11.0,454670755.0,United States,Industrials,Industrial Machinery/Components,exchange,infrastructure,21,15,36,,,
JFU,9F Inc. American Depositary Shares,2.84,33436266.0,China,Finance,Finance: Consumer Services,exchange,finance,4,9,13,,,
BAGFF,A.G. BARR p.l.c.,8.44,936634560.0,,,,otc,unknown,8,18,26,enrich-if-viable,,
AISSF,A.I.S. Resources Limited,0.133,4632724.0,,,,otc,unknown,8,2,10,enrich-if-viable,reject,market cap $4.6M < $10M - fails survivability prior (shell/nano-cap)
AKA,a.k.a. Brands Holding Corp. Common Stock,10.41,114416924.0,,Consumer Discretionary,Catalog/Specialty Distribution,exchange,retail,5,15,20,,,
ALVSF,"A-Living Smart City Services Co., Ltd.",0.3243,460032672.0,,,,otc,unknown,8,15,23,enrich-if-viable,,
AOS,A.O. Smith Corporation Common Stock,62.15,8446717812.0,United States,Consumer Discretionary,Consumer Electronics/Appliances,exchange,discretionary,8,20,28,,,
AMKBY,A.P. Møller - Mærsk A/S,17.16,49509339136.0,,,,otc,unknown,8,20,28,enrich-if-viable,,
ASNCF,A-Sonic Aerospace Limited,0.24,24026406.0,,,,otc,unknown,8,5,13,enrich-if-viable,,
SRIOF,A. Soriano Corporation,0.23,282341152.0,,,,otc,unknown,8,15,23,enrich-if-viable,,
ASPC,A SPAC III Acquisition Corp. Class A Ordinary Shares,10.95,0.0,China,Finance,Blank Checks,exchange,unknown,0,2,2,,reject,blank-check SPAC - no operating business
ASPCU,A SPAC III Acquisition Corp. Unit,11.99,0.0,China,Finance,Blank Checks,exchange,unknown,0,2,2,,reject,blank-check SPAC - no operating business
AWON,"A1 Group, Inc.",0.0017,1410930.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $1.4M < $10M - fails survivability prior (shell/nano-cap)
ATEN,A10 Networks Inc. Common Stock,25.13,1824664698.0,United States,Telecommunications,Computer Communications Equipment,exchange,infrastructure,18,18,36,,,
AUXXF,A2 Gold Corp.,,,,,,sec_only,unknown,8,3,11,enrich-if-viable,check_price,no market data yet - verify trading exists
ACOPF,The a2 Milk Company Limited,4.81,3501948672.0,,,,otc,unknown,8,20,28,enrich-if-viable,,
AEMMY,A2A S.p.A.,13.3,8321614848.0,,,,otc,unknown,8,20,28,enrich-if-viable,,
AZ,A2Z Cust2Mate Solutions Corp. Common Shares,6.91,304222887.0,Canada,Industrials,Industrial Machinery/Components,exchange,infrastructure,21,15,36,,,
YCY,AA Mission Acquisition Corp. II Class A Ordinary Shares,10.26,0.0,,,,exchange,unknown,0,2,2,,reject,blank-check SPAC - no operating business
AACAF,AAC Technologies Holdings Inc.,5.62,6491914752.0,,,,otc,unknown,8,20,28,enrich-if-viable,,
ARHUF,AAK AB (publ.),21.04,5477714432.0,,,,otc,unknown,8,20,28,enrich-if-viable,,
AALBF,Aalberts N.V.,46.98,5007145472.0,,,,otc,unknown,8,20,28,enrich-if-viable,,
AAON,AAON Inc. Common Stock,76.19,6282142755.0,United States,Industrials,Industrial Machinery/Components,exchange,infrastructure,21,20,41,,,
AAPJ,"AAP, Inc.",0.0001,235787.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.2M < $10M - fails survivability prior (shell/nano-cap)
PUSOF,AAPKI Ventures Inc.,0.0065,512596.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.5M < $10M - fails survivability prior (shell/nano-cap)
AIR,AAR Corp. Common Stock,135.36,5449436582.0,United States,Industrials,Aerospace,exchange,transport,15,20,35,defense-mix,,
AARD,Aardvark Therapeutics Inc. Common Stock,7.25,158665134.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations,exchange,health,20,15,35,binary-science-risk,,
ABXL,Abacus Global Management Inc. 9.875% Fixed Rate Senior Notes due 2028,25.37,1893904673.0,United States,Finance,Investment Managers,exchange,finance,2,18,20,,,
ABX,Abacus Global Management Inc. Class A Common Stock,9.88,966187420.0,United States,Finance,Investment Managers,exchange,finance,2,18,20,,,
ABCFF,ABACUS MINING & EXPLORATION CORP,,,,,,sec_only,unknown,8,3,11,enrich-if-viable,check_price,no market data yet - verify trading exists
ATTBF,Abattis Bioceuticals Corp.,3e-05,14334.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap)
ABXXF,Abaxx Technologies Inc.,,,,,,sec_only,unknown,8,3,11,enrich-if-viable,check_price,no market data yet - verify trading exists
ABLZF,ABB Ltd,98.7,178878398464.0,,,,otc,unknown,8,20,28,enrich-if-viable,,
ABT,Abbott Laboratories Common Stock,116.13,200949412164.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations,exchange,health,20,20,40,binary-science-risk,,
ABBV,AbbVie Inc. Common Stock,265.79,469682103180.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations,exchange,health,20,20,40,binary-science-risk,,
ABBY,"Abby, Inc.",0.0004,47903.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap)
ABCCF,ABC arbitrage SA,6.49,387045632.0,,,,otc,unknown,8,15,23,enrich-if-viable,,
AMKYF,"ABC-Mart,Inc.",20.855,5164044800.0,,,,otc,unknown,8,20,28,enrich-if-viable,,
ABCL,AbCellera Biologics Inc. Common Shares,12.5,3683319150.0,Canada,Health Care,Biotechnology: Pharmaceutical Preparations,exchange,health,20,20,40,binary-science-risk,,
AGOAF,"Abengoa, S.A.",1e-05,188306.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.2M < $10M - fails survivability prior (shell/nano-cap)
ABEO,Abeona Therapeutics Inc. Common Stock,6.21,355112746.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations,exchange,health,20,15,35,binary-science-risk,,
ANF,Abercrombie & Fitch Company Common Stock,108.9,4838613219.0,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores,exchange,clothing,5,20,25,,,
SLFPF,Aberdeen Group Plc,3.29,6056054272.0,,,,otc,unknown,8,20,28,enrich-if-viable,,
AASCF,Aberdeen Asia Focus PLC,3.8,,,,,otc,unknown,8,0,8,enrich-if-viable,reject,OTC with no market cap data - dark/non-reporting
MGF,Aberdeen Government Markets Income Fund Common Shares of Beneficial Interest,2.83,92250622.0,United States,Finance,Trusts Except Educational Religious and Charitable,exchange,REJECT,0,12,12,fund,reject,closed-end fund/royalty trust - not an operating company
IFN,Aberdeen India Fund Inc. Common Stock,11.56,0.0,United States,Finance,Finance/Investors Services,exchange,finance,3,2,5,,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap)
MIN,Aberdeen Intermediate Income Fund Common Shares of Beneficial Interest,2.45,281499539.0,United States,Finance,Trusts Except Educational Religious and Charitable,exchange,REJECT,0,15,15,fund,reject,closed-end fund/royalty trust - not an operating company
AABVF,Aberdeen International Inc.,0.014,2249748.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $2.2M < $10M - fails survivability prior (shell/nano-cap)
MMT,Aberdeen Multi-Market Income Fund Common Shares of Beneficial Interest,4.42,263203508.0,United States,Finance,Trusts Except Educational Religious and Charitable,exchange,REJECT,0,15,15,fund,reject,closed-end fund/royalty trust - not an operating company
MFM,Aberdeen Municipal Income Fund Common Shares of Beneficial Interest,5.37,221177578.0,United States,Finance,Finance Companies,exchange,finance,4,15,19,,,
ABGSF,ABG Sundal Collier Holding ASA,0.65,338882624.0,,,,otc,unknown,8,15,23,enrich-if-viable,,
ABILF,Ability Inc.,0.0001,797.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap)
ABTS,Abits Group Inc Ordinary Shares,1.3401,4307678.0,China,Finance,Finance: Consumer Services,exchange,finance,4,2,6,,reject,market cap $4.3M < $10M - fails survivability prior (shell/nano-cap)
ABVX,Abivax SA American Depositary Shares,117.93,10153128513.0,France,Health Care,Biotechnology: Pharmaceutical Preparations,exchange,health,20,20,40,binary-science-risk,,
AAVXF,ABIVAX Société Anonyme,80.03,6982921728.0,,,,otc,unknown,8,20,28,enrich-if-viable,,
ABLV,Able View Global Inc. Class B Ordinary Shares,0.98,48402124.0,China,Consumer Discretionary,Other Consumer Services,exchange,services,6,9,15,,,
ABM,ABM Industries Incorporated Common Stock,46.59,2729285203.0,United States,Consumer Discretionary,Diversified Commercial Services,exchange,services,8,20,28,enrich,,
ABMRF,ABN AMRO Bank N.V.,49.0,39931850752.0,,,,otc,finance,4,20,24,,,
ABOIF,"Aboitiz Equity Ventures, Inc.",0.5987,3324464128.0,,,,otc,unknown,8,20,28,enrich-if-viable,,
ABZPF,Aboitiz Power Corporation,0.64,4611746816.0,,,,otc,energy,20,20,40,,,
AACO,Abony Acquisition Corp. I Class A Ordinary Share,9.98,0.0,United States,,,exchange,unknown,0,2,2,,reject,blank-check SPAC - no operating business
ZAIRF,Abound Energy Inc.,0.2,6108469.0,,,,otc,energy,20,2,22,,reject,market cap $6.1M < $10M - fails survivability prior (shell/nano-cap)
ABVEF,Above Food Ingredients Inc.,,,,,,sec_only,food,22,3,25,,check_price,no market data yet - verify trading exists
ABPO,"Abpro Holdings, Inc.",,,,,,sec_only,unknown,8,3,11,enrich-if-viable,check_price,no market data yet - verify trading exists
FAX,abrdn Asia-Pacific Income Fund Inc. Common Stock,14.6,0.0,United States,Finance,Investment Managers,exchange,finance,2,2,4,,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap)
IAF,abrdn Australia Equity Fund Inc. Common Stock,13.39,0.0,United States,Finance,Finance/Investors Services,exchange,finance,3,2,5,,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap)
AEF,abrdn Emerging Markets ex-China Fund Inc. Common Stock,9.65,1036048125.0,United States,Finance,Finance/Investors Services,exchange,finance,3,18,21,,,
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,12.34,0.0,United States,Finance,Trusts Except Educational Religious and Charitable,exchange,REJECT,0,2,2,fund,reject,closed-end fund/royalty trust - not an operating company
ASGI,abrdn Global Infrastructure Income Fund Common Shares of Beneficial Interest,24.65,0.0,United States,Finance,Investment Managers,exchange,finance,2,2,4,,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap)
AWP,abrdn Global Premier Properties Fund Common Shares of Beneficial Interest,11.76,0.0,United States,Finance,Trusts Except Educational Religious and Charitable,exchange,REJECT,0,2,2,fund,reject,closed-end fund/royalty trust - not an operating company
SGOL,abrdn Gold ETF Trust,,,,,,sec_only,unknown,0,3,3,,reject,closed-end fund/royalty trust - not an operating company
HQH,abrdn Healthcare Investors Shares of Beneficial Interest,23.61,1117785371.0,United States,Finance,Finance Companies,exchange,finance,4,18,22,,,
THQ,abrdn Healthcare Opportunities Fund Shares of Beneficial Interest,19.88,0.0,United States,Finance,Finance Companies,exchange,finance,4,2,6,,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap)
ACP,abrdn Income Credit Strategies Fund Common Shares,5.07,0.0,United States,Finance,Investment Managers,exchange,finance,2,2,4,,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap)
HQL,abrdn Life Sciences Investors Shares of Beneficial Interest,21.67,556477712.0,United States,Finance,Investment Managers,exchange,finance,2,18,20,,,
PALL,abrdn Palladium ETF Trust,,,,,,sec_only,unknown,0,3,3,,reject,closed-end fund/royalty trust - not an operating company
PPLT,abrdn Platinum ETF Trust,,,,,,sec_only,unknown,0,3,3,,reject,closed-end fund/royalty trust - not an operating company
GLTR,abrdn Precious Metals Basket ETF Trust,,,,,,sec_only,unknown,0,3,3,,reject,closed-end fund/royalty trust - not an operating company
SIVR,abrdn Silver ETF Trust,,,,,,sec_only,unknown,0,3,3,,reject,closed-end fund/royalty trust - not an operating company
AOD,abrdn Total Dynamic Dividend Fund Common Shares of Beneficial Interest,10.67,0.0,United States,Finance,Investment Managers,exchange,finance,2,2,4,,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap)
THW,abrdn World Healthcare Fund Shares of Beneficial Interest,14.22,0.0,United States,Finance,Finance Companies,exchange,finance,4,2,6,,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap)
ABSOF,ABS-CBN Holdings Corporation,0.0395,3625060.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $3.6M < $10M - fails survivability prior (shell/nano-cap)
AGRPY,Absa Group Limited,26.88,11129601024.0,,,,otc,unknown,8,20,28,enrich-if-viable,,
ABSI,Absci Corporation Common Stock,9.63,1652642916.0,United States,Health Care,Biotechnology: Commercial Physical & Biological Resarch,exchange,health,16,18,34,,,
AHFI,"Absolute Health and Fitness, Inc.",0.0125,1051387.0,,,,otc,health,20,0,20,,reject,market cap $1.1M < $10M - fails survivability prior (shell/nano-cap)
AFRRF,Absolutely Critical Resources Corp.,0.0001,3371.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap)
AGIG,Abundia Global Impact Group Inc. Common stock,0.93,41059799.0,United States,Energy,Oil & Gas Production,exchange,energy,8,9,17,commodity,,
ABVC,ABVC BioPharma Inc. Common Stock,0.7999,21320827.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations,exchange,health,20,5,25,binary-science-risk,,
ACIU,AC Immune SA Common Stock,2.92,297178833.0,Switzerland,Health Care,Biotechnology: Pharmaceutical Preparations,exchange,health,20,15,35,binary-science-risk,,
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,4.5,439140623.0,United States,Miscellaneous,Multi-Sector Companies,exchange,conglomerate,10,15,25,enrich,,
ASO,Academy Sports and Outdoors Inc. Common Stock,43.475,2696248679.0,United States,Consumer Discretionary,Other Specialty Stores,exchange,retail,4,20,24,,,
AECX,Acadia Energy Corporation,0.0052,2158154.0,,,,otc,energy,20,0,20,,reject,market cap $2.2M < $10M - fails survivability prior (shell/nano-cap)
ACHC,Acadia Healthcare Company Inc. Common Stock,29.87,2780905214.0,United States,Health Care,Medical Specialities,exchange,health,25,20,45,,,
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,30.57,5267379685.0,United States,Health Care,Biotechnology: Pharmaceutical Preparations,exchange,health,20,20,40,binary-science-risk,,
AKR,Acadia Realty Trust Common Stock,21.24,2916947015.0,United States,Real Estate,Real Estate Investment Trusts,exchange,shelter,8,20,28,rent-extraction-risk,,
AAMI,Acadian Asset Management Inc. Common Stock,93.48,3317617165.0,United Kingdom,Finance,Investment Managers,exchange,finance,2,20,22,,,
ACAZF,Acadian Timber Corp.,12.3,231000544.0,,,,otc,shelter,18,15,33,,,
ACASF,Acast AB (publ),3.83,805195904.0,,,,otc,unknown,8,18,26,enrich-if-viable,,
ACEL,Accel Entertainment Inc. ,11.9,966202353.0,United States,Consumer Discretionary,Services-Misc. Amusement & Recreation,exchange,discretionary,3,18,21,gambling-risk,,
ACNV,"Accelera Innovations, Inc",0.0001,8140.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap)
ARX,Accelerant Holdings Class A Common Shares,19.67,4272098818.0,Cayman Islands,Finance,Specialty Insurers,exchange,finance,6,20,26,,,
ATHC,Accelerated Technologies Holding Corp.,0.0001,1482.0,,,,otc,unknown,8,0,8,enrich-if-viable,reject,market cap $0.0M < $10M - fails survivability prior (shell/nano-cap)
ACWRF,Acceleware Ltd.,0.07,10019019.0,,,,otc,unknown,8,0,8,enrich-if-viable,,
ACLLY,Accelleron Industries AG,92.3,8679979008.0,,,,otc,infrastructure,15,20,35,,,
ACH,Accendra Health Inc. Common Stock,1.16,89209457.0,United States,Health Care,Medical Specialities,exchange,health,25,12,37,,,
ACN,Accenture plc Class A Ordinary Shares (Ireland),186.93,124777683555.0,Ireland,Consumer Discretionary,Business Services,exchange,services,8,20,28,enrich,,
ACCS,ACCESS Newswire Inc. Common Stock,5.13,19634070.0,United States,Consumer Discretionary,Professional Services,exchange,services,8,5,13,enrich,,
LOQPF,accesso Technology Group plc,4.13,133779744.0,,,,otc,unknown,8,15,23,enrich-if-viable,,
ACXIF,"Acciona, S.A.",248.89,13242061824.0,,,,otc,unknown,8,20,28,enrich-if-viable,,
ACCO,Acco Brands Corporation Common Stock,4.21,388614861.0,United States,Consumer Discretionary,Publishing,exchange,media,3,15,18,,,
ACCL,Acco Group Holdings Limited Class A Ordinary Shares,2.9,40310000.0,Hong Kong,Consumer Discretionary,Professional Services,exchange,services,8,9,17,enrich,,
ACRFF,Accor SA,56.09,12932280320.0,,,,otc,unknown,8,20,28,enrich-if-viable,,
ACCFF,Accord Financial Corp.,0.6069,5194404.0,,,,otc,finance,4,2,6,,reject,market cap $5.2M < $10M - fails survivability prior (shell/nano-cap)
ASII,"Accredited Solutions, Inc.",,,,,,sec_only,finance,4,3,7,,check_price,no market data yet - verify trading exists
ACSYF,Accsys Technologies PLC,0.96,236466752.0,,,,otc,unknown,8,15,23,enrich-if-viable,,
ARAY,Accuray Incorporated Common Stock,0.2661,31782800.0,United States,Health Care,Medical/Dental Instruments,exchange,health,26,9,35,,,
ACUT,Accustem Sciences Inc.,,,,,,sec_only,unknown,8,3,11,enrich-if-viable,check_price,no market data yet - verify trading exists
ACEEU,Ace Ethanol LLC,4005.0,,,,,otc,unknown,8,0,8,enrich-if-viable,reject,OTC with no market cap data - dark/non-reporting
ACPIF,Acen Corporation,0.02,799028672.0,,,,otc,unknown,8,12,20,enrich-if-viable,reject,sub-5-cent stock - chronic dilution profile
ANIOY,"Acerinox, S.A.",10.28,5122703872.0,,,,otc,unknown,8,20,28,enrich-if-viable,,
ACHV,Achieve Life Sciences Inc. Common Shares,8.17,840713343.0,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,exchange,health,26,18,44,,,
ACIW,ACI Worldwide Inc. Common Stock,52.4,5290054628.0,United States,Technology,Computer Software: Prepackaged Software,exchange,software,12,20,32,enrich,,
AVHNF,Ackermans & Van Haaren NV,306.2,10008886272.0,,,,otc,unknown,8,20,28,enrich-if-viable,,
