ticker,company,price,marketCap,country,sector,industry,listing,need,need_score,viability,r1_score,flag,status,reason,y_industry,summary,y_ind,revGrowth,grossM,revenue,verdict,reason_r2,totalCash,totalDebt,freeCashflow,operatingCashflow,totalRevenue,revenueGrowth,grossMargins,operatingMargins,debtToEquity,sharesOutstanding,floatShares,fullTimeEmployees,earningsGrowth,r3_fin_score,r3_notes,r3_cut
NXPRF,Nexans S.A.,175.0,7646357504.0,,Industrials,,otc,energy,24,20,44,,,,Electrical Equipment & Parts,"Nexans S.A. manufactures and sells cables in France, Canada, Norway, Italy, and internationally. It operates through PWR-Grid & Connect, PWR-Transmission, and Other segments. The company provides cables for the energy distribution networks, as well as equipment cables for buildings. It also offers design, engineering, financing, asset management, and systems management solutions for offshore wind farms, subsea interconnections, onshore high voltage, and subsea data transmissions; and smart solutions for the oil and gas sector. In addition, the company offers wire rods and electrical wires; and engages in winding wire production operations. The company was formerly known as Atalec and changed its name to Nexans S.A. in October 2000. The company was incorporated in 1994 and is headquartered in Courbevoie, France.",Electrical Equipment & Parts,0.191,0.10188,8568999936.0,A,grid and offshore wind cables enable electrification,1456000000.0,2494000128.0,-3125000.0,777000000.0,8568999936.0,0.191,0.10188,0.06313,115.785,43693474.0,37904927.0,25700.0,-0.723,16,thin gm 10%,
NRKBF,NKT A/S,158.3,8461206528.0,,Industrials,,otc,energy,24,20,44,,,,Electrical Equipment & Parts,"NKT A/S designs, manufactures, and installs low, medium, and high voltage power cable solutions in Denmark. It operates through Solutions, Applications and Service & Accessories segments. The company offers high voltage cable solutions, including high voltage onshore and offshore cables; medium voltage, dynamic, and universal cables; and low voltage building wires, flexible cables and conduits, control cables, 1 kV cables, and telecom energy and fire performance cables. The company also provides medium voltage cable accessories, such as joints, terminations, separable connector, paper-insulated lead sheath and pre-assembled connection cables, cable branch cabinets, and pre-assembled connection cables; and high voltage cable accessories comprising GIS/transformer terminations, low pressure oil-filled cable systems, outdoor terminations, wind power applications, and transition joints. In addition, it offers lifecycle cable services; and installation, operation and maintenance, repair, decommissioning, and cable monitoring solutions. Further, the company provides oil and gas cable competence center services, and technology consulting services; and offshore and onshore wind, and solar solutions. It operates in Germany, Sweden, the United Kingdom, Poland, the United States, Norway, the Czech Republic, France, the Netherlands, Portugal, and internationally. The company was formerly known as NKT Holding A/S and changed its name to NKT A/S in May 2017. NKT A/S was founded in 1891 and",Electrical Equipment & Parts,0.002,0.34418,3593999872.0,A,HV cable backbone for grid and offshore wind,850000000.0,259000000.0,-14250000.0,550000000.0,3593999872.0,0.002,0.34418,0.072859995,11.46,53450451.0,50872840.0,6652.0,-0.02,14,,
POWL,Powell Industries Inc. Common Stock,190.19,6929109504.0,United States,Energy,Electrical Products,exchange,energy,24,20,44,,,,Electrical Equipment & Parts,"Powell Industries, Inc., together with its subsidiaries, designs, develops, manufactures, sells, and services custom-engineered equipment and systems. The company's products portfolio includes integrated power control room substations, custom-engineered modules, and electrical houses; and traditional and arc-resistant distribution switchgears and control gears, medium-voltage circuit breakers, monitoring and control communications systems, motor control centers, switches, and bus duct systems. It also provides field service inspection, installation, commissioning, modification, and repair services; spare parts; retrofit and retrofill components for existing systems; and replacement circuit breakers for switchgears. The company serves onshore and offshore production, liquefied natural gas facilities and terminals, pipelines and refineries, petrochemical, electric utility, light rail traction power, mining and metals, pulp and paper, data centers, commercial construction, and other industrial markets, as well as universities and government entities. It operates in the United States, Canada, the Middle East, Africa, Europe, Mexico, the Asia/Pacific, and Central and South America. Powell Industries, Inc. was founded in 1947 and is headquartered in Houston, Texas.",Electrical Equipment & Parts,0.089,0.3008,1157522048.0,A,custom switchgear and substations harden power distribution,633561024.0,2524000.0,190403632.0,256112992.0,1157522048.0,0.089,0.3008,0.20554,0.334,36432564.0,28840746.0,3143.0,0.076,19,,
PRYMY,Prysmian S.p.A.,70.58,41253908480.0,,Industrials,,otc,energy,24,20,44,,,,Electrical Equipment & Parts,"Prysmian S.p.A., together with its subsidiaries, produces, distributes, and sells power and telecom cables and systems, and related accessories under the Prysmian, Draka, and General Cable brands worldwide. It operates through four segments: Transmission, Power Grid, Electrification, and Digital Solutions. The company offers high voltage direct current (HVDC), network component high voltage, submarine power, submarine telecom, offshore specialties, and EOSS high voltage units. It also provides power distribution, overhead lines, high voltage alternate current (HVAC), network component medium voltage/low voltage, EOSS medium voltage/low voltage units. In addition, it offers electrification products; and fiber optics, optical cables, connectivity components and accessories, optical ground wire cables, and copper cables. Further, it manufactures and sells thermoplastic and metal enclosures. Prysmian S.p.A. was founded in 1879 and is headquartered in Milan, Italy.",Electrical Equipment & Parts,0.226,0.37744,21732999168.0,A,global power cable leader enables grid buildout,1332000000.0,5482999808.0,716875008.0,1892000000.0,21732999168.0,0.226,0.37744,0.08137,74.976,584498550.0,584498550.0,34591.0,0.129,21,,
STECF,Scatec ASA,12.6,2013822336.0,,Utilities,,otc,energy,24,20,44,,,,Utilities - Renewable,"Scatec ASA, together with its subsidiaries, provides renewable energy solutions. The company operates through Power Production and Development & Construction segments. It produces and sells solar, wind, and hydro generated electricity. The company also develops, builds, owns, and operates solar, wind, and hydro power plants; and storage solutions, including solar, wind, hydropower, battery storage and hybrid systems. The company is also involved in the engineering, procurement, and construction activities. It has operations in South Africa, Egypt, Ukraine, Malaysia, Pakistan, Jordan, Honduras, the Czech Republic, Botswana, Vietnam, and internationally. The company was formerly known as Scatec Solar ASA and changed its name to Scatec ASA in November 2020. Scatec ASA was incorporated in 2007 and is headquartered in Oslo, Norway.",Utilities - Renewable,0.278,0.93953,3886000128.0,B,emerging-market solar platform but capital-intensive IPP,4733000192.0,33173000192.0,-5712750080.0,2020000000.0,3886000128.0,0.278,0.93953,0.26511,284.503,159827174.0,159002111.0,736.0,,18,runway 0.8y,
PHPPY,Signify N.V.,8.92,2130891392.0,,Industrials,,otc,energy,24,20,44,,,,Electrical Equipment & Parts,"Signify N.V. provides lighting products, systems, and services in Europe, the Americas, and internationally. It operates through Professional, Consumer, OEM, and Conventional segments. The company offers LED products and connected lighting systems and services, including functional LED luminaires, LED and conventional lamps and tubes, and lighting components such as LED drivers, electronics, modules, and sensors. In addition, it produces lamps based on LED technologies, which include high-intensity discharge lamps, compact fluorescent, halogen, incandescent, and specialty lighting products consisting of projection lighting for consumers, electrical installers, distributors, and professional end-users. The company's LED systems and services are used for various market segments, including offices, commercial buildings, shops, hospitality venues, industry, agriculture, and outdoor environments. Signify N.V. was founded in 1891 and is headquartered in Eindhoven, the Netherlands.",Electrical Equipment & Parts,-0.061,0.39745998,5504999936.0,B,LED efficiency fits but revenue contracting,496000000.0,1586000000.0,485875008.0,535000000.0,5504999936.0,-0.061,0.39745998,0.05105,58.223,238889174.0,229720169.0,25866.0,-0.659,13,revenue shrinking -6%,
VLTO,Veralto Corp Common Stock ,98.77,24079468544.0,United States,Industrials,Electrical Products,exchange,energy,24,20,44,,,,Pollution & Treatment Controls,"Veralto Corporation provides water analytics, water treatment, marking and coding, and packaging and color solutions worldwide. It operates through two segments, Water Quality (WQ) and Product Quality & Innovation (PQI). The WQ segment offers precision instrumentation and water treatment technologies to measure, analyze, and treat water in residential, commercial, municipal, industrial, research, and natural resource applications under the Hach, Trojan Technologies, ChemTreat, and other brands. This segment also provides water solutions, including chemical reagents, services, and software solutions. The PQI segment offers marking and coding for packaged goods and related consumables; a software solution that provides digital asset management, marketing resource management, and product information management; inline printing solutions for products and packaging with marking and coding systems; design software and imaging systems for the creation of new packaging designs; color management solutions for printed packages and consumer and industrial products; and color standard services for the design industry. This segment sells its products and services through the Videojet, Linx, Esko, X-Rite, and Pantone brands. The company serves industries, such as municipal utilities, food and beverage, pharmaceutical, and industrials. The company was formerly known as DH EAS Holding Corp. and changed its name to Veralto Corporation in February 2023. Veralto Corporation was incorporated in ",Pollution & Treatment Controls,0.075,0.60183,5696000000.0,A,water analytics and treatment cut water waste,2119000064.0,3592999936.0,807124992.0,1103000064.0,5696000000.0,0.075,0.60183,0.21370001,115.978,243793344.0,243244809.0,17000.0,0.101,20,,
OEZVY,VERBUND AG,13.65,23711119360.0,,Utilities,,otc,energy,24,20,44,,,,Utilities - Renewable,"VERBUND AG, together with its subsidiaries, generates, trades, and sells electricity in Austria, Germany, France, Romania, Spain, and Luxembourg. It operates through Hydro, New Renewables, Sales, Grid, and All Other segments. The company engages in the generation of hydropower, wind power, photovoltaic systems, and flexible storage systems; trading and sale activities, and business activities related to battery storage systems; electricity and thermal generation; and holds equity interests. It also offers electricity, gas, e-mobility, and large-scale photovoltaic systems. The company serves participants in energy exchange markets, traders, electric utilities, industrial companies, and household and commercial customers. VERBUND AG was founded in 1947 and is headquartered in Vienna, Austria.",Utilities - Renewable,-0.049,0.45797002,7590365184.0,B,multi-country hydro generation but commodity power,89400000.0,3279200000.0,37215248.0,1455345024.0,7590365184.0,-0.049,0.45797002,0.22895999,31.126,851168430.0,330044902.0,4537.0,-0.393,14,revenue shrinking -5%,
WSIOF,Wasion Holdings Limited,2.255,2342921984.0,,Industrials,,otc,energy,24,20,44,,,,Electrical Equipment & Parts,"Wasion Holdings Limited, an investment holding company, engages in the research and development, production, and sale of energy metering and energy efficiency management solutions for energy supply industries. The company operates through three segments: Smart grid solutions, AI-integrated energy efficiency solutions, and Digital energy services. Its Smart grid solutions segment offers power metering infrastructure to provides full-stack intelligent solutions for power grid planning, operation, monitoring, maintenance, and optimization by leveraging intelligence technologies, such as artificial intelligence and machine learning. The AI-integrated energy efficiency solutions segment is involved in the manufacture, sale of communications and fluid metering products with deeply integrates digitalization and intelligent technologies, incorporates AI algorithms, and provides customers with comprehensive energy efficiency analysis, management, and optimization services. Its Digital energy services offer manufacturing, sales of integrated solutions for data centers, smart distribution network, and new energy storage related powering digitalization and intelligentization of the energy ecosystem. It is also involved in the development, manufacture and sale of energy saving products, water, gas and heat meters, switchgears, electronic components, smart distribution devices, and related services; and trading of power meters. It operates in the People's Republic of China, Africa, the Uni",Electrical Equipment & Parts,0.142,0.35707,10073525248.0,A,smart metering optimizes grid operation and efficiency,3015241984.0,2508974080.0,307977888.0,1407697024.0,10073525248.0,0.142,0.35707,0.17754999,30.172,1038989675.0,475293534.0,5448.0,0.643,21,,
AES,The AES Corporation Common Stock,14.73,10508951020.0,United States,Industrials,Electric Utilities: Central,exchange,energy,22,20,42,utility-slow-growth,,,,,,,,,B,"global renewables+utilities, real assets but heavy debt model",,,,,,,,,,,,,,10,growth unknown,
ALNT,Allient Inc. Common Stock,93.1,1582375296.0,United States,Industrials,Electrical Products,exchange,energy,24,18,42,,,,Electronic Components,"Allient Inc., together with its subsidiaries, designs, manufactures, and sells precision and specialty-controlled motion components and systems for various industries in the United States, Canada, South America, Europe, and the Asia-Pacific. The company offers various products and solutions, including nano precision positioning systems; servo control systems; motion controllers; digital servo amplifiers and drives; brushless servo; torque; coreless motors, brush motors, integrated motor-drives, gear motors, gearing, incremental and absolute optical encoders, and active electronic and passive magnetic filters for power quality and harmonic issues; industrial safety rated input/output modules; universal industrial communications gateways; and light-weighting technologies and other controlled motion-related products. It sells its products in industrial, vehicle, medical, and aerospace and defense markets through direct sales force, authorized manufacturers' representatives, and distributors. The company was formerly known as Allied Motion Technologies Inc. and changed its name to Allient Inc. in August 2023. Allient Inc. was founded in 1939 and is headquartered in Amherst, New York.",Electronic Components,0.102,0.33328998,574782016.0,B,precision motion components unclear differentiation,42490000.0,197628000.0,32297376.0,38367000.0,574782016.0,0.102,0.33328998,0.10568,63.283,16996512.0,14448054.0,2478.0,0.812,19,,
BEPC,Brookfield Renewable Corporation Brookfield Renewable Corporation Class A Subordinate Voting Shares,33.39,6197159424.0,United States,Utilities,Electric Utilities: Central,exchange,energy,22,20,42,utility-slow-growth,,,Utilities - Renewable,"Brookfield Renewable Corporation owns and operates a portfolio of renewable power and sustainable solution assets. The company's portfolio consists of hydroelectric, wind, utility-scale solar, distributed generation, pumped storage, carbon capture and storage, cogeneration, biomass, and eFuels. Its operations consist of approximately 13,396 megawatts of installed hydroelectric, wind, utility-scale solar, and distributed energy and sustainable solutions capacity across North America, South America, and Europe. The company was incorporated in 2019 and is headquartered in New York, New York. Brookfield Renewable Corporation operates as a subsidiary of Brookfield Renewable Partners L.P.",Utilities - Renewable,0.13,0.57106,3828000000.0,B,global renewable asset owner yieldco structure,815000000.0,15448999936.0,1036374976.0,556000000.0,3828000000.0,0.13,0.57106,0.25743,229.01,150879577.0,140467228.0,2411.0,,22,,
CWEN,Clearway Energy Inc. Class C Common Stock,32.49,8013203968.0,United States,Utilities,Electric Utilities: Central,exchange,energy,22,20,42,utility-slow-growth,,,Utilities - Renewable,"Clearway Energy, Inc. operates in the clean energy generation assets business in the United States. It operates through Flexible Generation and Renewables & Storage segments. The company's portfolio comprises approximately 12.9 GW of gross capacity in 27 states, including approximately 10.1 GW of wind, solar, and battery energy storage systems; and approximately 2.8 GW of dispatchable combustion-based power generation assets included in the Flexible Generation segment that provide critical grid reliability services. The company was formerly known as NRG Yield, Inc. and changed its name to Clearway Energy, Inc. in August 2018. Clearway Energy, Inc. was incorporated in 2012 and is based in Princeton, New Jersey. Clearway Energy, Inc. is a subsidiary of Clearway Energy Group LLC.",Utilities - Renewable,0.227,0.64422,1574000000.0,B,clean generation portfolio but financial yieldco,284000000.0,9900999680.0,421750016.0,1017000000.0,1574000000.0,0.227,0.64422,0.25156,176.898,121174960.0,120512133.0,,2.966,22,,
CLPHY,CLP Holdings Limited,10.15,25643472896.0,,Utilities,,otc,energy,22,20,42,utility-slow-growth,,,Utilities - Regulated Electric,"CLP Holdings Limited, an investment holding company, engages in the generation, retail, transmission, and distribution of electricity in Hong Kong, Mainland China, India, Thailand, Taiwan, and Australia. The company generates electricity through coal, gas, nuclear, and renewable resources, such as wind, hydro, and solar. It is also involved in the provision of pumped storage services, energy and infrastructure solutions, and property investment activities, as well as retail of electricity and gas. CLP Holdings Limited was founded in 1901 and is headquartered in Kowloon, Hong Kong.",Utilities - Regulated Electric,0.0,0.34796003,88020000768.0,B,multi-country electricity operator but coal-heavy,6643999744.0,68046000128.0,2096000000.0,24476999680.0,88020000768.0,0.0,0.34796003,0.16830999,56.574,2526450570.0,1812324052.0,8437.0,0.066,16,,
CEG,Constellation Energy Corporation Common Stock ,278.42,98646269952.0,United States,Utilities,Electric Utilities: Central,exchange,energy,22,20,42,utility-slow-growth,,,Utilities - Independent Power Producers,"Constellation Energy Corporation produces and sells energy products and services in the United States. The company operates through five segments: Mid-Atlantic, Midwest, New York, ERCOT, and Other Power Regions. It offers electricity, natural gas, energy-related products, and sustainable solutions. The company has approximately 31,676 megawatts of generating capacity consisting of nuclear, wind, solar, natural gas, and hydroelectric assets. It serves distribution utilities, municipalities, cooperatives, and commercial, industrial, public sector, and residential customers. The company was incorporated in 2021 and is headquartered in Baltimore, Maryland.",Utilities - Independent Power Producers,0.23,0.22107,31270000640.0,B,carbon-free nuclear baseload but merchant commodity power,697000000.0,24700000256.0,-6625124864.0,4206000128.0,31270000640.0,0.23,0.22107,0.086619996,76.419,354307379.0,353148794.0,15291.0,-0.468,11,runway 0.1y - dilution imminent,
CTS,CTS Corporation Common Stock,56.69,1618850688.0,United States,Technology,Electrical Products,exchange,energy,24,18,42,,,,Electronic Components,"CTS Corporation designs, manufactures, and sells sensors, connectivity components, and actuators in North America, Europe, and Asia. The company offers controls, pedals, sensors, switches, transducers, and piezo sensing products; EMI/RFI filters, capacitors, resistors, RF filters, and frequency control products; and piezo microactuators and rotary actuators. It serves transportation, industrial, medical, aerospace, and defense industries. The company sells and markets its products through its sales engineers, independent manufacturer representatives, and distributors. CTS Corporation was founded in 1896 and is headquartered in Lisle, Illinois.",Electronic Components,0.07,0.39713,564249984.0,B,sensors and actuators unclear differentiation,108036000.0,89888000.0,72120000.0,108970000.0,564249984.0,0.07,0.39713,0.17448,15.692,28556195.0,28069312.0,,0.065,19,,
