ticker,gate,A,B,C1,C2,D_rep,D_inhib,D_exit,E,F_clock,F_now,total,stock,loop,coupling,clock_label,evidence,note,batch,calc,jx,v2_adj,v1,delta
WST,pass,16,22,9,7,5,5,2,6,5,4,81,sterility and container-closure integrity of the global injectable drug supply,neutral,survives,years,Westar validated wash cycle cuts bacterial endotoxin by at least 99.9% (3.0-log) plus particulate and bioburden; NovaPure specified to particulates >5 um versus Westar >25 um,Highest total in the batch. Every biologic; vaccine and GLP-1 dose passes through an elastomer closure so the stock is unambiguously load-bearing and currently strained against high-value component demand. C2=7: a safer and better-supplied injectable system consumes MORE high-value components - revenue needs no imbalance. Switching cost comes from FDA change-control not from West blocking substitution so no -3 moat penalty. E=6: 26 manufacturing plants across 50 sites is real redundancy but GLP-1 is 18% of sales concentrated in very few customers. Q2 2026 HVP components +23% organic.,02,81,0,81,84,-3
GH,pass,17,19,8,7,3,1,3,2,5,4,69,share of the screening-eligible population actually screened for colorectal cancer,neutral,survives,years,More than half of Shield users were previously unscreened; ECLIPSE pivotal 83% CRC sensitivity and 90% specificity; but Shield misses ~87% of precancerous lesions so it detects rather than prevents,Gate passes clearly: FY2026 FCF burn guided to $195-205M against >$1.0B cash (>4 years runway) and H1 2026 dilution only 130.6M to 133.6M shares - far under the 25%/3yr fail. Strongest stock score in the batch (A=17) - roughly a third of eligible US adults unscreened. Score is dragged down by two structural measures: a single Redwood City CLIA lab carries essentially all US volume (E=2) and the company still cannot fund itself at current scale (D_inhib=1). Q2 2026 revenue $335M +44%; Shield volume 66k tests; ACS guideline inclusion 2026 and Medicare ADLT rate $1495.,02,69,0,69,84,-15
BSY,pass,17,18,7,7,6,5,4,8,4,4,80,skilled infrastructure-engineering hours and the deferred-maintenance backlog on installed assets,neutral,survives,years,Going Digital Awards finalists reported median 18% engineering hours saved; WSP reported 60% less modeling time and 25% higher productivity on a Melbourne rail project - both customer self-reported so B stays in the 15-20 band,Stock is draining on hard third-party numbers: ACEC reports 49% of engineering firms carry project backlogs of a year or more and construction is short over 400k workers with retirements outpacing graduates. C2=7 because more engineers means more seats - revenue grows if the shortage rebalances - and asset analytics grows as owners shift from build to maintain. No blocking-substitution penalty: the moat is vertical application depth (STAAD; SACS; OpenRoads) on a deliberately open iTwin platform. Best growth pattern in the batch (D=15/15): pure licence replication; 25% op margin and $398M FCF; no physical assets to strand. Q2 2026 ARR $1536.0M versus $1379.2M a year earlier - growth accelerating to 12%.,02,80,0,80,84,-4
TOELY,pass,15,11,3,3,5,5,3,3,5,4,57,installed semiconductor wafer-fabrication capacity in leading-edge logic and HBM/DRAM,amplifying,shrinks,years,none,Fails the two new measures badly. LOOP: each tool generation raises compute supply which creates the AI workloads that demand the next fab - a self-reinforcing treadmill rather than a correction. COUPLING: roughly three-quarters of sales are new-equipment capex so revenue shrinks hard at capacity equilibrium; only field solutions on the installed base survives. FLOW: sells capacity into an expanding system without a quantified per-dollar correction to any depleted stock - and fab expansion draws down water and power. BUFFER: manufacturing is single-country Japan (Miyagi; Yamanashi; Iwate; Kumamoto) and the customer base is a handful of fabs (TSMC; Samsung; SK Hynix; Micron) with China at 38.6% of Q1 FY2026 sales falling to 26.8% by Q4 under export controls. Balance sheet is pristine (Y409.6B net cash; zero debt) and momentum is real (record FY2026 revenue Y2.44T; H1 FY2027 guided +33%) but the rubric no longer rewards that. No jurisdiction penalty applied - Japan-domiciled.,02,57,0,57,84,-27
BOEUF,pass,18,24,10,5,5,5,4,4,5,4,84,viable bone volume and salvageable limbs in bone-infection patients plus local antibiotic efficacy reserve,damping,neutral,years,amputation 18% control vs 2% with CERAMENT G/V; ~USD27943 saved per patient vs antibiotic PMMA beads,Q2-2026 net sales SEK355.7m +30% CER; GM 90.8%; adj op result SEK104.1m (29%); moat is evidence-won + manufacturing difficulty so no -3; single Lund production site caps E; success prevents the re-operations it is paid for,03,84,0,84,83,1
CP,pass,11,14,7,5,2,5,2,3,3,4,56,installed long-haul low-fuel freight capacity (rail ton-miles) versus highway/truck capacity,neutral,neutral,decades,Q2-2026 fuel efficiency 0.992 gal per 1000 GTM improved 4% YoY; rail moves freight ~4x more fuel-efficiently than truck,A takes -3: defensibility is unreplicable right-of-way and single-line control with STB/COFECE-documented captive-shipper pricing power; B capped at mixed-segment band (coal crude potash fertilizer offset modal-shift gain); grows by enlargement not replication; PSR plus 2024 nationwide rail stoppage show slack stripped not preserved,03,56,0,56,83,-27
GKOS,pass,18,23,7,7,5,3,3,4,5,4,79,surviving optic-nerve axons and remaining visual field in glaucoma patients (irreversible),neutral,survives,years,iDose TR phase 3: 81% of subjects completely free of topical IOP-lowering medication at 12 months,Q2-2026 net sales USD185.6m +50%; iDose TR ~USD74m; FY guide raised to USD680-700m; no -3 applied since drops SLT trabeculectomy and rival MIGS remain available so substitution is not blocked; D_inhib only 3 on -8.5% op margin with thin FCF; E 4 for US-centric revenue and dependence on a single CMS payment policy for iDose,03,79,0,79,83,-4
IOT,pass,12,22,6,6,6,5,3,6,5,4,75,usable service life of physical fleet assets and trained commercial-driver hours,neutral,neutral,years,fleets using AI dashcams and coaching saw 37% fewer accidents at 6 months rising to 73% fewer at 30 months; 84% fewer harsh events in 500+ vehicle fleets,Q1-FY27 (4-Jun-2026) ARR USD1.991bn +30% and revenue USD478.8m +31% with third straight GAAP-profitable quarter and 15% adj FCF margin; A held to 12 because the accumulation is productivity/asset-life rather than a stock outside viable range; installed base won on results so no -3; land-and-expand makes the loop mildly self-feeding,03,75,0,75,83,-8
TDVXF,pass,18,20,8,8,5,5,3,5,5,4,81,expressive communication capacity among people who cannot speak without a device,neutral,survives,years,only ~2% of the ~50m people worldwide who cannot communicate without a device receive one; ~2m newly diagnosed each year,Q2-2026 revenue SEK670m +11% (+16% CER); op profit +137% to SEK105m at 15.7% margin; GM 70%; cash flow +167%; C2 scores 8 because full system rebalancing (universal AAC funding) multiplies rather than shrinks the market; E 5 for concentrated US public-payer funding exposure; B held below top band for lack of a clean quantified before/after,03,81,0,81,82,-1
HTFL,pass,17,24,8,8,6,2,4,3,5,4,81,invasive cath-lab capacity and viable myocardium in patients with undiagnosed coronary disease,neutral,survives,years,PRECISE RCT: 69% less likely to progress to unnecessary invasive testing; independent government-funded RCT at ESC 28-Aug-2026 showed 44% fewer unnecessary invasive heart procedures,Q2-2026 revenue USD64.1m +48% with FY target raised to USD246-250m; gate passes on ~4.8y runway despite negative FCF though 2025 IPO means large recent share issuance; D_inhib 2 as it is not yet self-funding; E 3 because every case routes through one centralized cloud analysis pipeline and one CMS payment pathway,03,81,0,81,82,-1
VCYT,pass,17,23,8,4,4,5,4,5,5,3,78,healthy organ tissue (thyroid and prostate) and surgical-theatre capacity consumed by diagnostic uncertainty,neutral,shrinks,years,Afirma has spared >40000 patients unnecessary thyroid surgery and removed ~USD800m of surgery cost; ~70% of benign-nodule patients avoid surgery,Q2-2026 ~18600 Afirma tests +10% volume and +18% revenue; op margin 15.3% with USD106m FCF and USD445m net cash; C2 cut to 4 because volume feeds on the incidental-imaging overdiagnosis stream so a rebalanced imaging pathway shrinks the indeterminate-nodule pool; E lifted to 5 on three CLIA sites (South San Francisco San Diego Austin) and payer mix with Medicare Advantage 18% and commercial 47%; F_now 3 on decelerating Afirma volume,03,78,0,78,82,-4
SBDHF,pass,18,20,9,7,4,5,3,7,3,2,78,remaining service life of Japan aging civil infrastructure — bridges/tunnels/water mains,neutral,survives,decades,MLIT estimates preventive maintenance saves ~Y85 trillion over 30 years vs reactive repair; >60% of Japan road bridges >50yrs by 2033 and ~40% of tunnels need urgent repair,No moat penalty — moat is proprietary resin materials plus method know-how (performing the function better). Repair cuts outflow from the infra-life stock; MLIT policy shift to preventive maintenance grows the market if the system rebalances so C2 high. Clock is decades and momentum is flat: FY2026 sales Y89.2B -1.7%; FY2027 guide Y90.0B. Zero debt; Y37B net cash; 80%+ equity ratio.,04,78,0,78,81,-3
SSMXY,pass,14,21,7,7,5,4,3,8,5,3,77,clinical laboratory diagnostic throughput per skilled technologist hour,neutral,survives,years,Sysmex DI-60 cut 90th-percentile differential turnaround from 179.1 min to 91.0 min (-49%); HS-330 robotics freed ~1.8 medical technologists per lab,A base 17 minus 3 for closed-system reagent lock-in (instruments run only Sysmex reagents; >50% global hematology share) — defensibility partly blocks substitution on an essential. BUFFER strong: 2 reagent plants in Japan plus 7 in 6 countries; new Brazil plant; no customer concentration. Momentum: Q1 FY2026 (reported 2026-08-07) revenue +23.6% to Y130.6B and OP +39.5% with guidance raised; offset by China local-currency -33.8% and a Y11.2B goodwill impairment.,04,77,0,77,81,-4
PLPC,pass,18,17,7,7,5,5,3,9,4,4,79,installed electricity transmission and distribution capacity,neutral,survives,years,US interconnection queue backlog 2600 GW with median ~5-year wait and transformer lead times to 4 years; PLPC backlog +22% to $232.8M,No moat penalty — switching costs come from utility spec qualification and emergency-response service not from blocking substitution. B held at 17: correct direction and clearly enabling but no per-unit quantified capacity effect. BUFFER is the standout: 26 manufacturing plants in 20 countries; largest customer 11.1% of revenue; domestic US production insulates from tariffs. Momentum: record Q2 2026 sales $212.7M +25% YoY; EPS $4.49 +75%; H1 sales +22%.,04,79,0,79,81,-2
CAI,pass,16,22,6,6,2,4,3,3,5,4,71,cancer patients on unmatched ineffective therapy — wasted oncology treatment capacity,neutral,neutral,years,Caris registry: matched vs unmatched therapy HR 0.68 with median OS 1068 vs 648 days (+422 days) and 3.2 vs 4.2 therapy lines used,Strong quantified flow but the growth pattern and buffer are weak. D_rep=2: scales by enlarging one central Phoenix lab rather than replicating units (Irving TX second site only now being built). E=3: near-single-site sequencing operation plus Medicare/PBM payer concentration — efficiency bought by centralization. C1=6: demand tracks cancer incidence but Caris actively expands its own indication set (Assure MCED/MRD; Detect launch). Momentum strong: Q2 2026 revenue $263.7M +45%; cases 59200 +18%; FY guide raised to $1.03-1.04B.,04,71,0,71,81,-10
DXCM,pass,18,22,5,4,5,5,1,6,5,4,75,population glycemic control and the accumulated stock of diabetes complications,amplifying,neutral,years,CONNECT randomized controlled trial showed clinically meaningful and statistically significant glucose-control improvement in non-insulin type 2 diabetes vs routine care,Loop is the drag. C1=5: chronic-use consumable — success keeps patients on the product for life and Stelo pushes the indication into prediabetes/wellness which manufactures adjacent demand for itself. C2=4: most growth requires the metabolic-disease epidemic to persist; only the type 1 base is truly independent. D_exit=1: single-use disposable electronics with adhesive and battery — a continuous unrecycled waste stream (15-day sensor halves it). E=6: multi-site manufacturing (Mesa/San Diego/Malaysia/Ireland) offsets two distributors at ~12% and ~15% of revenue. Momentum: Q2 2026 revenue $1.308B +13%; GM 64.1% +400bps; FY guide raised to $5.18-5.25B; coverage secured across the four largest PBMs.,04,75,0,75,81,-6
CNI,pass,12,21,7,7,1,4,2,2,3,4,63,low-carbon long-haul freight transport capacity — rail tonne-km,neutral,survives,decades,Rail moves 477 ton-miles per gallon vs 145 for trucks and cuts long-haul freight GHG by up to 75%; CN fuel consumption runs 15% below the Class I industry average,Biggest re-score in the batch and it is structural not cyclical. A 15 minus 3: single-source control of a load-bearing corridor — captive shippers and a regulated franchise are exactly the hold-the-stock-hostage moat. D_rep=1: one continental entity that grows by enlargement and acquisition; it cannot be copied as a unit. E=2: Precision Scheduled Railroading is the textbook case of efficiency bought by stripping buffers (locomotives/cars/crews/yard slack) and single mainline chokepoints halt continental freight. Clock is decades — modal share shifts slowly. Momentum is genuinely good: Q2 2026 (2026-07-24) revenue C$4.753B +11%; RTMs +5% to 62250M; guidance raised; record fuel efficiency.,04,63,0,63,81,-18
TMDX,pass,19,24,8,7,4,3,2,3,5,4,79,pool of usable transplantable donor organs,neutral,survives,years,US liver/heart/lung transplant volume grew 25% 2022-2025 versus an SRTR-implied ~-1% without OCS and the NOP; donor liver utilization doubled and OCS heart utilization hit 94.9% with severe post-transplant complications down 43-65%,Best B in the batch — a clean quantified counterfactual on a severely depleted load-bearing stock. No moat penalty: approval and logistics execution are performing-the-function-better. Held back by growth pattern and buffer: E=3 because the NOP works by being the central node (one Andover manufacturing site; central command center; owned aircraft fleet) rather than by adding redundancy. D_inhib=3: FCF only $44.5M with $868M convertible debt and Q2 2026 margins compressing as PAD Aviation consolidates. Momentum: Q2 2026 revenue $189.9M +21%; FY guide raised to $737-757M.,04,79,0,79,80,-1
BLLN,pass,17,19,8,7,4,4,3,3,5,4,74,US Rh immune globulin (RhoGAM) supply plus invasive prenatal procedure capacity,neutral,survives,months,~40% of RhD-negative pregnancies carry an RhD-negative fetus so RhIg is avoidable; 100% accuracy for non-invasive fetal RhD in US population; ACOG endorses RhD NIPT to conserve RhIg in shortage,Gate pass: FCF +$12.0M; net cash $405M. Stock is genuinely out of range (documented RhoGAM shortage) but only the fetal-antigen line touches it directly; 88% of 1H26 revenue is prenatal aneuploidy screening which is informational. Moat is evidence-won (molecular counting; guideline adoption) so no -3. E=3: centralized CLIA lab; single-source sequencing chemistry; 88% product concentration. Clock strong: Q2 2026 rev $109.4M +64%; 196k tests +35%; ASP +21%; FY guide $450-465M.,05,74,0,74,80,-6
CBLL,pass,17,23,8,5,5,1,2,8,5,4,78,ICU bed-days and EEG technologist/neurologist interpretation hours,neutral,neutral,months,Multicenter propensity-matched SAFER-EEG sub-analysis (n=283): median ICU LOS 8.0 to 3.9 days; time to EEG 25.3h to 5.9h; 18% more favorable outcomes; modeled savings $5633 per use,Gate pass: burning $33M on $129M cash (~3.9y runway) with no going-concern. Best quantified flow in this batch. E=8: bedside device needs no EEG tech or central reading node; 712 distributed accounts; no customer near 40%. D_inhib=1: op margin -71% and still needs capital. C2=5 not higher because part of the value proposition is the technologist shortage itself. Momentum dated: Q2 2026 rev $28.1M +33%; FY guide raised to $114-117M; two 510(k) clearances; CMS NTAP for delirium effective Oct 1 2026.,05,78,0,78,79,-1
IRTC,pass,15,21,6,5,3,4,1,2,5,4,66,Pool of undiagnosed atrial fibrillation/arrhythmia in the population,neutral,neutral,months,ZIO detected 57% more arrhythmia events than Holter (96 vs 61) and produced a definitive diagnosis in 90% of cases vs 64%; 81% patient preference,Gate pass: FCF +$82M; net debt $136M is convertibles not distress. A=15: disease-burden stock is real but softer than a capacity constraint and iRhythm grows by widening screening. Moat treated as evidence/dataset not substitution-blocking so no -3. D_exit=1: 14-day single-use adhesive ECG patch is pure electronic waste. E=2 is the big v1 change: unresolved FDA warning letter on the monitor facility; analysis concentrated in a few clinical intake centers; effectively one product line; payer-decision exposure. Q2 2026 rev $224.2M +20.1%; seventh straight quarter above 20%.,05,66,0,66,79,-13
RMD,pass,14,15,5,4,5,5,1,8,4,4,65,Population burden of untreated obstructive sleep apnea and the avoidable hospitalization it drives,amplifying,neutral,years,CPAP users show lower fatal/non-fatal CV event rates than non-users in epidemiological data; but cardiovascular RCTs averaged under 3.5h nightly use versus the 4h threshold and failed to show risk reduction,Gate pass: FCF +$939M; op margin 31%. B=15 (bottom of band) because the pivotal RCT evidence is contested and therapy manages rather than drains the stock. C1=5: revenue is a lifelong mask/accessory resupply annuity so therapeutic success creates permanent recurring demand; GLP-1 patients are 11% more likely to initiate PAP and resupply 3.1%/6.2% higher at yr1/yr3. C2=4: partial obesity rebalancing is currently accretive but full rebalancing shrinks the addressable pool - the Darling test is the reason this falls from v1. E=8: plants in Singapore; Sydney; Chatsworth; Calabasas; Johor Bahru; Atlanta; Suzhou - genuinely multi-sited and therapy runs at home with no central node. D_exit=1: consumable plastics replaced every few months.,05,65,0,65,79,-14
KMDA,pass,18,18,9,7,5,5,3,2,5,3,75,Donated specialty hyperimmune plasma litres and the derived immunoglobulins (rabies; CMV; anti-D; hepatitis B),neutral,survives,years,Three FDA-approved US plasma collection centers (Beaumont; Houston; San Antonio) with the San Antonio site cleared to sell up to $10M of plasma annually; 1H26 revenue $100.2M +13% on rising KEDRAB US utilization,Gate pass: FCF +$15.5M; net cash $58M. A=18: plasma is a donor-dependent scarce accumulation and rabies PEP and transplant CMV prophylaxis have no substitute. Moat is fractionation manufacturing difficulty and FDA licensure so no -3. Company both adds inflow (own collection centers) and consumes plasma. E=2 is the binding weakness: single manufacturing plant at Beit Kama Israel with geopolitical exposure; Kedrion is sole US KEDRAB distributor at $53.6M of 2025 revenue (~30%); KEDRAB+GLASSIA+CMV IgG+royalties ~59% of 2025 revenue. F_now=3: guidance reiterated at 50% of midpoint but growth is steady rather than accelerating.,05,75,0,75,78,-3
BB,pass,10,8,7,5,6,4,4,7,4,4,59,Safety-certified embedded compute foundation in vehicles (ECUs consolidated per QNX hypervisor deployment),neutral,neutral,years,none,Gate pass: FCF +$105M; net cash $130M; FY27 guide $584-611M revenue and $110-130M adj EBITDA. A=10: no accumulation here is clearly load-bearing or outside viable range - QNX supplies software into vehicles that get built regardless. Moat judged as ISO 26262 certification difficulty (performing the function better) rather than substitution-blocking so no -3; the residual patent Licensing segment is the part that would attract it. B=8 at the bottom of the mixed band: the ECU-consolidation effect is real but unquantified and Secure Communications and Licensing are neutral to any stock. Strong on pattern: D_rep=6 for per-unit royalty replication; D_exit=4 as software strands nothing. Momentum dated: QNX record quarter $78.7M +20%; FY26 +14%; royalty backlog $950M (over 2x annual royalty recognition). Falls below 65 into exit-review under v2.,05,59,0,59,78,-19
